player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
korrell-koehlmoos,Korrell Koehlmoos,WR,,,,,,,,,,,1.0,,,,,,,14.0,14.0,0.0,14.0,,,,,,,15.3,22.0,0.0,61.0,4.0,,,,,,,,,,,
lorenzo-brown,Lorenzo Brown,QB,,,,,,,,,,1.0,,,,,,,,,,,,27.0,17.0,,22.0,3.0,193.0,,,,,,2.8,8.0,4.0,1.0,11.0,,,,,,
matt-elam,Matt Elam,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
nolan-krinsky,Nolan Krinsky,,,,,1.0,13.0,1.0,,,,,,4.0,41.0,0.0,1.0,328.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
rashad-ridley,Rashad Ridley,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,7.0,2.0,0.0,,
rashaud-powell,Rashaud Powell,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,3.0,,,,
sidney-jones,Sidney Jones,DL,0.0,1.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,3.0,,,,
tj-davis,TJ DAVIS,WR,,,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,11.5,28.0,3.0,46.0,4.0,9.0,9.0,1.0,0.0,9.0,,,,,,
tasleem-wilson,Tasleem Wilson,QB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
tirri-jones,Tirri Jones,QB,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,0.0,,,,
trae-self,Trae Self,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,3.0,4.0,1.0,0.0,,
trey-dudley-giles,Trey Dudley-Giles,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,16.0,1.0,41.0,3.0,1.0,1.0,1.0,0.0,1.0,,,,,,
xavier-powell,Xavier Powell,QB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,9.0,,,,
xzavier-crawford-injured-reserve,Xzavier Crawford (Injured Reserve),WR,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,2.0,,,,
