player_id,player_name,positions,completion_pct,field_goal_attempts,field_goal_long,field_goal_pct,field_goals_made,fumbles,fumbles_lost,games_played,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passer_rating,passing_tds,passing_yards,passing_yards_per_game,points,pr_avg,pr_tds,punt_returns,rec_avg,rec_long,receiving_tds,receiving_yards,receiving_yards_per_game,receptions,receptions_per_game,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,rushing_yards_per_game,total_yards,xp_attempts,xp_made,xp_pct,yards_per_game
donovan-rasberry,Donovan Rasberry,WR,100.0,1.0,0.0,0.0,0.0,,,36.0,0.0,15.0,0.0,0.0,15.0,15.0,1.0,1.0,17.0,17.0,242.8,0.0,17.0,2.1,0.0,0.0,0.0,8.0,9.6,30.0,6.0,288.0,36.0,30.0,3.8,,,,,7.0,,303.0,1.0,0.0,0.0,37.9
dylan-barnas,Dylan Barnas,K,,3.0,0.0,0.0,0.0,,,24.0,,0.0,,,,,,,,,,,,,21.0,,,0.0,,,,0.0,,,,,,,,6.0,,0.0,23.0,21.0,91.0,0.0
freddie-booth,Freddie Booth,FB/DL,,,,,,,,4.0,,1.3,,,,,,,,,,,,,,,,5.0,,,,1.0,,,,,,,,4.0,,0.0,,,,0.0
joe-hills,Joe Hills,WR,,,,,,,,20.0,,5.0,,,,,,,,,,,,,,,,3.0,11.5,29.0,3.0,115.0,57.5,10.0,5.0,,,,,10.0,,115.0,,,,57.5
jorge-leon,Jorge Leon,K,,1.0,0.0,0.0,0.0,,,12.0,,3.0,,,,,,,,,,,,,12.0,,,1.0,,,,1.0,,,,,,,,4.0,,0.0,21.0,12.0,57.0,0.0
joshua-jenkins,Joshua Jenkins,DB,,,,,,,,6.0,,4.8,,,,,,,,,,,,,,,,29.0,,,,7.0,,,,,,,,22.0,,0.0,,,,0.0
joshua-smith,Joshua Smith,DL,,,,,,,,5.0,,8.0,,,,,,,,,,,,,,,,4.0,,,,2.0,,,,,,,,2.0,,0.0,,,,0.0
mike-carey,Mike Carey,DB,,,,,,,,6.0,,3.7,,,,,,,,,,,,,,,,22.0,,,,5.0,,,,,,,,17.0,,0.0,,,,0.0
nick-giorgio,Nick Giorgio,LB,,,,,,,,9.0,,1.9,,,,,,,,,,,,,,,,17.0,,,,6.0,,,,,,,,11.0,,1.5,,,,7.0
pat-obrien,Pat O'Brien,QB,60.0,,,,,4.0,1.0,36.0,9.0,0.0,,,,,175.0,105.0,42.0,6.0,126.9,14.0,1058.0,211.6,,,,0.0,,,,6.0,,,,1.3,22.0,27.0,6.0,34.0,6.8,34.0,,,,6.8
prince-shonola,Prince Shonola,WR,,,,,,,,8.0,,40.0,0.0,0.0,22.0,13.3,,,,,,,,,,0.0,0.0,1.0,11.2,42.0,1.0,123.0,61.5,11.0,5.5,,,,,4.0,,163.0,,,,81.5
rob-jones,Rob Jones,WR,,1.0,28.0,100.0,1.0,0.0,0.0,16.0,,86.0,0.0,0.0,27.0,17.2,,,,,,,,,8.0,0.0,0.0,0.0,8.4,22.0,0.0,126.0,25.2,15.0,3.0,0.7,2.0,3.0,1.0,3.2,0.4,214.0,11.0,5.0,45.0,42.8
semaj-robinson,Semaj Robinson,DL,,,,,,,,4.0,,3.3,,,,,,,,,,,,,,,,13.0,,,,3.0,,,,,,,,10.0,,0.0,,,,0.0
sha-ki-holiness,Sha-ki Holiness,,,,,,,,,2.0,,2.5,,,,,,,,,,,,,,,,5.0,,,,3.0,,,,,,,,2.0,,0.0,,,,0.0
tony-grant,Tony Grant,WR,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,0.0,7.0,8.0,0.0,14.0,14.0,2.0,2.0,,,,,0.0,,14.0,,,,14.0
troy-grant,Troy Grant,WR,,,,,,,,6.0,,0.0,,,,,,,,,,,,,,,,1.0,6.0,12.0,1.0,36.0,12.0,6.0,2.0,,,,,2.0,,36.0,,,,12.0
