player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,misc_td,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_fr,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
luther-hakunavanhu,Luther HAKUNAVANHU,WR,,,,1.0,1.0,,,,,,,,,,,,15.0,3.0,8.0,1.0,5.0,31.0,,,,,,,,,,,1.0,6.0,1.0,,,,,,
maleek-irons,Maleek Irons,RB,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,,,12.0,1.0,3.0,3.0,1.0,,,2.0,,,,,,,
malik-carney,Malik Carney,DE/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malik-henry,Malik Henry,WR,,,,,,,,,,,,,,,,,21.0,2.0,6.0,,3.0,29.0,,,,,,1.0,-1.0,-1.0,,,,,,,,,,,
mason-bennett,Mason Bennett,DE/DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matthew-shiltz,Matthew Shiltz,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,5.0,,,,,,,,,,,
micah-johnson,Micah Johnson,DL/DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michael-domagala,Michael Domagala,P/K,,,,,,,,,,,,,,,,,,,,,,,73.0,5.0,5.0,104.0,314.0,,,,,,,10.0,,3.0,3.0,39.0,10.0,2.0,1.0
mike-rose,Mike Rose,MLB/DB/DL/LB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papi-white,Papi White,WR,,,,,,,,,,,,,,,,,19.0,2.0,7.0,,22.0,22.0,11.0,1.0,,,11.0,2.0,13.0,15.0,,,,,,,,,,,
peyton-logan,Peyton Logan,RB,,,,,,,,,,,,,,,,,20.0,4.0,5.0,,58.0,59.0,20.0,2.0,,,40.0,9.0,12.0,45.0,,,,,,,,,,,
raheem-wilson,Raheem Wilson,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reggie-begelton,Reggie BEGELTON,WR,,,,,,,,,,,,,,,,,,6.0,6.0,1.0,16.0,47.0,,,,,,,,,,,1.0,6.0,1.0,,,,,,
rene-paredes,René Paredes,K,,,,,,,,,,,,,,,,,,,,,,,77.0,4.0,4.0,80.0,252.0,,,,,,,15.0,,4.0,4.0,46.0,15.0,3.0,3.0
richard-leonard,Richard Leonard,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
richard-sindani,Richard Sindani,WR,,,,,,,,,,,,,,,,,10.0,4.0,4.0,,3.0,35.0,,,,,,,,,,,,,,,,,,,
sean-thomas-erlington,Sean THOMAS ERLINGTON,RB,,,,1.0,1.0,,,,,,,,,,,,,7.0,9.0,1.0,62.0,72.0,,,,,,5.0,6.0,18.0,,,1.0,6.0,1.0,,,,,,
shawn-bane,Shawn Bane,WR,,,,,,,,,,,,,,,,,,,,,,,31.0,3.0,,,64.0,,,,,,,,,,,,,,
shawn-lemon,Shawn Lemon,DE/DL/DB,,,1.0,2.0,2.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silas-stewart,Silas Stewart,LB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simon-laryea,Simon Laryea,P,,,,,,,,,,,,,,,,,,,,,,,48.0,4.0,3.0,25.0,154.0,,,,,,,,,,,,,,
simoni-lawrence,Simoni Lawrence,LB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stefen-banks,Stefen Banks,DL/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steven-dunbar,Steven Dunbar,WR,,,,,,,,,,,,,,,,,,6.0,8.0,1.0,20.0,65.0,,,,,,,,,,,1.0,6.0,1.0,,,,,,
tj-rayam,T.J. Rayam,DL/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ted-laurent,Ted Laurent,DT/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tim-white,Tim White,WR,,,,,,,,,,,,,,,,,33.0,11.0,14.0,1.0,71.0,131.0,,,,,,,,,,,1.0,6.0,1.0,,,,,,
titus-wall,Titus Wall,DB/LB,1.0,,,6.0,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,1.0,,,,,,
tommy-stevens,Tommy STEVENS,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,4.0,,,,,,,,,,,
tre-roberson,Tre Roberson,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tunde-adeleke,Tunde Adeleke,DB,,,1.0,10.0,10.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyson-middlemost,Tyson MIDDLEMOST,WR,,,,,,,,,,,,,,,,,-1.0,1.0,1.0,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,
