player_id,player_name,positions,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,interceptions,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passing_2pt,passing_rate,passing_sacks,passing_td_pass,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,tackles
jovohn-tucker,Jovohn Tucker,WR,,,,,,,,,,,,,,,,,,,,,21.0,29.0,0.0,0.0,2.0,125.0,6.0,-6.0,0.0,0.0,2.0,0.0,0.0,-11.0,,
kameron-pruitt,Kameron Pruitt,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0
kedrick-james,Kedrick James,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
keewan-alfred,Keewan Alfred,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0
lance-desorbo,Lance Desorbo,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
lonnie-bickham-iii,Lonnie Bickham III,RB,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0
maleek-jones,Maleek Jones,WR,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,2.0,0.0,0.0,1.0,2.0,2.0,,,,,,,,0.0,2.0
malik-mcdowell,Malik Mcdowell,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
metoriah-faoliu,Metoriah Faoliu,DL,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
rudy-johnson,Rudy Johnson,QB,,583.0,,,,,,,,0.0,24.0,14.0,29.0,14.0,0.0,112.0,3.0,2.0,194.0,0.0,,,,,,,,3.0,13.0,0.0,10.0,0.0,2.0,30.0,,
shijuan-rogers,Shijuan Rogers,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0
simeon-burns,Simeon Burns,DB,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
tajae-brooks,Tajae Brooks,WR,,,,,,,,,,,,,,,,,,,,,7.0,14.0,0.0,0.0,0.0,22.0,3.0,,,,,,,,,
trayvon-watson-sr,Trayvon Watson Sr,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
trey-taylor,Trey Taylor,P,4.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0
tyler-kennedy,Tyler Kennedy,WR,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
vincent-strange-jr,Vincent Strange Jr.,WR,,,,,,,,,,,,,,,,,,,,,8.0,12.0,0.0,0.0,0.0,30.0,4.0,,,,,,,,,
vincent-wilkerson-ii,Vincent Wilkerson II,WR,,,,,,,,,,,,,,,,,,,,,2.0,26.0,0.0,0.0,1.0,13.0,8.0,,,,,,,,,
zuri-davis,Zuri Davis,WR,,,,,,,,,,,,,,,,,,,,,14.0,22.0,0.0,0.0,1.0,97.0,7.0,,,,,,,,,
