player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
jordan-semanat,Jordan Semanat,DB,,,,,,,,,,,,1.0,2.0,,,,,,,7.5,10.0,0.0,15.0,3.0,1.0,,3.0,1.0,3.0,,,,,,1.3,4.0,4.0,1.0,5.0,,,,,,,,
josh-ellison,Josh Ellison,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,,,,
jyaire-stevens,Jyaire Stevens,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,0.0,,
kevin-voyles,KEVIN VOYLES,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,27.0,2.0,78.0,6.0,,,,,,,,1.0,1.0,,,,
kevin-simmons,Kevin Simmons,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,14.0,0.0,17.0,2.0,,,,,,,,,,,,,
kyle-griswould,Kyle Griswould,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
kyle-jarvis,Kyle Jarvis,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
ladarius-galloway,LaDarius Galloway,RB,,,,,,,,,,,,,,9.0,50.0,0.0,5.0,450.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0
levonta-hall,Levonta Hall,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,3.0,,,,
makeah-scippio,Makeah Scippio,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,1.0,2.0,1.0,-3.0,,,,,,,,
mykell-yancie,Mykell Yancie,DL,1.0,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,1.0,0.0,,
quantaye-battle,Quantaye Battle,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,21.0,1.0,21.0,1.0,,,,,,,,,,,,,
ron-brown-jr,Ron Brown Jr.,RB,,,,,,,1.0,1.0,,,,,3.0,,,,,,,9.0,16.0,0.0,27.0,,,,,,,8.0,8.0,1.0,8.0,1.0,3.3,7.0,3.0,1.0,10.0,,,,,,,,
tevin-shipp,Tevin Shipp,LB,0.0,1.0,1.0,,,,,,35.0,35.0,35.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,4.0,4.0,,,,
vincent-espinoza,Vincent Espinoza,QB,,,,,,,,,,,,1.0,,,,,,,,,,,,25.0,12.0,,27.0,3.0,145.0,3.0,3.0,1.0,3.0,1.0,8.0,8.0,1.0,0.0,8.0,,,,,,,,
willie-caviness,Willie Caviness,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,
zacharaus-gentry,Zacharaus Gentry,DB,2.0,1.0,0.0,,,,,,37.0,37.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
