player_id,player_name,positions,assisted_tackles,blocks,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
josh-tomas,Josh Tomas,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,28.0,0.0,33.0,2.0,4.9,30.0,9.0,1.0,44.0,,,,,,
kivon-bennett,Kivon Bennett,DL,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
kymani-clarke,Kymani Clarke,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,0.0,8.0,1.0,9.3,22.0,4.0,1.0,37.0,,,,,,
laterrance-welch,Laterrance Welch,,0.0,,1.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
lorenzo-hernandez,Lorenzo Hernandez,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,2.0,0.0,,
marvin-grant-jr,Marvin Grant Jr,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
matthew-cook,Matthew Cook,K,,,,,2.0,15.0,1.0,,,,,,,,,,,7.0,43.8,0.0,2.0,350.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0
maurice-jackson,Maurice Jackson,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
max-meylor,Max Meylor,QB,,,,,,,,,,,1.0,0.0,,,,1.0,,,,,,,,,,,,18.0,7.0,,14.0,3.0,63.0,,,,,,4.5,10.0,14.0,0.0,63.0,,,,,,
quentin-randolph,Quentin Randolph,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,45.0,1.0,70.0,4.0,6.7,8.0,3.0,0.0,20.0,,,,,,
ron-brown-jr,Ron Brown Jr.,RB,,,,,,,,,,,,,,,,,1.0,,,,,,,7.0,7.0,0.0,7.0,,,,,,,9.0,9.0,0.0,9.0,1.0,7.3,12.0,4.0,1.0,29.0,,,,,,
senika-mckie,Senika McKie,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,1.0,10.0,2.0,,,,,,,,,,,
terry-roberts,Terry Roberts,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,
trey-odoms-dukes,Trey Odoms-Dukes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,2.0,1.0,,,,,,,,,,,
yahsyn-mckee-sr,"Yahsyn McKee, Sr.",,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,4.0,6.0,,,,
