player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,misc_td,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_fr,score_ir,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
martese-jackson,Martese Jackson,RB,,,,,,,,,,,,,,,,,,15.0,2.0,2.0,,26.0,27.0,17.0,1.0,,,17.0,,,,,,,,,,,,,,
matt-black,Matt Black,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikolas-lewis,Nikolas Lewis,WR,,,,,,,,,,,,,,,,,,13.0,6.0,7.0,,12.0,42.0,,,,,,,,,,,,,,,,,,,
oumar-toure,Oumar Touré,FB/RB,,,,1.0,,1.0,,,,,,,,,,,,3.0,1.0,2.0,,3.0,3.0,,,,,,,,,,,,,,,,,,,
ray-drew,Ray Drew,DT/DB,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ricky-ray-rayri02,Ricky Ray Rayri02,,,,,,,,,,,43.0,35.0,1.0,,7.0,1.0,4.0,377.0,,,,,,,,,,,,,,,,,,,,,,,,,
rico-murray,Rico Murray,LB/DB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sj-green,S.J. Green,WR,,,,,,,,,,,,,,,,,,,9.0,11.0,2.0,32.0,145.0,,,,,,,,,,,2.0,12.0,2.0,,,,,,
sam-giguere,Sam Giguere,WR,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
shawn-lemon,Shawn Lemon,DL/DB/DE,,,1.0,1.0,,1.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stefan-logan,Stefan Logan,RB,,,,,,,,,,,,,,,,,,,,,,,,28.0,6.0,,,75.0,,,,,,,,,,,,,,
terrance-plummer,Terrance Plummer,LB/DB,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
troy-davis,Troy Davis,DL/DB,,,1.0,1.0,,1.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyree-hollins,Tyree Hollins,DB,,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyrell-sutton,Tyrell Sutton,RB,,,,,,,,,,,,,,,,,,12.0,3.0,3.0,,14.0,21.0,,,,,,8.0,13.0,41.0,,,,,,,,,,,
