player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_ir,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
ernest-jackson,Ernest Jackson,WR,,,,,,,,,,,,,,,,,,3.0,5.0,1.0,18.0,50.0,,,,,,,,,,,1.0,6.0,1.0,,,,,,
ettore-lattanzio,Ettore Lattanzio,DB,,,1.0,4.0,,4.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forrest-hightower,Forrest Hightower,DB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grant-shaw,Grant Shaw,K/P,,,,,,,,,,,,,,,,,,,,,,,56.0,2.0,2.0,14.0,106.0,,,,,,,1.0,,,,,,,
greg-ellingson,Greg Ellingson,WR,,,,,,,,,,,,,,,,,43.0,6.0,8.0,,46.0,121.0,,,,,,,,,,,,,,,,,,,
henry-burris,Henry Burris,QB,,,,,,,,,39.0,26.0,1.0,43.0,4.0,3.0,2.0,341.0,,,,,,,,,,,,1.0,3.0,3.0,,,,,,,,,,,
imoan-claiborne,Imoan Claiborne,DB,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jc-sherritt,J.C. Sherritt,LB,1.0,,,6.0,1.0,6.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,1.0,,,,,,
james-franklin,James Franklin,P,,,,,,,,,1.0,1.0,,-1.0,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
jamill-smith,Jamill Smith,WR,,,,,,,,,,,,,,,,,,,,,,,13.0,2.0,,,14.0,1.0,-2.0,-2.0,,,,,,,,,,,
jermaine-robinson,Jermaine Robinson,DB,1.0,48.0,,1.0,,1.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
john-boyett,John Boyett,DB/LB,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
john-white,John White,RB,,,,,,,,,,,,,,,,,14.0,3.0,3.0,,23.0,24.0,,,,,,9.0,8.0,33.0,,,,,,,,,,,
kenny-ladler,Kenny Ladler,DB/LB,,,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kenzel-doe,Kenzel Doe,WR,,,,,,,,,,,,,,,,,,,,,,,33.0,5.0,,,119.0,,,,,,,,,,,,,,
khalil-paden,Khalil Paden,WR,,,,,,,,,,,,,,,,,38.0,2.0,4.0,,38.0,53.0,,,,,,,,,,,,,,,,,,,
kienan-lafrance,Kienan LaFrance,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,28.0,,,,,,,,,,,
marcell-young,Marcell Young,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-dubuisson,Mike Dubuisson,DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-moore,Mike Moore,DL/DB,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-reilly,Mike Reilly,QB,,,,,,,,,41.0,25.0,1.0,22.0,7.0,2.0,,255.0,,,,,,,,,,,,2.0,13.0,17.0,,,,,,,,,,,
mitchell-white,Mitchell White,DB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moton-hopkins,Moton Hopkins,DL/DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nate-coehoorn,Nate Coehoorn,WR,,,,,,,,,,,,,,,,,17.0,2.0,4.0,,4.0,25.0,,,,,,,,,,,,,,,,,,,
neil-king,Neil King,DB,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nic-grigsby,Nic Grigsby,RB,,,,,,,,,,,,,,,,,7.0,2.0,3.0,,10.0,11.0,,,,,,9.0,12.0,33.0,,,,,,,,,,,
nicholas-taylor,Nicholas Taylor,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
odell-willis,Odell Willis,DB/DE,,,1.0,,,,,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pat-watkins,Pat Watkins,DB,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patrick-lavoie,Patrick Lavoie,FB/RB,,,,,,,,,,,,,,,,,7.0,1.0,2.0,,7.0,7.0,,,,,,,,,,,,,,,,,,,
sean-whyte,Sean WHYTE,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,4.0,3.0,52.0,9.0,,
solomon-means,Solomon Means,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zack-evans,Zack Evans,DL/DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zack-medeiros,Zack Medeiros,K,,,,,,,,,,,,,,,,,,,,,,,70.0,5.0,5.0,119.0,340.0,,,,,,,,,,,,,,
