player_id,player_name,positions,assisted_tackles,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
drew-prohaska,Drew Prohaska,RB,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,22.0,17.0,,23.0,3.0,209.0,,,,,,4.8,18.0,10.0,3.0,48.0,,,,,,
garrett-pemelton,Garrett Pemelton,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,14.0,1.0,46.0,5.0,3.0,5.0,3.0,0.0,9.0,1.0,1.0,,,,
geovonte-howard-injured-reserve,Geovonte Howard (Injured Reserve),DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,
horatio-smith,Horatio Smith,WR,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,0.5,0.0,,
jadon-johnson,Jadon Johnson,WR,0.0,,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,16.3,22.0,0.0,65.0,4.0,5.0,5.0,1.0,0.0,5.0,1.0,1.0,,,,
javon-hayes,Javon Hayes,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,6.0,,,,
jeremiah-flores,Jeremiah Flores,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,13.0,1.0,25.0,2.0,,,,,,1.0,2.0,,,,
john-westor,John Westor,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,1.0,0.0,,
kenttwon-brown,Kenttwon Brown,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,18.0,1.0,32.0,4.0,,,,,,,,,,,
king-mwikuta,King Mwikuta,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,0.0,12.0,1.0,0.8,2.0,4.0,1.0,3.0,,,,,,
marcus-gray,MARCUS GRAY,G,0.0,2.0,0.0,0.0,,,,,,,,6.0,35.9,0.0,0.0,287.0,8.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,6.0,6.0
makeah-scippio,Makeah Scippio,DL,1.0,,,,,,,,,,2.0,,,,,,,21.5,24.0,0.0,43.0,,,,,,,,,,,,,,,,,0.0,1.0,,,,
malcolm-mccoy,Malcolm Mccoy,LB,4.0,,,,,,,,,,1.0,,,,,,,27.0,27.0,0.0,27.0,,,,,,,,,,,,,,,,,5.0,9.0,,,,
neriyan-brown,Neriyan Brown,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
prince-shonola,Prince Shonola,WR,,,,,,,,,,,2.0,,,,,,,20.0,36.0,0.0,40.0,,,,,,,,,,,,6.2,17.0,14.0,2.0,87.0,,,,,,
raphael-turner,Raphael Turner,OL,3.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,5.0,8.0,,,,
rodell-rahmaan,Rodell Rahmaan,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,13.0,0.0,25.0,2.0,,,,,,,,,,,
samuel-seward,Samuel Seward,ATH,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,,,,
shawn-coursey,Shawn Coursey,OL,,,,,,,,,,,1.0,,,,,,,2.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,
thomas-kadera,Thomas Kadera,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,11.0,8.0,2.0,26.0,,,,,,
travis-taylor,Travis Taylor,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,0.0,6.0,1.0,,,,,,,,,,,
trey-taylor,Trey Taylor,P,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,0.5,0.0,,
verlon-reed,Verlon Reed,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
zach-hannibel,Zach Hannibel,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,,,,
