player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
ronnie-pfeffer,Ronnie Pfeffer,K,,,,,,,,,,,,,,,,,,,,,54.0,6.0,6.0,41.0,288.0,,,,,,,,,,,,,,,
ryan-brown,Ryan Brown,DB/DT,,,1.0,3.0,3.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ryan-carter,Ryan Carter,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sj-green,S.J. Green,WR,,,,,,,,,,,,,,,19.0,7.0,11.0,,27.0,86.0,,,,,,,,,,,,,,,,,,,,
shakeir-ryan,Shakeir Ryan,WR,,,,,,,,,,,,,,,,,,,,,21.0,2.0,,,38.0,,,,,,,,,,,,,,,
tommie-campbell,Tommie Campbell,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trumaine-washington,Trumaine Washington,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyler-crapigna,Tyler Crapigna,K,,,,,,,,,,,,,,,,,,,,,73.0,3.0,2.0,38.0,199.0,,,,,,,10.0,,,3.0,3.0,46.0,10.0,2.0,1.0
vernon-adams,Vernon Adams,QB,,,,,,,,25.0,19.0,1.0,27.0,4.0,2.0,335.0,,,,,,,,,,,,3.0,3.0,1.0,4.0,,,6.0,1.0,1.0,,,,,,
william-stanback,William STANBACK,RB,,,,,,,,,,,,,,,5.0,2.0,2.0,,7.0,7.0,,,,,,6.0,5.0,,19.0,,,,,,,,,,,
woody-baron,Woody Baron,DB/DL,,,1.0,2.0,2.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
