player_id,player_name,positions,assist_tackles,completions,fg_40_49,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,sacks,solo_tackles,tackles,targets
shane-tripucka,Shane Tripucka,P,,,,,,,,,,,,,,,,,,,41.3,51.0,,124.0,3.0,38.0,2.0,,,,,,,,,,
st-louis,St. Louis,,,,,,6.0,24.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
total,TOTAL,WR,19.0,18.0,1.0,1.0,32.0,,54.0,,2.0,6.0,48.0,179.0,34.0,2.0,196.0,1.0,4.0,4.0,41.3,51.0,1.0,124.0,3.0,38.0,2.0,2.0,196.0,18.0,18.0,,57.0,2.0,45.0,64.0,10.0
taiwan-jones,Taiwan Jones,DB/LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
tampa-bay,Tampa Bay,,,,,,,9.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tegray-scales,Tegray Scales,DB/LB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,
tenny-adewusi,Tenny Adewusi,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
tony-guerad,Tony Guerad,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
tre-watson,Tre Watson,DB/LB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,
tre-williams,Tre Williams,DB/DE,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,
treston-decoud,Treston Decoud,DB/CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
trevon-sanders,Trevon Sanders,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
will-smith,Will Smith,DB/LB,4.0,,,,22.0,,22.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,8.0,
willie-mays,Willie Mays,DB/LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,
