player_id,player_name,positions,assist_tackles,completions,fg_30_39,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,sacks,solo_tackles,tackles,targets
total,TOTAL,WR,29.0,18.0,,,15.0,,15.0,,4.0,2.0,23.0,45.0,25.0,3.0,278.0,,41.0,64.0,37.0,47.0,3.0,185.0,5.0,22.0,2.0,3.0,278.0,18.0,26.0,3.0,56.0,3.0,46.0,75.0,11.0
taiwan-jones,Taiwan Jones,DB/LB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,
tampa-bay,Tampa Bay,,,,,,3.0,27.0,15.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
tracy-sprinkle,Tracy Sprinkle,DL/DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
tre-mcbride,Tre McBride,,,,,,,,,,,,,,,,,,16.0,16.0,,,1.0,,,,,2.0,109.0,5.0,,,,,,,5.0
tre-williams,Tre Williams,DE/DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,8.0,
tyler-palka,Tyler Palka,WR,,,,,,,,,,1.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,,
tyler-rausa,Tyler Rausa,K,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyree-jackson,Tyree Jackson,RB,,1.0,,,,,,,,,,,2.0,,4.0,,,,,,,,,,,,,,1.0,,11.0,,,,
tyree-kinnel,Tyree Kinnel,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
will-smith,Will Smith,DB/LB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,
