player_id,player_name,positions,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals,sh_goals
josh-medeiros,Josh Medeiros,P,4.0,18.0,4.0,22.0,8.0,,,1.0
justin-geddie,Justin Geddie,,,18.0,,,,,,
justin-inacio,Justin Inacio,P,2.0,8.0,,2.0,2.0,,,
kason-tarbell,Kason Tarbell,P,1.0,18.0,1.0,4.0,2.0,,,
keegan-bal,Keegan Bal,P,56.0,18.0,49.0,2.0,105.0,8.0,15.0,3.0
kellen-leclair,Kellen LeClair,P,,17.0,,6.0,,,,
kevin-brown,Kevin BROWN,LB/P/RB,4.0,17.0,4.0,4.0,8.0,,,
kyle-buchanan,Kyle Buchanan,P,24.0,18.0,23.0,2.0,47.0,5.0,5.0,
kyle-jackson,Kyle Jackson,P,20.0,16.0,15.0,4.0,35.0,1.0,2.0,1.0
kyle-waters,Kyle Waters,P,23.0,18.0,21.0,2.0,44.0,7.0,3.0,
laine-hruska,Laine Hruska,G,,10.0,,,,,,
larson-sundown,Larson Sundown,P,32.0,18.0,30.0,6.0,62.0,2.0,8.0,1.0
liam-leclair,Liam LeClair,P,4.0,18.0,2.0,10.0,6.0,,,
liam-patten,Liam Patten,P,7.0,18.0,3.0,25.0,10.0,,,
luc-magnan,Luc Magnan,P,,11.0,,6.0,,,,
lyle-thompson,Lyle Thompson,P,45.0,18.0,42.0,8.0,87.0,5.0,6.0,1.0
marcus-klarich,Marcus Klarich,P,3.0,2.0,1.0,,4.0,,,
mark-matthews,Mark Matthews,P,67.0,18.0,31.0,8.0,98.0,18.0,11.0,1.0
marshal-king,Marshal King,,5.0,6.0,2.0,2.0,7.0,,1.0,
mathieu-gautier,Mathieu Gautier,P,25.0,16.0,7.0,4.0,32.0,1.0,2.0,
matt-beers,Matt Beers,P,5.0,12.0,,27.0,5.0,,,
matt-gilray,Matt Gilray,P,14.0,18.0,7.0,8.0,21.0,1.0,,
matt-hossack,Matt Hossack,P,10.0,16.0,,6.0,10.0,,,
matt-marinier,Matt Marinier,P,1.0,17.0,1.0,18.0,2.0,,,
matt-spanger,Matt Spanger,P,5.0,10.0,1.0,13.0,6.0,,,
matt-sykes,Matt Sykes,P,1.0,8.0,,2.0,1.0,,,
matt-vinc,Matt Vinc,G,,16.0,,,,,,
max-wilson,Max Wilson,P,1.0,13.0,,14.0,1.0,,,
mike-manley,Mike Manley,P,4.0,18.0,1.0,38.0,5.0,,,
mike-mccannell,Mike McCannell,P,6.0,14.0,1.0,4.0,7.0,,,
mike-messenger,Mike Messenger,P,15.0,18.0,12.0,35.0,27.0,,,1.0
mitch-de-snoo,Mitch de Snoo,P,13.0,17.0,8.0,30.0,21.0,,,
mitchell-armstrong,Mitchell Armstrong,P,2.0,13.0,1.0,6.0,3.0,,,
nicholas-rowlett,Nicholas Rowlett,P,,12.0,,2.0,,,,
nicholas-volkov,Nicholas Volkov,P,2.0,13.0,,2.0,2.0,,,
nick-damude,Nick Damude,G,,18.0,,,,,,
nick-rose,Nick Rose,G/K,,18.0,,,,,,
nick-weiss,Nick Weiss,P,24.0,18.0,5.0,31.0,29.0,,,
nonkon-thompson,Nonkon Thompson,P,,6.0,,27.0,,,,
owen-down,Owen Down,P,2.0,8.0,1.0,8.0,3.0,,,
owen-grant,Owen Grant,P,6.0,18.0,8.0,20.0,14.0,,,4.0
patrick-dodds,Patrick Dodds,P,31.0,17.0,10.0,2.0,41.0,6.0,,
patrick-foley,Patrick Foley,,3.0,14.0,2.0,,5.0,,,
patrick-shoemay,Patrick Shoemay,P,3.0,18.0,1.0,4.0,4.0,,,
paul-dawson,Paul Dawson,LB/P,2.0,19.0,,33.0,2.0,,,
phil-caputo,Phil Caputo,P,16.0,18.0,24.0,4.0,40.0,1.0,6.0,
phil-mazzuca,Phil Mazzuca,P,6.0,17.0,4.0,9.0,10.0,,,1.0
randy-staats,Randy Staats,P,24.0,9.0,23.0,4.0,47.0,9.0,6.0,1.0
reece-callies,Reece Callies,P,3.0,18.0,,12.0,3.0,,,
reid-bowering,Reid Bowering,P,8.0,15.0,6.0,6.0,14.0,,,1.0
reilly-oconnor,Reilly O'Connor,,54.0,18.0,18.0,8.0,72.0,11.0,5.0,
riley-hutchcraft,Riley Hutchcraft,G,,17.0,,,,,,
riley-loewen,Riley Loewen,P,37.0,17.0,15.0,2.0,52.0,3.0,,
rob-hellyer,Rob Hellyer,P,55.0,18.0,22.0,2.0,77.0,11.0,3.0,2.0
robert-church,Robert Church,P,55.0,18.0,45.0,2.0,100.0,10.0,17.0,
robert-hope,Robert Hope,P,13.0,18.0,,14.0,13.0,,,
robert-hudson,Robert Hudson,P,1.0,8.0,3.0,,4.0,,,
ron-john,Ron John,P,4.0,15.0,1.0,4.0,5.0,,,
ryan-barnable,Ryan Barnable,P,14.0,17.0,3.0,8.0,17.0,,,1.0
ryan-benesch,Ryan Benesch,P,39.0,18.0,42.0,10.0,81.0,10.0,11.0,
ryan-dilks,Ryan Dilks,P,5.0,18.0,1.0,6.0,6.0,,,
ryan-keenan,Ryan Keenan,P,57.0,18.0,33.0,4.0,90.0,15.0,7.0,2.0
ryan-lanchbury,Ryan Lanchbury,P,66.0,17.0,20.0,6.0,86.0,17.0,1.0,
ryan-martel,Ryan Martel,P,39.0,18.0,34.0,14.0,73.0,7.0,4.0,1.0
ryan-sheridan,Ryan Sheridan,P,6.0,14.0,13.0,14.0,19.0,,,
ryan-smith,Ryan Smith,P/WR,53.0,18.0,46.0,8.0,99.0,13.0,11.0,1.0
ryan-terefenko,Ryan Terefenko,P,12.0,18.0,8.0,10.0,20.0,,,1.0
ryan-wagner,Ryan Wagner,P,5.0,16.0,1.0,14.0,6.0,,,1.0
rylan-hartley,Rylan Hartley,G,,7.0,,,,,,
ryland-rees,Ryland Rees,P,6.0,18.0,1.0,8.0,7.0,1.0,,1.0
sam-firth,Sam Firth,P,27.0,18.0,20.0,2.0,47.0,1.0,4.0,1.0
sam-leclair,Sam LeClair,P,21.0,17.0,19.0,4.0,40.0,,,1.0
scott-dominey,Scott Dominey,P,8.0,18.0,4.0,40.0,12.0,,,1.0
seth-van-schepen,Seth Van Schepen,P,3.0,14.0,1.0,6.0,4.0,,,
shane-simpson,Shane Simpson,LB/P/RB,8.0,18.0,16.0,14.0,24.0,,2.0,1.0
shayne-jackson,Shayne Jackson,P,53.0,18.0,30.0,12.0,83.0,12.0,6.0,
steph-charbonneau,Steph Charbonneau,P,3.0,18.0,1.0,8.0,4.0,,,
stephen-keogh,Stephen Keogh,,18.0,15.0,20.0,6.0,38.0,3.0,2.0,2.0
steve-fryer,Steve Fryer,P,,14.0,,,,,,
steve-orleman,Steve Orleman,,,9.0,,,,,,
steve-priolo,Steve Priolo,P,8.0,18.0,5.0,30.0,13.0,,,
tj-comizio,TJ Comizio,P,4.0,17.0,,6.0,4.0,,,
tanner-cook,Tanner Cook,P,39.0,18.0,26.0,18.0,65.0,4.0,5.0,
taylor-jensen,Taylor Jensen,P,4.0,13.0,1.0,6.0,5.0,,,
tehoka-nanticoke,Tehoka Nanticoke,P,16.0,16.0,27.0,10.0,43.0,,6.0,2.0
thomas-hoggarth,Thomas Hoggarth,P,4.0,16.0,14.0,8.0,18.0,,1.0,2.0
thomas-kiazyk,Thomas Kiazyk,G,,8.0,,,,,,
thomas-mcconvey,Thomas McConvey,P,24.0,17.0,28.0,4.0,52.0,6.0,6.0,
thomas-vela,Thomas Vela,P,8.0,7.0,1.0,,9.0,1.0,,
thomas-whitty,Thomas Whitty,P,5.0,16.0,,16.0,5.0,,,
tim-edwards,Tim Edwards,P,6.0,18.0,4.0,8.0,10.0,,,1.0
travis-longboat,Travis Longboat,P,32.0,18.0,25.0,4.0,57.0,1.0,3.0,1.0
tre-leclaire,Tre Leclaire,P,36.0,18.0,23.0,7.0,59.0,7.0,6.0,
trevor-baptiste,Trevor Baptiste,P,5.0,17.0,3.0,28.0,8.0,,,
trevor-smyth,Trevor Smyth,P,1.0,18.0,2.0,13.0,3.0,,,2.0
troy-holowchuk,Troy Holowchuk,G,,18.0,,,,,,
tyler-biles,Tyler Biles,P,1.0,14.0,,19.0,1.0,,,
tyler-carlson,Tyler Carlson,P,,18.0,,,,,,
tyler-garrison,Tyler Garrison,P,6.0,16.0,3.0,14.0,9.0,,,
tyler-hendrycks,Tyler Hendrycks,P,2.0,5.0,3.0,,5.0,,,
tyler-packer,Tyler Packer,OL/P,50.0,18.0,36.0,10.0,86.0,13.0,10.0,1.0
wakeriat-bowhunter,Wake:Riat BowHunter,P,11.0,13.0,2.0,4.0,13.0,,,
warren-hill,Warren Hill,G,,18.0,,,,,,
warren-jeffrey,Warren Jeffrey,P,6.0,17.0,1.0,25.0,7.0,,,
wesley-berg,Wesley Berg,P,67.0,18.0,41.0,18.0,108.0,27.0,9.0,1.0
will-malcom,Will Malcom,P,68.0,18.0,37.0,,105.0,20.0,6.0,1.0
zach-currier,Zach Currier,P,17.0,18.0,1.0,18.0,18.0,3.0,,
zach-higgins,Zach Higgins,G,,18.0,,,,,,
zach-manns,Zach Manns,P,47.0,18.0,37.0,2.0,84.0,19.0,5.0,2.0
zach-miller,Zach Miller,P,15.0,15.0,13.0,,28.0,1.0,,
zack-belter,Zack Belter,P,1.0,8.0,,13.0,1.0,,,
zack-deaken,Zack Deaken,P,3.0,13.0,,4.0,3.0,,,
zack-kearney,Zack Kearney,P,2.0,9.0,2.0,2.0,4.0,,,
zed-williams,Zed Williams,P,25.0,17.0,30.0,18.0,55.0,5.0,5.0,1.0
