player_id,player_name,positions,def_int,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_yds,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_ir,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
micah-awe,Micah Awe,LB,,1.0,4.0,,4.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-jones,Mike Jones,RB/WR,,,,,,,,,,,,,,,15.0,2.0,4.0,4.0,23.0,,,,,,1.0,4.0,4.0,,,,,,,,,
mike-moore,Mike Moore,DL/DB,,2.0,3.0,,3.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nathaniel-behar,Nathaniel Behar,WR,,,,,,,,,,,,,,,4.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,
nyles-morgan,Nyles Morgan,DB/LB,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rj-harris,R.J. Harris,WR,,,,,,,,,,,,,,,12.0,2.0,5.0,2.0,20.0,,,,,,,,,,,,,,,,,
randall-evans,Randall Evans,DB,1.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
richie-leone,Richie Leone,K,,,,,,,,,,,,,,,,,,,,65.0,3.0,3.0,55.0,194.0,,,,,,,,,,,,
ryan-davis,Ryan Davis,DL/DB,,,,,,,,,,,,,,,15.0,6.0,7.0,10.0,33.0,22.0,1.0,,,22.0,1.0,6.0,6.0,,,,,,,,,
sean-whyte,Sean WHYTE,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,4.0,4.0,52.0,12.0,,
shai-ross,Shai Ross,WR,,,1.0,,1.0,,,,,,,,,,11.0,5.0,7.0,21.0,47.0,,,,,,,,,,,,,,,,,
sherrod-baltimore,Sherrod Baltimore,DB,,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stansly-maponga,Stansly Maponga,DL/DB,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stefan-charles,Stefan Charles,DL/DB,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terry-williams,Terry Williams,WR/RB,,,,,,,,,,,,,,,,,,,,19.0,3.0,,,55.0,,,,,,,,,,,,
tim-flanders,Tim Flanders,RB,,,,,,,,,,,,,,,7.0,1.0,1.0,7.0,7.0,,,,,,11.0,8.0,39.0,,,,,,,,,
trevor-harris,Trevor HARRIS,QB,,,,,,,,44.0,33.0,3.0,35.0,20.0,3.0,333.0,,,,,,,,,,,5.0,9.0,17.0,,,,,,,,,
trumaine-washington,Trumaine Washington,DB,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
