player_id,player_name,positions,assisted_tackles,blocks,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
joshua-neal,Joshua Neal,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,21.0,1.0,30.0,2.0,,,,,,,,,,,,,
juan-moore,Juan Moore,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,25.0,2.0,49.0,2.0,2.0,2.0,1.0,0.0,2.0,,,1.0,2.0,,,,
justin-clarkson,Justin Clarkson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,36.0,1.0,48.0,3.0,3.0,5.0,2.0,0.0,6.0,,,,,,,,
kevin-macias,Kevin Macias,K,,,,,4.0,31.0,1.0,,,,,,,,,,,4.0,39.6,0.0,3.0,198.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
khalil-trotman,Khalil Trotman,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0.0,3.0,1.0,,,,,,,,1.0,2.0,,,,
kisean-johnson,Kisean JOHNSON,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,0.0,5.0,1.0,,,,,,,,,,,,,
laronji-vason-mccoy,Laronji Vason-McCoy,DB,,,,,1.0,0.0,0.0,,,,,,,,,,,5.0,46.7,0.0,1.0,280.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0
laterrance-welch,Laterrance Welch,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,5.0,1.0,0.0,,
marvin-grant-jr,Marvin Grant Jr,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,
quincey-crittendon,Quincey Crittendon,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,16.0,12.0,,25.0,4.0,169.0,,,,,,-2.0,2.0,3.0,0.0,-6.0,,,,,,,,
sammie-epps,Sammie Epps,WR,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,14.0,14.0,0.0,14.0,,,,,,,,,,,,,,,,,,,2.0,4.0,0.5,0.0,,
team,TEAM,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
travis-taylor,Travis Taylor,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0,0.0,1.0,0.0,-3.0,,,,,,,,
tyalen-shaw,Tyalen Shaw,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,0.5,0.0,,
