player_id,player_name,positions,def_int,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_ir,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
henoc-muamba,Henoc Muamba,LB,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jalen-morton,Jalen Morton,QB,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,3.0,9.0,11.0,,,,,,,,,,
jamal-peters,Jamal Peters,DB,3.0,,4.0,1.0,4.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,1.0,,,,,,
javon-leake,Javon LEAKE,RB,,,,,,,,,,,,,,,,,,,,,,23.0,1.0,,,23.0,3.0,9.0,13.0,,,,,,,,,,
john-haggerty,John Haggerty,P/K,,,,,,,,,,,,,,,,,,,,,,54.0,6.0,5.0,26.0,275.0,,,,,,,,,,,,,
joshua-hagerty,Joshua Hagerty,DB,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jovan-santos-knox,Jovan Santos-Knox,LB,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
julian-howsare,Julian Howsare,DL/DE/DB,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jumal-rolle,Jumal Rolle,DB,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kameron-kelly,Kameron Kelly,SS/DB/S,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiondre-smith,Kiondre SMITH,WR,,,,,,,,,,,,,,,,11.0,3.0,4.0,,8.0,30.0,,,,,,,,,,,,,,,,,,
kurleigh-gittens-jr,Kurleigh GITTENS JR.,WR,,,,,,,,,,,,,,,,14.0,4.0,9.0,1.0,10.0,26.0,17.0,2.0,,,24.0,,,,,1.0,6.0,1.0,,,,,,
kyle-wilson,Kyle Wilson,LB,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemar-durant,Lemar Durant,WR,,,,,,,,,,,,,,,,26.0,3.0,4.0,1.0,10.0,39.0,,,,,,,,,,1.0,6.0,1.0,,,,,,
markeith-ambles,Markeith Ambles,WR,,,,,,,,,,,,,,,,30.0,4.0,6.0,1.0,21.0,55.0,,,,,,,,,,1.0,6.0,1.0,,,,,,
mason-bennett,Mason Bennett,DE/DB,,2.0,5.0,,5.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matthew-shiltz,Matthew Shiltz,QB,,,,,,,,15.0,13.0,,24.0,2.0,1.0,1.0,144.0,,,,,,,,,,,,,,,,,,,,,,,,
maurice-carnell,Maurice Carnell,DB,,1.0,7.0,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mcleod-bethel-thompson,McLeod Bethel-Thompson,QB,,,,,,,,32.0,19.0,1.0,38.0,13.0,2.0,3.0,258.0,,,,,,,,,,,,,,,,,,,,,,,,
micah-johnson,Micah Johnson,DL/DB,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michael-domagala,Michael Domagala,P/K,,,,,,,,,,,,,,,,,,,,,,77.0,3.0,3.0,47.0,191.0,,,,,,,,,,,,,
papi-white,Papi White,WR,,,,,,,,,,,,,,,,32.0,7.0,10.0,,36.0,81.0,10.0,4.0,,,14.0,2.0,2.0,2.0,,,,,,,,,,
richard-leonard,Richard Leonard,DB,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robert-smith,Robert Smith,DB,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rodney-randle,Rodney Randle,DB,1.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
royce-metchie,Royce Metchie,DB,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sean-thomas-erlington,Sean THOMAS ERLINGTON,RB,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,7.0,,,,,,,,,,
seth-small,Seth Small,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,5.0,4.0,58.0,13.0,1.0,1.0
shane-ray,Shane Ray,DL/DB/LB,,2.0,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steven-dunbar,Steven Dunbar,WR,,,,,,,,,,,,,,,,29.0,5.0,7.0,,35.0,81.0,,,,,,,,,,,,,,,,,,
tarvarus-mcfadden,Tarvarus McFadden,DB,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tim-white,Tim White,WR,,,,,,,,,,,,,,,,26.0,8.0,11.0,,38.0,105.0,35.0,3.0,,,80.0,,,,,,,,,,,,,
travis-vornkahl,Travis Vornkahl,OL,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tunde-adeleke,Tunde Adeleke,DB,,,3.0,,3.0,,,,,,,,,,,,,,,,,12.0,1.0,,,12.0,,,,,,,,,,,,,
wynton-mcmanis,Wynton McManis,LB,,,11.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
