player_id,player_name,positions,assisted_tackles,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
kenttwon-brown,Kenttwon Brown,WR,,,,,,,,,,,,,,,,,,,,,,,,,16.5,24.0,2.0,66.0,4.0,,,,,,,,,,,,,
marcus-gray,MARCUS GRAY,G,,,,,,,,,4.0,44.4,0.0,2.0,355.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0
noa-purcell,Noa Purcell,LB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,0.5,0.0,,
prince-shonola,Prince Shonola,WR,,,,,1.0,1.0,,3.0,,,,,,,20.3,36.0,0.0,61.0,,,,,,,8.7,13.0,1.0,61.0,7.0,4.1,16.0,10.0,1.0,41.0,,,,,,,,
quinton-williams,Quinton Williams,WR,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,
rodell-rahmaan,Rodell Rahmaan,TE/WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,6.8,16.0,1.0,34.0,5.0,,,,,,,,1.0,1.0,1.0,0.0,,
sam-hammond,Sam Hammond,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
steven-newbold-jr,"Steven Newbold, Jr.",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
terrence-jackson,Terrence Jackson,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,
tevin-shipp,Tevin Shipp,LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
thurlow-wilkins,Thurlow Wilkins,RB,,,,,,,,,,,,,,,,,,,,,,,,,12.0,18.0,0.0,24.0,2.0,,,,,,,,,,,,,
tracy-brooks,Tracy Brooks,RB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,
trey-taylor,Trey Taylor,P,3.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,3.0,6.0,2.0,0.0,,
verlon-reed,Verlon Reed,QB,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,,,,
