player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_yds,score_ir,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
hakeem-johnson,Hakeem Johnson,DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jr-tavai,J.R. Tavai,DL/DB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jacob-scarfone,Jacob Scarfone,WR,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jamar-mcgloster,Jamar McGloster,OL,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jevon-cottoy,Jevon COTTOY,WR,,,,,,,,,,,,,,,,,,4.0,5.0,1.0,33.0,69.0,,,,,,,,,,,1.0,6.0,1.0,,,,,,
jimmy-camacho,Jimmy Camacho,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,1.0,1.0,14.0,9.0,6.0,6.0
jordan-williams,Jordan Williams,WR/OT/LB/DL/DE/MLB,,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-banks,Josh Banks,DL/DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keon-hatcher,Keon HATCHER,WR,,,,,,,,,,,,,,,,,9.0,3.0,4.0,1.0,1.0,25.0,,,,,,,,,,,1.0,6.0,1.0,,,,,,
kiante-hardin,Kiante Hardin,CB/DB,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lewis-ward,Lewis Ward,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,3.0,2.0,51.0,7.0,1.0,1.0
lucky-whitehead,Lucky Whitehead,WR,,,,,,,,,,,,,,,,,63.0,3.0,3.0,,29.0,82.0,10.0,2.0,,,1.0,19.0,,,,,,6.0,1.0,,,,,,
marcus-lewis,Marcus Lewis,CB/DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marcus-sayles,Marcus Sayles,DB,,,1.0,5.0,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
micah-awe,Micah Awe,LB,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-reilly,Mike Reilly,QB,,,,,,,,,26.0,22.0,1.0,63.0,15.0,2.0,4.0,319.0,,,,,,,,,,,,,4.0,13.0,27.0,,,,,,,,,,
nathaniel-behar,Nathaniel Behar,WR,,,,,,,,,,,,,,,,,21.0,5.0,11.0,,25.0,61.0,,,,,,,,,,,,,,,,,,,
obum-gwacham,Obum Gwacham,DE/DB,,,1.0,2.0,,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peter-godber,Peter Godber,OL,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rj-harris,R.J. Harris,WR,,,,,,,,,,,,,,,,,10.0,4.0,7.0,,8.0,36.0,,,,,,,,,,,,,,,,,,,
randall-evans,Randall Evans,DB,,,,6.0,,6.0,,,,,,,,,,,29.0,1.0,1.0,,18.0,29.0,,,,,,,,,,,,,,,,,,,
richie-leone,Richie Leone,K,,,,,,,,,1.0,1.0,,29.0,,,,29.0,,,,,,,64.0,2.0,2.0,69.0,,127.0,,,,,,,,,,,,,
ryan-davis,Ryan Davis,DL/DB,,,,,,,,,,,,,,,,,,5.0,9.0,1.0,16.0,65.0,30.0,8.0,,,,168.0,1.0,11.0,11.0,,1.0,6.0,1.0,,,,,,
shaquille-cooper,Shaquille Cooper,RB,,,,,,,,,,,,,,,,,15.0,2.0,2.0,,22.0,23.0,,,,,,,9.0,14.0,41.0,,,,,,,,,,
shaquille-johnson,Shaquille Johnson,WR,,,,,,,,,,,,,,,,,15.0,5.0,6.0,,14.0,48.0,,,,,,,,,,,,,,,,,,,
stefan-flintoft,Stefan Flintoft,P/K,,,,,,,,,,,,,,,,,,,,,,,71.0,8.0,8.0,168.0,,504.0,,,,,,,,,,,,,
tj-lee,T.J. Lee,DB,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tim-bonner,Tim Bonner,DE/DL/DB,,,1.0,1.0,,1.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tim-flanders,Tim Flanders,RB,,,,,,,,,,,,,,,,,17.0,4.0,6.0,,30.0,57.0,,,,,,,15.0,9.0,40.0,,,,,,,,,,
ufomba-kamalu,Ufomba Kamalu,DT/LB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victor-gamboa,Victor Gamboa,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
