player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_kr,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
johnny-adams,Johnny Adams,DB/CB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-bell,Josh Bell,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kamar-jorden,Kamar Jorden,WR,,,,,,,,,,,,,,,,37.0,6.0,10.0,,8.0,69.0,,,,,,,,,,,1.0,,,2.0,,,,,,,,
larry-dean,Larry Dean,LB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lemar-durant,Lemar Durant,WR,,,,,,,,,,,,,,,,13.0,1.0,2.0,,10.0,13.0,,,,,,,,,,,,,,,,,,,,,,
marquay-mcdaniel,Marquay McDaniel,WR,,,,,,,,,,,,,,,,20.0,3.0,4.0,,17.0,34.0,,,,,,,,,,,,,,,,,,,,,,
matt-bucknor,Matt Bucknor,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
micah-johnson,Micah Johnson,DB/DL,,,1.0,1.0,1.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michael-ford,Michael Ford,RB,,,,,,,,,,,,,,,,13.0,1.0,1.0,,13.0,13.0,,,,,,,3.0,7.0,,13.0,,,,,,,,,,,,
mike-daly,Mike Daly,DB,1.0,58.0,,1.0,1.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-jones,Mike Jones,WR/RB,,,,,,,,,,,,,,,,6.0,1.0,1.0,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,
rene-paredes,René Paredes,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,2.0,2.0,44.0,8.0,2.0,2.0
rob-maver,Rob Maver,K/P,,,,,,,,,,,,,,,,,,,,,,65.0,7.0,7.0,141.0,,422.0,,,,,,,,,,,,,,,,
roy-finch,Roy Finch,RB,,,,,,,,,,,,,,,,,,,,,,24.0,2.0,,,,40.0,2.0,3.0,,4.0,,,,,,,,,,,,
simon-charbonneau-campeau,Simon Charbonneau-Campeau,WR,,,,,,,,,,,,,,,,11.0,1.0,1.0,,5.0,11.0,,1.0,,,1.0,51.0,,,,,,1.0,,6.0,,1.0,,,,,,
simoni-lawrence,Simoni Lawrence,LB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spencer-watt,Spencer Watt,WR,,,,1.0,1.0,,,,,,,,,,,6.0,3.0,6.0,,3.0,16.0,,,,,,,,,,,,,,,,,,,,,,
terrence-toliver,Terrence Toliver,WR,,,,,,,,,,,,,,,,13.0,3.0,8.0,,8.0,33.0,,,,,,,,,,,,,,,,,,,,,,
tommie-campbell,Tommie Campbell,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
tory-harrison,Tory Harrison,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8.0,,19.0,,,,,,,,,,,,
will-smith,Will Smith,LB/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zach-collaros,Zach COLLAROS,QB,,,,,,,,22.0,16.0,1.0,13.0,6.0,1.0,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
