player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_kr,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
kyran-moore,Kyran Moore,WR,,,,,,,,,,,,,,,,,5.0,6.0,1.0,38.0,63.0,10.0,2.0,,,,12.0,,,,,,1.0,6.0,,1.0,,,,,,
lemar-durant,Lemar Durant,WR,,,,,,,,,,,,,,,,9.0,3.0,3.0,,1.0,9.0,,,,,,,,,,,,,,,,,,,,,
loucheiz-purifoy,Loucheiz Purifoy,DB,1.0,45.0,,3.0,3.0,45.0,,,,,,,,,,,,,,,,27.0,2.0,,,,51.0,,,,,,,,,,,,,,,
makana-henry,Makana Henry,DL/DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maleki-harris,Maleki Harris,LB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marcus-thigpen,Marcus Thigpen,RB,,,,,,,,,,,,,,,,,,,,,,100.0,2.0,,,1.0,103.0,1.0,1.0,,1.0,1.0,,6.0,,1.0,,,,,,
mike-edem,Mike Edem,DB/S,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-reilly,Mike Reilly,QB,,,,,,,,40.0,31.0,1.0,53.0,14.0,4.0,1.0,346.0,,,,,,,,,,,,,5.0,16.0,1.0,32.0,,,6.0,1.0,1.0,,,,,,
naaman-roosevelt,Naaman Roosevelt,WR,,,,,,,,,,,,,,,,6.0,1.0,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
nick-marshall,Nick Marshall,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oluwaseun-idowu,Oluwaseun Idowu,LB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phillip-norman,Phillip Norman,OL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rashaun-simonise,Rashaun Simonise,WR,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,,,,12.0,,,,,,,,,,,,,,,
ryan-lankford,Ryan Lankford,WR,,,,,,,,,,,,,,,,,,,,,,25.0,5.0,,,,81.0,,,,,,,,,,,,,,,
sergio-castillo,Sergio CASTILLO,K,,,,,,,,,,,,,,,,,,,,,,69.0,4.0,4.0,154.0,1.0,255.0,,,,,,,13.0,,,4.0,4.0,50.0,13.0,1.0,1.0
shaquelle-evans,Shaquelle Evans,WR,,,,,,,,,,,,,,,,,5.0,8.0,1.0,37.0,158.0,,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
shaquille-johnson,Shaquille Johnson,WR,,,,,,,,,,,,,,,,53.0,4.0,6.0,,27.0,94.0,,,,,,,,,,,,,,,,,,,,,
solomon-elimimian,Solomon Elimimian,LB,,,1.0,7.0,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solomon-means,Solomon Means,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tj-lee,T.J. Lee,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victor-gamboa,Victor Gamboa,DB,1.0,16.0,,1.0,1.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
william-powell,William Powell,RB,,,,,,,,,,,,,,,,8.0,1.0,3.0,,8.0,8.0,,,,,,,11.0,9.0,1.0,47.0,,,6.0,1.0,1.0,,,,,,
