player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_ir,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
devier-posey,DeVier Posey,WR,,,,1.0,,1.0,,,,,,,,,,,11.0,4.0,8.0,,8.0,29.0,,,,,,,,,,,,,,,,,,
delvin-breaux,Delvin Breaux,DB,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
don-unamba,Don Unamba,LB,1.0,,,5.0,1.0,5.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,1.0,,,,,,
felix-faubert-lussier,Felix Faubert-Lussier,WR,,,,,,,,,,,,,,,,,7.0,1.0,3.0,,4.0,7.0,,,,,,,,,,,,,,,,,,
frankie-williams,Frankie Williams,DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
garry-peters,Garry Peters,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ivan-mclennan,Ivan McLennan,DB/DL,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeremiah-johnson,Jeremiah Johnson,DB/CB/S,,,,,,,,,,,,,,,,,18.0,6.0,6.0,,25.0,50.0,,,,,,3.0,3.0,6.0,,,,,,,,,,
jeremiah-masoli,Jeremiah MASOLI,QB,,,,,,,,,26.0,18.0,,38.0,2.0,1.0,3.0,189.0,,,,,,,,,,,,1.0,2.0,2.0,,,,,,,,,,
john-white,John White,RB,,,,,,,,,,,,,,,,,7.0,3.0,3.0,,9.0,9.0,,,,,,15.0,32.0,108.0,,,,,,,,,,
jonathon-jennings,Jonathon Jennings,QB,,,,,,,,,25.0,17.0,3.0,27.0,32.0,3.0,,146.0,,,,,,,,,,,,2.0,3.0,5.0,,,,,,,,,,
jordan-herdman,Jordan Herdman,LB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
julian-howsare,Julian Howsare,DB/DL/DE,,,1.0,5.0,,5.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jumal-rolle,Jumal Rolle,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin-capicciotti,Justin Capicciotti,DB/DE,,,1.0,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larry-dean,Larry Dean,LB,,,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lirim-hajrullahu,Lirim Hajrullahu,K,,,,,,,,,,,,,,,,,,,,,,,78.0,6.0,6.0,136.0,415.0,,,,,,10.0,,2.0,2.0,51.0,10.0,5.0,4.0
luke-tasker,Luke Tasker,WR,,,,,,,,,,,,,,,,,30.0,2.0,3.0,1.0,,43.0,,,,,,,,,,1.0,6.0,1.0,,,,,,
mercer-timmis,Mercer Timmis,RB,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,,8.0,,,,,,,,,,,,,
micah-awe,Micah Awe,LB,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-daly,Mike Daly,DB,1.0,,,1.0,1.0,1.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,1.0,,,,,,
mike-jones,Mike Jones,RB/WR,,,,,,,,,,,,,,,,,38.0,3.0,6.0,,2.0,51.0,,,,,,,,,,,,,,,,,,
nikita-whitlock,Nikita Whitlock,DT/DB,,,1.0,4.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otha-foster,Otha Foster,DB/LB,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rashad-lawrence,Rashad Lawrence,WR,,,,,,,,,,,,,,,,,16.0,1.0,2.0,,1.0,16.0,,,,,,,,,,,,,,,,,,
richard-leonard,Richard Leonard,DB,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ricky-collins,Ricky Collins,WR,,,,,,,,,,,,,,,,,27.0,2.0,4.0,,,37.0,,,,,,,,,,,,,,,,,,
shaquille-johnson,Shaquille Johnson,WR,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,,13.0,,,,,,,,,,1.0,6.0,1.0,,,,,,
simoni-lawrence,Simoni Lawrence,LB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tj-lee,T.J. Lee,DB,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ted-laurent,Ted Laurent,DT/DB,,,2.0,2.0,,2.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terrence-toliver,Terrence Toliver,WR,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
ty-long,Ty Long,K,,,,,,,,,,,,,,,,,,,,,,,69.0,2.0,2.0,24.0,125.0,,,,,,4.0,,1.0,1.0,29.0,3.0,,
winston-rose,Winston Rose,DB,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
