player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
drew-wolitarsky,Drew WOLITARSKY,WR,,,,,,,,,,0.0,33.0,2.0,,,,
evan-holm,Evan Holm,DB,,,,0.0,,,,,,,,,,,0.0,4.0
gabe-wallace,Gabe Wallace,OL,,,,0.0,,,,,,,,,,,0.0,1.0
jake-thomas,Jake Thomas,DT/DB,,,,0.0,,,,,,,,,,,0.0,1.0
jamal-woods,Jamal Woods,DT,,,,0.0,,,,,,,,,,,0.0,5.0
jameer-thurman,Jameer Thurman,DB/LB,,,,0.0,,,,,,,,,,,0.0,5.0
jayden-dalke,Jayden Dalke,DB,,,,0.0,,,,,,,,,,,0.0,4.0
jerreth-sterns,Jerreth STERNS,WR,,,,,,,,,,0.0,81.0,7.0,,,,
johnny-augustine,Johnny AUGUSTINE,RB,,,,,,,,,,0.0,12.0,1.0,1.0,15.0,,
jordan-herdman-reed,Jordan Herdman-Reed,LB,,,,,,,,,,,,,,,,1.0
justin-herdman-reed,Justin Herdman-Reed,LB,,,,0.0,,,,,,,,,,,0.0,0.0
keesean-johnson,KeeSean Johnson,WR,,,,,,,,,,0.0,1.0,1.0,,,,
kenny-lawler,Kenny Lawler,WR,,,,,,,,,,0.0,26.0,3.0,,,,
kevens-clercius,Kevens Clercius,WR,,,,,,,,,,0.0,16.0,2.0,,,,
kian-schaffer-baker,Kian SCHAFFER-BAKER,WR,,,,,,,,,,0.0,52.0,4.0,,,,1.0
kyrie-wilson,Kyrie Wilson,LB,,,,0.0,,,,,,,,,,,0.0,5.0
malik-carney,Malik Carney,DB/DE,,,,0.0,,,,,,,,,,,0.0,1.0
melique-straker,Melique Straker,LB,,,,0.0,,,,,,,,,,,0.0,2.0
micah-johnson,Micah Johnson,DB/DL,,,,,,,,,,,,,,,,3.0
michael-ayers,Michael Ayers,LB,,,,0.0,,,,,,,,,,,0.0,2.0
michael-chris-ike,Michael CHRIS-IKE,RB,,,,,,,,,,0.0,0.0,0.0,,,,
mike-benson,Mike Benson,LS,,,,0.0,,,,,,,,,,,0.0,0.0
miles-fox,Miles Fox,DB/DT/DL,,,,0.0,,,,,,,,,,,0.0,1.0
myron-mitchell,Myron Mitchell,WR,,,,0.0,,,,,,,,,,,0.0,1.0
nelson-lokombo,Nelson Lokombo,DB,,,,0.0,,,,,,,,,,,0.0,2.0
nic-demski,Nic DEMSKI,WR,,,,,1.0,,,,,0.0,27.0,3.0,0.0,2.0,,
nick-hallett,Nick Hallett,DB,,,,0.0,,,,,,,,,,,0.0,1.0
ontaria-wilson,Ontaria Wilson,WR,,,,,,,,,,0.0,16.0,1.0,,,,
redha-kramdi,Redha Kramdi,DB/LB,,,,0.0,,,,,,,,,,,0.0,2.0
rolan-milligan,Rolan Milligan,DB,,,,,,,,,,,,,,,,10.0
ssk-dst,SSK DST,DST,,,,0.0,,,,,26.0,,,,,,4.0,
ssk-k,SSK K,K,4.0,,,,,,,,,,,,,,,
ssk-qb,SSK QB,QB,,,2.0,,,,3.0,305.0,,,,,,,,
samuel-emilus,Samuel Emilus,WR,,,,0.0,,,,,,0.0,27.0,4.0,,,0.0,1.0
sean-jamieson,Sean Jamieson,P/OL,,,,,,,,,,,,,,,,1.0
sergio-castillo,Sergio CASTILLO,K,,17.0,,,,2.0,,,,,,,,,,
shawn-bane-jr,Shawn Bane Jr.,WR,,,,,,,,,,3.0,125.0,5.0,,,,
souleymane-karamoko,Souleymane Karamoko,DB,,,,0.0,,,,,,,,,,,0.0,1.0
tanner-cadwallader,Tanner Cadwallader,LB,,,,0.0,,,,,,,,,,,0.0,2.0
terrell-bonds,Terrell Bonds,CB/DB,,,,0.0,,,,,,,,,,,0.0,3.0
trevor-harris,Trevor HARRIS,QB,,,2.0,0.0,,,3.0,305.0,,,,,,,0.0,1.0
trevor-reid,Trevor Reid,T/OL,,,,,,,,,,,,,,,,1.0
tyrell-ford,Tyrell Ford,DB,,,,0.0,,,,,,,,,,,0.0,5.0
wpg-dst,WPG DST,DST,,,,1.0,,,,,27.0,,,,,,1.0,
wpg-k,WPG K,K,,17.0,,,,2.0,,,,,,,,,,
wpg-qb,WPG QB,QB,,,1.0,,,,,209.0,,,,,,37.0,,
zach-collaros,Zach COLLAROS,QB,,,1.0,,,,0.0,209.0,,,,,0.0,5.0,,
