player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,misc_td,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_fr,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
josh-mitchell,Josh Mitchell,DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin-hickman,Justin Hickman,DE/DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ken-bishop,Ken Bishop,DL/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kendial-lawrence,Kendial Lawrence,RB,,,,,,,,,,,,,-2.0,1.0,1.0,,,-2.0,32.0,6.0,,,139.0,2.0,3.0,5.0,,,,,,,,,,
kenny-shaw,Kenny Shaw,WR,,,,,,,,,,,,,23.0,2.0,2.0,,,31.0,,,,,,,,,,,,,,,,,,
keon-raymond,Keon Raymond,LB,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kevin-francis,Kevin Francis,DB/LB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larry-taylor,Larry Taylor,WR,,,,,,,,,,,,,,,,,,,57.0,8.0,,,132.0,,,,,,,,,,,,,
lirim-hajrullahu,Lirim Hajrullahu,K,,,,,,,,,,,,,,,,,,,83.0,7.0,6.0,139.0,485.0,,,,,,12.0,,3.0,3.0,50.0,12.0,3.0,3.0
matt-black,Matt Black,DB,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,1.0,,,,,,
naaman-roosevelt,Naaman Roosevelt,WR,,,,,,,,,,,,,48.0,9.0,15.0,,14.0,113.0,,,,,,,,,,,,,,,,,,
nic-demski,Nic DEMSKI,WR,,,,,,,,,,,,,,,1.0,,,,9.0,5.0,,,34.0,,,,,,,,,,,,,
otha-foster,Otha Foster,DB/LB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ricky-collins,Ricky Collins,WR,,,,,,,,,,,,,35.0,4.0,6.0,,8.0,56.0,,,,,,,,,,,,,,,,,,
ricky-foley,Ricky Foley,DL/DB,1.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ricky-ray-rayri02,Ricky Ray Rayri02,,,,,,,22.0,13.0,,7.0,2.0,2.0,186.0,,,,,,,,,,,,1.0,19.0,19.0,,,,,,,,,,
rob-bagg,Rob Bagg,WR,,,,,,,,,,,,,16.0,5.0,6.0,,9.0,38.0,,,,,,1.0,-5.0,-5.0,,,,,,,,,,
samuel-eguavoen,Samuel Eguavoen,LB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shamawd-chambers,Shamawd Chambers,WR,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
thomas-miles,Thomas Miles,LB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tori-gurley,Tori Gurley,WR,,,,,,,,,,,,,32.0,1.0,3.0,,5.0,32.0,,,,,,,,,,,,,,,,,,
tracy-robertson,Tracy Robertson,DL/DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyler-crapigna,Tyler Crapigna,K,,,,,,,,,,,,,,,,,,,95.0,1.0,,,95.0,,,,,,11.0,,4.0,3.0,35.0,10.0,1.0,1.0
vidal-hazelton,Vidal Hazelton,WR,,,,,,,,,,,,,,2.0,4.0,1.0,23.0,69.0,,,,,,,,,,1.0,6.0,1.0,,,,,,
wallace-miles,Wallace Miles,WR,,,,,,,,,,,,,6.0,1.0,3.0,,2.0,6.0,,,,,,,,,,,,,,,,,,
