player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,misc_td,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_yds,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_fr,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
ryan-davis,Ryan Davis,DL/DB,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,24.0,1.0,,,24.0,,,,,,,,,,,,,,,
sean-thomas-erlington,Sean THOMAS ERLINGTON,RB,,,,,,,,,,,,,,,,,,2.0,,,,,,,,13.0,36.0,,104.0,,,,,,,,,,,
seth-small,Seth Small,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,6.0,5.0,38.0,16.0,1.0,1.0
sherrod-baltimore,Sherrod Baltimore,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siaosi-mariner,Siaosi Mariner,WR,,,,,,,,,,,,,,,,14.0,3.0,5.0,23.0,37.0,,,,,,,,,,,,,,,,,,,,
simoni-lawrence,Simoni Lawrence,LB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steven-dunbar,Steven Dunbar,WR,,,,,,,,,,,,,,,,22.0,3.0,6.0,20.0,46.0,,,,,,,,,,,,,,,,,,,,
tim-white,Tim White,WR,,,,,,,,,,,,,,,,29.0,7.0,10.0,62.0,113.0,,,,,,1.0,,,,,,,,,,,,,,
tunde-adeleke,Tunde Adeleke,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ty-cranston,Ty Cranston,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyler-ternowski,Tyler TERNOWSKI,WR,,,,1.0,1.0,,,,,,,,,,,3.0,1.0,2.0,,3.0,,,,,,,,,,1.0,,2.0,,,,,,,,
will-kiely,Will Kiely,DL/DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
