player_id,player_name,positions,assist_tackles,completions,fg_20_29,fg_30_39,fg_40_49,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,sacks,solo_tackles,tackles,targets
dallas,Dallas,,,,,,,,,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darius-hillary,Darius Hillary,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.0,
dashaun-phillips,Dashaun Phillips,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
david-rivers,David Rivers,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,
davonte-lambert,Davonte Lambert,DL/DB/DT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
demornay-pierson-el,De'Mornay Pierson-El,,,,,,,,,,,,,,,,,,,1.0,6.0,6.0,,,2.0,,,,,,64.0,4.0,,,,,,,3.0
derron-smith,Derron Smith,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,
dewayne-hendrix,Dewayne Hendrix,DL/DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,
dexter-mccoil,Dexter McCoil,LB/DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,9.0,
donald-parham,Donald Parham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,4.0,,,,,,,3.0
donatello-brown,Donatello Brown,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
doyin-jibowu,Doyin Jibowu,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
drew-galitz,Drew Galitz,P,,,,,,,,,,,,,,,,,,,,,45.2,48.0,,181.0,4.0,6.0,2.0,,,,,,,,,,
flynn-nagel,Flynn Nagel,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,6.0,,,,,,,3.0
frank-alexander,Frank Alexander,DL/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,5.0,
freddie-martino,Freddie Martino,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,,,,,,,1.0
gelen-robinson,Gelen Robinson,DL/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,
gimel-president,Gimel President,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
greer-martini,Greer Martini,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
harold-jones-quartey,Harold Jones-Quartey,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
hauoli-kikaha,Hau'oli Kikaha,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
houston,Houston,,,,,,,,11.0,37.0,12.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-payne,Jake Payne,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,
jazz-ferguson,Jazz Ferguson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2.0,,,,,,,1.0
jeff-badet,Jeff Badet,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,,,,,,,
jerrod-heard,Jerrod Heard,WR,,,,,,,,,,,,,,,,,,,16.0,26.0,,,3.0,,,,,,10.0,1.0,,,,,,,1.0
joe-powell,Joe Powell,LB/SAF/DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
johnathan-calvin,Johnathan Calvin,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
jordan-taamu,Jordan Ta\'amu,QB,,20.0,,,,,,,,,,,,,27.0,1.0,209.0,,,,,,,,,,,,,,9.0,,77.0,,,,
josh-hawkins,Josh Hawkins,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
josh-thornton,Josh Thornton,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
keith-ford,Keith Ford,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,26.0,,,,
keith-mumphery,Keith Mumphery,WR,,,,,,,,,,,,3.0,27.0,69.0,,,,,,,,,,,,,,,12.0,1.0,,,,,,,
kenny-robinson,Kenny Robinson,S/DB/SAF,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,
ldamian-washington,L\'Damian Washington,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,,,,,,,1.0
lance-dunbar,Lance Dunbar,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,6.0,5.0,,27.0,,,,2.0
los-angeles,Los Angeles,,,,,,,,,17.0,9.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
marcus-lucas,Marcus Lucas,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,4.0,,,,,,,4.0
marquette-king,Marquette King,P,,,,,,,,,,,,,,,,,,,,,45.2,63.0,,226.0,5.0,26.0,3.0,,,,,,,,,,
marquis-young,Marquis Young,WR,,,,,,,,,,,,2.0,25.0,47.0,,,,,,,,,,,,,,,20.0,4.0,3.0,,12.0,,,,
matt-jones,Matt Jones,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,85.0,,,,
micah-abernathy,Micah Abernathy,S/CB/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
new-york,New York,,,,,,,,6.0,23.0,10.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
nick-fitzgerald,Nick Fitzgerald,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,
philip-nelson,Philip Nelson,QB,,33.0,,,,,,,,1.0,,,,,42.0,,209.0,,,,32.0,32.0,,32.0,1.0,,,,,,,,,,,,
raymond-davison,Raymond Davison,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
reshard-cliett,Reshard Cliett,LB/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
roderrick-hoskins,Ro'Derrick Hoskins,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
robert-nelson,Robert Nelson,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
sean-price,Sean Price,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,2.0,,,,,,,1.0
seattle,Seattle,,,,,,,,,19.0,7.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
st-louis,St. Louis,,,,,,,,9.0,15.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steve-beauharnais,Steve Beauharnais,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
total,TOTAL,WR,10.0,34.0,1.0,1.0,1.0,3.0,,,,1.0,,3.0,25.0,63.0,43.0,,219.0,,16.0,26.0,42.6,48.0,3.0,213.0,5.0,6.0,2.0,,219.0,34.0,12.0,,58.0,2.0,59.0,69.0,12.0
tampa-bay,Tampa Bay,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taylor-russolino,Taylor Russolino,K,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tegray-scales,Tegray Scales,LB/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,7.0,
tenny-adewusi,Tenny Adewusi,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,
terence-garvin,Terence Garvin,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,8.0,
tony-guerad,Tony Guerad,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
treston-decoud,Treston Decoud,CB/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,
wes-saxton,Wes Saxton,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,
will-hill,Will Hill,DB,,,,,,,3.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,
winston-craig,Winston Craig,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,
