player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
miqueal-pillow-smiley,Miqueal Pillow-Smiley,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
rashad-flanders,Rashad Flanders,DB,0.0,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,14.3,36.0,0.0,57.0,4.0,,,,,,,,1.0,1.0,1.0,0.0,,
sammie-epps,Sammie Epps,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,1.0,0.0,,
shaun-mcgee,Shaun Mcgee,DL,,,,,,,1.0,0.0,,,,2.0,,,,,,,,,,,,27.0,19.0,,36.0,3.0,206.0,,,,,,0.3,6.0,4.0,0.0,1.0,,,,,,,,
trae-self,Trae Self,QB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,1.0,0.0,,
tyler-lauenstein,Tyler Lauenstein,QB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,1.0,0.0,,
vincent-wilkerson,Vincent Wilkerson,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
xaiver-spann,Xaiver Spann,DB,2.0,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,
xavier-powell,Xavier Powell,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
zacharaus-gentry,Zacharaus Gentry,DB,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
