player_id,player_name,positions,def_int,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa
keishawn-bierria,Keishawn Bierria,LB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kian-schaffer-baker,Kian SCHAFFER-BAKER,WR,,,,,,,,,,,,,,15.0,7.0,9.0,,39.0,65.0,,,,,,,,,,,,,,,,,
kienan-lafrance,Kienan LaFrance,RB,,,,,,,,,,,,,,8.0,3.0,3.0,,7.0,7.0,,,,,,2.0,5.0,8.0,,,,,,,,,
kwaku-boateng,Kwaku Boateng,DB/DE,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loucheiz-purifoy,Loucheiz Purifoy,DB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malik-clements,Malik Clements,LB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
micah-teitz,Micah Teitz,LB,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-jones,Mike Jones,WR/RB,,,,,,,,,,,,,,15.0,2.0,4.0,,1.0,29.0,,,,,,,,,,,,,,,,,
mike-moore,Mike Moore,DL/DB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nafees-lyon,Nafees Lyon,DB,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nick-marshall,Nick Marshall,DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nigel-harris,Nigel Harris,LB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pete-robertson,Pete Robertson,DL/DB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rashard-davis,Rashard Davis,WR,,,,,,,,,,,,,,,,,,,,21.0,2.0,,,39.0,,,,,,,,,,,,
sean-whyte,Sean WHYTE,K,,,,,,,,,,,,,,,,,,,,15.0,1.0,1.0,,15.0,,,,,,3.0,,2.0,1.0,15.0,3.0,
shai-ross,Shai Ross,WR,,,,,,,,,,,,,,28.0,3.0,5.0,,39.0,50.0,,,,,,,,,,,,,,,,,
shaquelle-evans,Shaquelle Evans,WR,,,1.0,1.0,,,,,,,,,,14.0,6.0,12.0,,27.0,51.0,,,,,,,,,,,,,,,,,
taylor-cornelius,Taylor Cornelius,QB,,,,,,35.0,21.0,,28.0,14.0,3.0,2.0,322.0,,,,,,,,,,,,2.0,13.0,14.0,,,,,,,,,
terry-williams,Terry Williams,WR/RB,,,,,,,,,,,,,,7.0,1.0,1.0,,1.0,7.0,14.0,2.0,,,26.0,2.0,1.0,,,,,,,,,,
tevaun-smith,Tevaun Smith,WR,,,,,,,,,,,,,,17.0,1.0,2.0,,4.0,17.0,,,,,,,,,,,,,,,,,
trumaine-washington,Trumaine Washington,DB,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
walter-fletcher,Walter FLETCHER,RB,,,,,,,,,,,,,,18.0,5.0,5.0,,56.0,66.0,,,,,,14.0,29.0,74.0,,,,,,,,,
william-powell,William Powell,RB,,,,,,,,,,,,,,5.0,1.0,1.0,,4.0,5.0,,,,,,14.0,7.0,46.0,,,,,,,,,
