player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa
janarion-grant,Janarion GRANT,WR,,,,,,,,,,,,,,,,,,,,,,29.0,1.0,,,29.0,,,,,,,,,,,
jeremiah-masoli,Jeremiah MASOLI,QB,,,,,,,,38.0,27.0,,48.0,31.0,3.0,,331.0,,,,,,,,,,,,3.0,5.0,3.0,,,,,,,,
johnny-augustine,Johnny AUGUSTINE,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,24.0,43.0,,,,,,,,
justin-hardy,Justin HARDY,WR,,,,,,,,,,,,,,,,17.0,7.0,9.0,,,55.0,7.0,,,,7.0,1.0,5.0,5.0,,,,,,,,
kyrie-wilson,Kyrie Wilson,LB,,,1.0,5.0,5.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lb-mack-iii,L.B. Mack III,DE/LB/DB/OLB,,,1.0,2.0,2.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lewis-ward,Lewis Ward,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,5.0,4.0,38.0,12.0,
lorenzo-mauldin,Lorenzo Mauldin,DE/DB/MLB,,,1.0,4.0,4.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malcolm-thompson,Malcolm Thompson,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marc-liegghio,Marc LIEGGHIO,K,,,,,,,,,,,,,,,,,,,,,,74.0,3.0,2.0,48.0,196.0,,,,,7.0,,2.0,2.0,30.0,6.0,1.0
monshadrik-hunter,Monshadrik Hunter,DB,1.0,6.0,,5.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nathaniel-behar,Nathaniel Behar,WR,,,,,,,,,,,,,,,,28.0,7.0,7.0,,21.0,91.0,,,,,,,,,,,,,,,,
nic-demski,Nic DEMSKI,WR,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,2.0,12.0,21.0,,,,,,,,
nicholas-taylor,Nicholas Taylor,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patrick-levels,Patrick Levels,LB/DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
randall-evans,Randall Evans,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rasheed-bailey,Rasheed Bailey,WR,,,,,,,,,,,,,,,,24.0,3.0,3.0,,3.0,31.0,,,,,,,,,,,,,,,,
richie-leone,Richie Leone,K,,,,,,,,,,,,,,,,,,,,,,62.0,1.0,1.0,29.0,62.0,,,,,,,,,,,
shaquille-johnson,Shaquille Johnson,WR,,,,,,,,,,,,,,,,41.0,1.0,4.0,,1.0,41.0,,,,,,,,,,,,,,,,
sherrod-baltimore,Sherrod Baltimore,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terry-williams,Terry Williams,WR/RB,,,,,,,,,,,,,,,,,,,,,,27.0,2.0,,,48.0,,,,,,,,,,,
tyquwan-glass,Tyquwan Glass,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
willie-jefferson,Willie Jefferson,DE/DB/DL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
winston-rose,Winston Rose,DB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zach-collaros,Zach COLLAROS,QB,,,,,,,,22.0,15.0,1.0,32.0,14.0,2.0,2.0,228.0,,,,,,,,,,,,,,,,,,,,,,
