player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
john-williams,John Williams,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,6.0,7.0,0.5,0.0,,
justin-redd,Justin Redd,OG/S/T,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
kyler-henson,Kyler Henson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,14.0,1.0,30.0,3.0,-1.0,0.0,1.0,0.0,-1.0,,,,,,
labarron-mallory,Labarron Mallory,DB,,,,,,,,,,,,,,,2.0,,,,,,,9.5,17.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,
maleek-jones,Maleek Jones,WR,,,,,,,,,1.0,0.0,,,,1.0,,,,,,,,,,,,25.0,17.0,,30.0,5.0,179.0,,,,,,3.0,13.0,8.0,1.0,24.0,,,,,,
malik-milloy,Malik Milloy,DL,1.0,1.0,0.0,,,,,,,,12.0,12.0,12.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,4.0,5.0,,,,
myran-mounds,Myran Mounds,DB,,,,,,,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,11.0,30.0,4.0,99.0,9.0,4.0,4.0,1.0,0.0,4.0,,,,,,
ralph-joseph,Ralph Joseph,DB,,,,,,,,,,,,,,,,2.0,44.6,0.0,0.0,401.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0
rashad-flanders,Rashad Flanders,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,8.0,0.0,13.0,2.0,,,,,,,,,,,
shaun-mcgee,Shaun Mcgee,DL,,,,,,,,,,,,,,0.0,,,,,,,,,,,,15.0,11.0,,15.0,2.0,108.0,,,,,,5.8,18.0,8.0,3.0,46.0,,,,,,
shay-roberts,Shay Roberts,OL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
shyron-rodgers,Shyron Rodgers,OL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
steven-parker,Steven Parker,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,0.0,,,,
tj-davis,TJ DAVIS,WR,0.0,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,10.5,23.0,1.0,63.0,6.0,,,,,,0.0,0.0,,,,
terrence-jackson-jr,Terrence Jackson Jr,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,9.0,,,,
travis-anderson,Travis Anderson,OL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,
tremon-brewer,Tremon Brewer,ATH,,,,,,,,,,,,,,,2.0,,,,,,,10.5,11.0,0.0,21.0,,,,,,,3.0,3.0,0.0,3.0,1.0,4.8,10.0,16.0,1.0,77.0,,,,,,
zachary-schleuger,Zachary Schleuger,LB,4.0,,,,,,,,,,,,,,1.0,,,,,,,6.0,6.0,0.0,6.0,,,,,,,,,,,,,,,,,3.0,7.0,0.5,0.0,,
