player_id,player_name,positions,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,games_played,minutes,off_rebounds,points,rebounds,steals,turnovers
courtney-vandersloot,Courtney Vandersloot,,3.1,0.4,2.6,31.3,2.3,0.7,45.2,9.0,4.1,1.8,81.8,0.8,0.6,14.0,12.1,0.4,10.0,3.0,0.6,1.2
courtney-williams,Courtney Williams,G,4.6,0.1,3.9,40.0,1.1,0.4,48.7,8.4,4.1,2.1,100.0,0.4,0.4,14.0,10.2,0.2,9.4,4.1,0.4,0.8
dearica-hamby,Dearica Hamby,F,2.3,0.3,7.6,40.0,2.1,0.8,56.1,13.7,7.7,3.0,65.0,3.3,2.2,12.0,17.1,2.3,19.9,9.9,1.3,2.0
dijonai-carrington,DiJonai Carrington,,1.8,0.3,3.5,33.3,2.2,0.7,44.4,8.2,3.6,2.8,60.0,1.4,0.8,11.0,9.3,0.8,9.5,4.4,1.6,1.9
jackie-young,Jackie Young,G,3.0,,2.0,51.7,4.8,2.5,54.1,10.2,5.5,3.0,77.8,1.5,1.2,6.0,13.2,1.0,15.5,3.0,0.5,0.8
jewell-loyd,Jewell Loyd,,2.3,0.1,1.9,37.5,3.3,1.3,44.4,9.8,4.3,1.8,88.2,1.4,1.3,12.0,13.6,0.8,12.2,2.7,0.5,1.8
jordin-canada,Jordin Canada,G,3.5,0.2,2.7,20.0,1.7,0.3,44.2,8.7,3.8,2.1,68.8,1.3,0.9,12.0,12.5,0.8,9.6,3.5,0.6,1.3
kahleah-copper,Kahleah Copper,W,0.7,0.1,5.7,24.0,3.6,0.9,45.3,15.1,6.9,2.9,63.6,1.6,1.0,7.0,15.9,1.0,16.6,6.7,0.7,2.0
kate-martin,Kate Martin,W,0.8,,4.5,20.0,5.0,1.0,36.4,9.2,3.3,2.5,75.0,0.7,0.5,6.0,13.0,0.7,8.7,5.2,1.2,1.2
katie-lou-samuelson,Katie Lou Samuelson,,1.7,0.4,2.0,35.7,2.0,0.7,48.9,6.3,3.1,2.1,37.5,0.6,0.2,14.0,11.5,0.9,7.1,2.9,0.7,0.7
kayla-mcbride,Kayla McBride,,2.9,0.2,5.2,38.0,8.3,3.2,45.9,17.1,7.8,1.3,96.4,2.2,2.1,13.0,19.2,0.5,22.4,5.8,1.1,1.6
kiki-jefferson,Kiki Jefferson,,0.5,,3.0,50.0,2.0,1.0,54.5,5.5,3.0,1.5,100.0,1.5,1.5,2.0,8.5,0.5,10.0,3.5,0.5,1.0
lexie-hull,Lexie Hull,W,1.6,0.1,2.1,23.1,2.8,0.6,35.7,7.0,2.5,2.9,71.4,0.5,0.4,14.0,11.5,1.0,6.4,3.1,0.3,0.6
marina-mabrey,Marina Mabrey,W,3.0,0.3,3.7,34.8,7.7,2.7,38.5,13.0,5.0,2.7,100.0,1.0,1.0,3.0,12.3,0.7,14.7,4.3,,0.7
nalyssa-smith,NaLyssa Smith,,1.0,,,,,,50.0,2.0,1.0,3.0,,,,1.0,5.0,,2.0,,,2.0
napheesa-collier,Napheesa Collier,F,2.8,1.4,9.1,31.5,3.9,1.2,61.1,17.1,10.4,3.4,80.0,2.9,2.3,14.0,21.1,1.6,25.7,10.7,2.0,1.6
natasha-cloud,Natasha Cloud,W,4.7,0.1,4.2,24.1,4.1,1.0,39.7,9.0,3.6,1.9,80.0,1.1,0.9,14.0,14.4,0.7,9.7,4.9,0.4,1.9
natisha-hiedeman,Natisha Hiedeman,G,2.2,0.4,3.3,34.1,3.4,1.2,40.2,7.7,3.1,2.0,100.0,0.3,0.3,12.0,10.3,0.2,7.8,3.4,0.3,0.9
naz-hillmon,Naz Hillmon,F,,,,,,,,,,,,,,1.0,,,,,,
rae-burrell,Rae Burrell,W,1.5,0.5,1.8,32.1,2.2,0.7,37.6,7.8,2.9,1.4,68.4,1.5,1.0,13.0,9.6,0.6,8.5,2.5,0.7,1.0
rhyne-howard,Rhyne Howard,W,2.2,1.1,4.6,37.1,9.5,3.5,38.9,17.4,6.8,3.2,85.2,2.1,1.8,13.0,19.8,1.1,20.5,5.7,1.2,1.6
rickea-jackson,Rickea Jackson,W,1.0,0.4,3.1,34.0,3.4,1.1,42.5,12.4,5.3,2.2,93.8,1.1,1.1,14.0,14.2,1.0,13.7,4.1,0.5,1.7
sabrina-ionescu,Sabrina Ionescu,,4.1,0.2,5.6,35.9,7.1,2.6,41.3,15.9,6.6,1.8,81.3,1.8,1.4,9.0,19.2,1.4,18.2,7.0,0.4,1.7
satou-sabally,Satou Sabally,W,1.9,0.1,4.9,37.9,4.7,1.8,42.7,13.2,5.6,3.4,63.0,1.9,1.2,14.0,13.5,0.9,15.3,5.7,0.6,2.3
shakira-austin,Shakira Austin,F,0.6,0.6,2.4,,0.2,,50.6,6.4,3.2,2.6,73.9,1.6,1.2,14.0,9.3,1.9,8.4,4.3,0.4,1.4
skylar-diggins,Skylar Diggins,G,4.7,0.4,1.6,32.0,3.6,1.1,52.2,13.1,6.9,3.4,79.3,2.1,1.6,14.0,16.1,1.1,17.9,2.6,1.5,1.4
stefanie-dolson,Stefanie Dolson,,1.2,0.3,3.7,45.5,1.7,0.8,59.4,5.3,3.2,2.2,100.0,0.7,0.7,13.0,11.6,1.1,8.4,4.8,0.2,1.4
tiffany-hayes,Tiffany Hayes,G,2.6,0.1,4.5,24.5,5.3,1.3,39.5,15.7,6.2,2.8,59.1,2.2,1.3,10.0,15.8,0.8,16.1,5.3,1.1,1.8
