player_id,player_name,positions,assisted_tackles,blocks,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,qb_hits,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
jonathan-adams,Jonathan Adams,WR,,,,,,,,,,,,,,2.0,,,,,,,16.0,22.0,0.0,32.0,,,,,,,,14.7,19.0,1.0,44.0,3.0,,,,,,,,,,,,,
joshua-hollins,Joshua Hollins,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,0.0,11.0,1.0,,,,,,,,,,,,,
justin-gilbert,Justin Gilbert,DB,,,,,,,,1.0,0.0,,,,0.0,,,,,,,,,,,,24.0,14.0,,25.0,2.0,185.0,,,,,,,2.3,11.0,7.0,1.0,16.0,,,,,,,,
kameronn-joseph,Kameronn Joseph,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,0.5,1.0,,
khalil-steward-injured-reserve,Khalil Steward (Injured Reserve),DB,,,,,,,,,,,,,,3.0,,,,,,,17.0,19.0,0.0,51.0,,,,,,,,12.7,25.0,0.0,89.0,7.0,1.9,8.0,9.0,1.0,17.0,,,,,,,,
korrell-koehlmoos,Korrell Koehlmoos,WR,0.0,,,,,,,,,,,,,5.0,,,,,,,15.8,30.0,0.0,79.0,,,,,,,,14.2,36.0,3.0,85.0,6.0,,,,,,,,1.0,1.0,,,,
kye-black,Kye Black,LB,,,,,1.0,21.0,1.0,,,,,,,,6.0,53.6,2.0,0.0,375.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0
lorenzo-brown,Lorenzo Brown,QB,,,,,,,,1.0,0.0,,,,2.0,,0.0,,,,,,,,,,27.0,18.0,,36.0,5.0,221.0,,,,,,,3.5,13.0,8.0,0.0,28.0,,,,,,,0.0,0.0
makeah-scippio,Makeah Scippio,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,3.0,1.0,4.0,,
neriyan-brown,Neriyan Brown,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
rashad-ridley,Rashad Ridley,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,1.0,,,,
rashaud-powell,Rashaud Powell,DL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,7.0,,,,
raymond-cutts,Raymond Cutts,DL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,9.0,,,,
roderick-ross-jr,Roderick Ross Jr.,OL,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,14.0,1.0,3.0,7.0,1.5,16.0,,
sidney-jones,Sidney Jones,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,15.0,2.0,3.0,4.0,2.0,17.0,,
tavin-fitzgerald,Tavin Fitzgerald,DL,2.0,,1.0,0.0,,,,,,30.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,
tirri-jones,Tirri Jones,QB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,1.0,1.0,3.0,1.0,4.0,,
trey-dudley-giles,Trey Dudley-Giles,DB,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,16.8,30.0,2.0,84.0,5.0,,,,,,,,,,,,0.0,0.0
troy-evans-jr,Troy Evans Jr.,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,10.0,0.0,18.0,3.0,1.0,1.0,2.0,0.0,2.0,,,1.0,1.0,,,,
tyler-meeks,Tyler Meeks,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
