player_id,player_name,positions,assist_tackles,completions,fg_20_29,fg_30_39,fg_40_49,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_tds,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,sacks,solo_tackles,tackles,targets
joey-mbu,Joey Mbu,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
josh-crockett,Josh Crockett,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,2.0,,,,,,,
josh-hawkins,Josh Hawkins,DB,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
justin-stockton,Justin Stockton,WR/RB,,,,,,,,,,,,3.0,59.0,,99.0,,,,,,,,,,,,,,,8.0,1.0,5.0,,41.0,,,,
justin-vogel,Justin Vogel,P,,,,,,,,,,,,,,,,,,,,,,42.0,45.0,,126.0,3.0,23.0,2.0,,,,,,,,,,
lance-dunbar,Lance Dunbar,WR,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,18.0,4.0,2.0,,6.0,,1.0,1.0,1.0
los-angeles,Los Angeles,,,,,,,,14.0,41.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luis-perez,Luis Perez,QB,,16.0,,,,,,,,1.0,,,,,,30.0,1.0,229.0,,,,,,,,,,,,,,2.0,,18.0,,,,
marquise-williams,Marquise Williams,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,
matthew-mccrane,Matthew McCrane,K,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mekale-mckay,Mekale McKay,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,3.0,,,,,,,3.0
micah-abernathy,Micah Abernathy,CB/DB/S,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,
new-york,New York,,,,,,,,3.0,30.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
philip-nelson,Philip Nelson,QB,,28.0,,,,,,,,2.0,,,,,,49.0,,210.0,,,,,,,,,,,,,,4.0,,19.0,,,,
ranthony-texada,Ranthony Texada,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,
raymond-davison,Raymond Davison,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,
reshard-cliett,Reshard Cliett,DB/LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
ryan-mueller,Ryan Mueller,DE/DB/LB,,,,,,,33.0,1.0,33.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
sean-price,Sean Price,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,,,,2.0,2.0,1.0
seattle,Seattle,,,,,,,,,23.0,8.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
st-louis,St. Louis,,,,,,,,,6.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tj-barnes,T.J. Barnes,DT/DL/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
total,TOTAL,WR,26.0,28.0,1.0,1.0,,2.0,1.0,,1.0,2.0,1.0,7.0,97.0,1.0,235.0,50.0,,210.0,1.0,13.0,23.0,39.8,46.0,2.0,199.0,5.0,19.0,3.0,,210.0,28.0,14.0,,56.0,,39.0,65.0,11.0
tampa-bay,Tampa Bay,,,,,,,,10.0,34.0,14.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tegray-scales,Tegray Scales,DB/LB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,
tenny-adewusi,Tenny Adewusi,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,9.0,
teo-redding,Teo Redding,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,3.0,,,,,,,2.0
tim-cook,Tim Cook,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,26.0,,,,
tobenna-okeke,Tobenna Okeke,DE/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
toby-johnson,Toby Johnson,DT/DL/DB,,,,,,,3.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomasi-laulile,Tomasi Laulile,DT/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
tony-guerad,Tony Guerad,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
treston-decoud,Treston Decoud,CB/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
