player_id,player_name,positions,assist_tackles,completions,fg_30_39,fg_50plus,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_tb,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_yards,sacks,solo_tackles,tackles,targets
donnel-pumphrey,Donnel Pumphrey,RB,,,,,,,,,,,1.0,21.0,21.0,,,,,,,,,,,,,,,,3.0,1.0,4.0,5.0,,,,
donnie-ernsberger,Donnie Ernsberger,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,1.0,,,,,,1.0
dontez-byrd,Dontez Byrd,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,2.0,,,,,,2.0
doran-grant,Doran Grant,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
eli-rogers,Eli Rogers,WR,,,,,,,,,,,,,,,,,1.0,4.0,3.0,,,2.0,,,,,,,73.0,6.0,1.0,,,,,3.0
elijah-campbell,Elijah Campbell,S/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
elijah-qualls,Elijah Qualls,DL/DT/DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
evan-rodriguez,Evan Rodriguez,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,1.0,,,,,,1.0
godwin-igwebuike,Godwin Igwebuike,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,
houston,Houston,,,,,,,11.0,37.0,12.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
hunter-niswander,Hunter Niswander,P,,,,,,,,,,,,,,,,,,,,47.2,56.0,,,189.0,4.0,27.0,3.0,,,,,,,,,
jaquan-gardner,Ja'Quan Gardner,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,36.0,,,,
jacquies-smith,Jacquies Smith,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,2.0,
jameer-thurman,Jameer Thurman,LB/DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,9.0,
jay-bromley,Jay Bromley,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
jeremy-clark,Jeremy Clark,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
jhurell-pressley,Jhurell Pressley,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,2.0,12.0,31.0,,,,1.0
john-santiago,John Santiago,WR/RB,,,,,,,,,,,2.0,28.0,56.0,,,,,,,,,,,,,,,,,,,,,,,
jonathan-celestin,Jonathan Celestin,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,
jonathan-massaquoi,Jonathan Massaquoi,DL/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,
jordan-martin,Jordan Martin,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
jordan-thompson,Jordan Thompson,DE/DT/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
keshun-freeman,KeShun Freeman,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
keenan-reynolds,Keenan Reynolds,WR,,,,,,,,,,,4.0,24.0,82.0,,,,,,,,,,,,,,,,5.0,2.0,,,,,,
kenneth-farrow,Kenneth Farrow,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,4.0,7.0,41.0,,,1.0,1.0
khalid-abdullah,Khalid Abdullah,RB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,
khari-lee,Khari Lee,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,39.0,1.0,,,,,,1.0
kyle-queiro,Kyle Queiro,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
los-angeles,Los Angeles,,,,,,,,17.0,9.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
malachi-dupre,Malachi Dupre,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,2.0,,,,,,1.0
marcell-frazier,Marcell Frazier,DE/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
mark-myers,Mark Myers,,,,,,,,,,,,,,,,,,,14.0,14.0,,,1.0,,,,,,,,,,,,,,
matt-elam,Matt Elam,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
new-york,New York,,,,,,,6.0,23.0,10.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
nick-temple,Nick Temple,LB/DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,
pasoni-tasini,Pasoni Tasini,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
peli-anau,Peli Anau,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
praise-martin-oguike,Praise Martin-Oguike,DL/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
rahim-moore,Rahim Moore,DB,1.0,,,,,6.0,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
rashad-ross,Rashad Ross,WR,,,,,,,,,,,1.0,16.0,16.0,,,,,,,,,,,,,,,1.0,52.0,2.0,1.0,-1.0,,,,2.0
sam-montgomery,Sam Montgomery,DL/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
santos-ramirez,Santos Ramirez,SAF/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
seattle,Seattle,,,,,,,,19.0,7.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
simmie-cobbs,Simmie Cobbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.0,,,,,,1.0
st-louis,St. Louis,,,,,,,9.0,15.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stansly-maponga,Stansly Maponga,DL/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
steve-williams,Steve Williams,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,
steven-johnson,Steven Johnson,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,9.0,
total,TOTAL,WR,17.0,16.0,1.0,1.0,2.0,69.0,1.0,75.0,,2.0,2.0,21.0,37.0,26.0,2.0,235.0,1.0,4.0,3.0,47.2,56.0,2.0,1.0,189.0,4.0,27.0,3.0,2.0,235.0,16.0,27.0,68.0,1.0,42.0,59.0,10.0
tampa-bay,Tampa Bay,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tracy-sprinkle,Tracy Sprinkle,DL/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
trey-williams,Trey Williams,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,27.0,4.0,3.0,16.0,,,,2.0
tyler-rausa,Tyler Rausa,K,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyree-jackson,Tyree Jackson,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,
tyree-kinnel,Tyree Kinnel,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,
will-sutton,Will Sutton,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,3.0,
