player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
gibson-ziah,Gibson Ziah,DL,,,,,,,,,,,,,,,3.0,46.0,0.0,0.0,230.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0
jaylen-johnson,JAYLEN JOHNSON,P,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,0.0,9.0,1.0,,,,,,,,1.0,1.0,,,,
jamarii-milliken,Jamarii Milliken,DB/LB,4.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,8.0,,,,
james-summers,James Summers,QB/WR/LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
jared-bronson,Jared Bronson,OL,,,,,,,,,,,,,,2.0,,,,,,,27.5,50.0,1.0,55.0,,,,,,,,,,,,5.0,9.0,2.0,1.0,10.0,,,,,,,,
jarmon-fortson,Jarmon Fortson,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,2.0,0.0,,
jordan-brookins,Jordan Brookins,QB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
kollin-jackson,Kollin Jackson,WR,,,,2.0,32.0,1.0,,,,,,,,,6.0,47.0,0.0,1.0,235.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0
marcus-brooks,Marcus Brooks,QB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
michael-miller,Michael Miller,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,1.0,0.0,,
rathel-carter,Rathel Carter,LB,,,,,,,,,,,,,,1.0,,,,,,,10.0,10.0,0.0,10.0,,,,,,,6.3,15.0,0.0,25.0,4.0,-1.0,0.0,1.0,0.0,-1.0,,,,,,,,
reggie-young,Reggie Young,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,5.0,5.0,,,,
shaquan-curenton,Shaquan Curenton,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
tabyus-taylor,Tabyus Taylor,RB,,,,,,,,,,,,,,1.0,,,,,,,10.0,10.0,0.0,10.0,,,,,,,,,,,,1.7,7.0,6.0,0.0,10.0,,,,,,,,
traevan-john,Traevan John,LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
travis-anderson,Travis Anderson,OL,,,,,,,,,,,,,1.0,,,,,,,,,,,,14.0,4.0,,18.0,0.0,46.0,,,,,,4.7,21.0,18.0,2.0,85.0,,,,,,,,
tremell-gooden,Tremell Gooden,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,3.0,,,,
tyler-clark,Tyler Clark,DL/DT,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,,
yuka-onya,Yuka Onya,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,0.0,9.0,1.0,,,,,,,,,,,,,
