player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
freedom-akinmoladun,Freedom Akinmoladun,DE/DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
geovonte-howard-injured-reserve,Geovonte Howard (Injured Reserve),DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
ivan-corbin,Ivan Corbin,QB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
jadon-johnson,Jadon Johnson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,12.0,0.0,20.0,2.0,-3.0,0.0,1.0,0.0,-3.0,,,,,,,,
jalen-hicks,Jalen Hicks,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.5,0.0,3.0,1.0,0.0,,
james-riddle,James Riddle,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
josh-jackson,Josh Jackson,DL/P,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,1.0,8.0,1.0,,,,,,,,1.0,1.0,,,,
joshua-hollins,Joshua Hollins,QB,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,23.0,15.0,,33.0,4.0,167.0,,,,,,-0.7,4.0,3.0,0.0,-2.0,,,1.0,1.0,,,,
kameronn-joseph,Kameronn Joseph,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,33.0,1.0,33.0,1.0,3.0,3.0,1.0,0.0,3.0,,,,,,,,
kearyn-taylor,Kearyn Taylor,ATH,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
kendrick-tutt,Kendrick Tutt,OL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,,,,
kollin-jackson,Kollin Jackson,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
malcolm-mccoy,Malcolm Mccoy,LB,2.0,1.0,0.0,,,,,,,,21.0,21.0,21.0,,1.0,,,,,,,10.0,10.0,0.0,10.0,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,
matt-struck,Matt Struck,QB,3.0,,,,,,,,,,,,,,5.0,,,,,,,20.4,42.0,0.0,102.0,,,1.0,,,,,,,,,,,,,,,,2.0,5.0,,,,
myran-mounds,Myran Mounds,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,
naeem-alexander,Naeem Alexander,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,19.0,2.0,65.0,6.0,-2.0,0.0,1.0,0.0,-2.0,,,,,,,,
otis-odom,Otis Odom,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
quinton-williams,Quinton Williams,WR,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.5,0.0,5.0,0.5,0.0,,
roderick-ross-jr,Roderick Ross Jr.,OL,,,,,,,,,,,,,,,,4.0,45.6,0.0,1.0,228.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0
sam-hammond,Sam Hammond,DL,0.0,1.0,0.0,,,,,,,,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,
talon-gamble,Talon Gamble,DL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,
team-stat,Team Stat,ATH,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
tracy-brooks,Tracy Brooks,RB,2.0,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
trey-taylor,Trey Taylor,P,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,3.0,2.0,0.0,,
