player_id,player_name,positions,def_int,def_sacks,def_tackles,def_tackles_solo,def_td,def_tfl,fumbles,gp,kr_td,kr_yds,pass_att,pass_cmp,pass_int,pass_sacked,pass_td,pass_yds,pr_yds,recv_rec,recv_td,recv_tgt,recv_yds,rush_att,rush_td,rush_yds
chris-mulumba,Chris Mulumba,DB/DT,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
christoph-nitzlnader,Christoph Nitzlnader,CB/LB,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
christopher-morency,Christopher Morency,,,,,,,,,1.0,,,,,,,,,,,,,,,,
christopher-westley-porcelli-jrgensen,Christopher Westley Porcelli Jørgensen,,,,,,,,,1.0,,,,,,,,,,,,,,,,
christopher-wild,Christopher Wild,,,,,,,,,1.0,,,,,,,,,,,,,,,,
conrad-schumann,Conrad Schumann,,,,,,,,,1.0,,,,,,,,,,,,,,,,
cort-bastlein,Cort Bästlein,,,,,,,,,1.0,,,,,,,,,,,,,,,,
daivd-machacek,Daivd Macháček,,,,,,,,,1.0,,,,,,,,,,,,,,,,
damien-irep,Damien Irep,,,,,,,,,1.0,,,,,,,,,,,,,,,,
daniel-aka,Daniel Aka,,,,,,,,,1.0,,,,,,,,,,,,,,,,
daniel-bilesanmi,Daniel Bilesanmi,,,,,,,,,1.0,,,,,,,,,,,,,,,,
daniel-schweiger,Daniel Schweiger,,,,,,,,,1.0,,,,,,,,,,,,,,,,
david-bruno-strobel,David Bruno Strobel,,,,,,,,,1.0,,,,,,,,,,,,,,,,
david-luksan,David Lukšan,,,,,,,,,1.0,,,,,,,,,,,,,,,,
david-perathoner,David Perathoner,,,,,,,,,1.0,,,,,,,,,,,,,,,,
david-tawake-christoffersen,David Tawake Christoffersen,,,1.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,
dean-faithfull,Dean Faithfull,K,,,,,,,,1.0,,,,,,,,,,,,,,,,
diaby-doucoure,Diaby Doucoure,,,,,,,,,1.0,,,,,,,,,,,,,,,,
diego-emanuel,Diego Emanuel,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
digaan-gomis,Digaan Gomis,,,1.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,
dimitrios-gkountoudis,Dimitrios Gkountoudis,,,,,,,,,1.0,,,,,,,,,,,,,,,,
divine-buckrham,Divine Buckrham,DB,,,3.0,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,
dobpson-hopson,Dobpson Hopson,,,,,,,,,1.0,,,,,,,,,,,,,,,,
dominik-ondra,Dominik Ondra,,,,,,,,,1.0,,,,,,,,,,,,,,,,
dominik-schmid,Dominik Schmid,,,,4.0,4.0,,,,1.0,,,,,,,,,,,,,,,,
dominique-mambo,Dominique Mambo,,1.0,,3.0,3.0,,,,1.0,,,,,,,,,,,,,,,,
edris-jean-alphonse,Edris Jean-Alphonse,DB,,,3.0,3.0,,,,1.0,,,,,,,,,,,,,,,,
eduard-malicovsky,Eduard Maličovský,,,,,,,,,1.0,,,,,,,,,,,,,,,,
edvin-alberto-almeida-taborda,Edvin Alberto Almeida Taborda,,,,,,,,,1.0,,47.0,,,,,,,,2.0,,2.0,114.0,2.0,,9.0
elias-imrock,Elias Imrock,,,,,,,,,1.0,,,,,,,,,,,,,,,,
elliot-ernst-melvin-eriksson-reer,Elliot Ernst Melvin Eriksson Reer,,,,,,,,,1.0,,,,,,,,,,,,,,,,
elliot-julius-tintin-heijmer,Elliot Julius Tintin Heijmer,,,,,,,,,1.0,,,,,,,,,,,,,,,,
elliot-maximus-krogius,Elliot Maximus Krogius,,,,2.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,
elton-mendes-correia,Elton Mendes Correia,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
emil-brugge,Emil Brügge,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
emmanuel-ikharo,Emmanuel Ikharo,,,,3.0,3.0,,,,1.0,,,,,,,,,,,,,,,,
enrico-chagoya,Enrico Chagoya,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,
erdim-demircioglu,Erdim Demircioglu,,,,,,,,,1.0,,,,,,,,,,,,,,,,
eric-konchke,Eric Könchke,,,,4.0,4.0,,,,1.0,,,,,,,,,,,,,,,,
ethan-garbers,Ethan Garbers,QB,,,,,,,1.0,1.0,,,36.0,18.0,,6.0,1.0,192.0,,,,,,11.0,,77.0
etuale-lui,Etuale Lui,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
fabian-quandt,Fabian Quandt,,,,,,,,,1.0,,,,,,,,,,,,,,,,
fabian-rolfes,Fabian Rolfes,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
felix-salonen,Felix Salonen,,,1.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,
finn-kohlenbach,Finn Kohlenbach,,,,,,,,,1.0,,,,,,,,,,,,,,,,
finn-schwarzkopf,Finn Schwarzkopf,,,,3.0,3.0,,,,1.0,,,,,,,,,,,,,,,,
florin-baumgartner,Florin Baumgartner,,,,,,,,,1.0,,,,,,,,,,,,,,,,
franz-tiefenbacher,Franz Tiefenbacher,,,,,,,,,1.0,,,,,,,,,,,,,,,,
frank-mousel,Fränk Mousel,DL,,,,,,,,1.0,,,,,,,,,,,,,,,,
george-duce,George Duce,,,,,,,,,1.0,,,,,,,,,,,,,,,,
gerald-ameln,Gerald Ameln,RB,,,,,,,,1.0,,,,,,,,,,4.0,,4.0,48.0,13.0,,44.0
gerrit-brandt,Gerrit Brandt,,,,,,,,,1.0,,,,,,,,,,,,,,,,
glen-steve-mbeleg-toonga,Glen Steve Mbeleg-Toonga,RB,,,,,,,,1.0,,,,,,,,,,4.0,,5.0,34.0,18.0,2.0,105.0
harry-sayer,Harry Sayer,,,,,,,,,1.0,,,,,,,,,,,,,,,,
hassane-dosso,Hassane Dosso,,,,,,,,,1.0,,,,,,,,,,3.0,,6.0,58.0,1.0,,9.0
hiswill-awuah,Hiswill Awuah,DL/LB,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
hjalmar-skyt-nielsen,Hjalmar Skyt Nielsen,,,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,
hubert-kvacek,Hubert Kvaček,,,,,,,,,1.0,,,,,,,,,,,,,,,,
hugo-anders-roberth-dyrendahl,Hugo Anders Roberth Dyrendahl,LB,,,7.0,7.0,,,,1.0,,,,,,,,,,,,,,,,
hugo-pulby,Hugo Pulby,,,,,,,,,1.0,,,,,,,,,,,,,,,,
hugo-tekedam,Hugo Tekedam,,,,,,,,,1.0,,,,,,,,,,3.0,1.0,4.0,78.0,,,
ibel-ahidazan-ahidazan,Ibel Ahidazan Ahidazan,,,,,,,,,1.0,,,,,,,,,,,,,,,,
ilan-barbaras,Ilan Barbaras,LB,,,7.0,7.0,,,,1.0,,,,,,,,,,,,,,,,
isaac-jonathan-moore,Isaac Jonathan Moore,,,,,,,,,1.0,,,,,,,,,,,,,,,,
isaac-mbra,Isaac M'bra,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
isaiah-kleberg,Isaiah Kléberg,,,,,,,,,1.0,,,,,,,,,,,,,,,,
jack-loew,Jack Loew,DL,,1.0,3.0,3.0,,,,1.0,,,,,,,,,,,,,,,,
jadrian-clark,Jadrian Clark,QB,,,,,,,,1.0,,,33.0,26.0,,,5.0,390.0,,,,,,,,
jahn-jesus-lara-perez,Jahn Jesus Lara Perez,DE/LB,,,3.0,3.0,,,,1.0,,,,,,,,,,,,,,,,
jai-jackson,Jai Jackson,,,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,
jakob-niemann-green,Jakob Niemann Green,,,,,,,,,1.0,,,,,,,,,,2.0,1.0,3.0,35.0,,,
jakob-scheucher,Jakob Scheucher,,,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,
jakub-janousek,Jakub Janoušek,,,,,,,,,1.0,,,,,,,,,,,,,,,,
jakub-smutny,Jakub Smutný,DL,,,3.0,3.0,,2.0,,1.0,,,,,,,,,,,,,,,,
jamalcolm-liggins,Jamalcolm Liggins,CB/LB,,,3.0,3.0,,,,1.0,,,,,,,,,,,,,,,,
jan-krs,Jan Krs,DB/LB,,,5.0,5.0,,,,1.0,,,,,,,,,,,,,,,,
jan-mayerhofer,Jan Mayerhofer,LB/S,,,4.0,4.0,,,,1.0,,,,,,,,,,,,,,,,
jan-vitvar,Jan Vitvar,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
jannik-arne-sack,Jannik Arne Sack,,,,,,,,,1.0,,,,,,,,,,,,,,,,
jannik-nowak,Jannik Nowak,QB/WR,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
jaron-wilson,Jaron Wilson,,,,2.0,2.0,,,,1.0,,,,,,,,,9.0,,,,,,,
jaroslav-hrdlicka,Jaroslav Hrdlička,,,,,,,,,1.0,,,,,,,,,,,,,,,,
jason-bofunda,Jason Bofunda,RB,,,,,,,,1.0,,,,,,,,,,,,,,10.0,,30.0
jasper-djouma,Jasper Djouma,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
jasper-friis,Jasper Friis,,,,,,,,,1.0,,,,,,,,,,,,,,,,
jaylen-clay,Jaylen Clay,,,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,
jaylon-henderson,Jaylon Henderson,QB,,,,,,,1.0,1.0,,,21.0,11.0,1.0,3.0,,105.0,,,,,,6.0,2.0,51.0
jessey-mensah,Jessey Mensah,DB,,,,,,,,1.0,,,,,,,,,,,,,,,,
joannice-goncalves,Joannice Gonçalves,,,,,,,,,1.0,,,,,,,,,,,,,,,,
johannes-zirngibl,Johannes Zirngibl,DL,,,,,,,,1.0,,,,,,,,,,,,,,,,
john-levi-kruse,John Levi Kruse,FB/WR,,,,,,,,1.0,,,,,,,,,,4.0,,6.0,24.0,,,
john-mark-alexander-kennedy-chaanhing,John Mark Alexander Kennedy Chaanhing,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,3.0
jonas-fuschelberger,Jonas Fuschelberger,,,,,,,,,1.0,,,,,,,,,,,,,,,,
jonas-gurntke,Jonas Gürntke,DB,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
jonas-hagerup,Jonas Hagerup,,,,,,,,,1.0,,,,,,,,,,,,,,,,
jonas-maier,Jonas Maier,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
jonas-schwaiger,Jonas Schwaiger,,,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,
jonas-stelzer,Jonas Stelzer,,,,,,,,,1.0,,,,,,,,,,,,,,,,
jonata-loria,Jonata Loria,K,,,,,,,,1.0,,,,,,,,,,,,,,,,
jonathan-borreskov-riberholt,Jonathan Borreskov Riberholt,,,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,
jonathan-steinhauer-nielsen,Jonathan Steinhauer Nielsen,,,,,,,,,1.0,,,,,,,,,,1.0,,2.0,13.0,,,
jonas-hlava,Jonáš Hlava,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
jordan-godonou,Jordan Godonou,,,,,,,,,1.0,,,,,,,,,,,,,,,,
josef-janota,Josef Janota,WR,,,,,,,,1.0,,24.0,,,,,,,,1.0,,1.0,9.0,,,
joseph-appiah-darkwa,Joseph Appiah Darkwa,,,,,,,,,1.0,,,,,,,,,,,,,,,,
julian-kelic,Julian Kelic,,,,,,,,,1.0,,,,,,,,,,,,,,,,
julien-kouakou,Julien Kouakou,,,,,,,,,1.0,,,,,,,,,,,,,,,,
julius-richter,Julius Richter,,,,,,,,,1.0,,,,,,,,,,,,,,,,
jumilson-moreira-ferreira,Jumilson Moreira Ferreira,,,1.0,,,,,,1.0,,,,,,,,,25.0,,,,,,,
juri-sievers,Juri Sievers,,,,,,,,,1.0,,,,,,,,,,,,,,,,
justin-keaton,Justin Keaton,,,,,,,,,1.0,,,,,,,,,,,,,,,,
justin-rodney,Justin Rodney,RB,,,,,,,,1.0,,,,,,,,,,1.0,,2.0,8.0,17.0,1.0,138.0
justus-seelig,Justus Seelig,,,,,,,,,1.0,,,,,,,,,,4.0,,4.0,61.0,2.0,,4.0
k-hike-jr,K. Hike Jr.,CB/LB,,,5.0,5.0,,,,1.0,,141.0,,,,,,,,,,,,,,
kai-wullbrandt,Kai Wullbrandt,,,,,,,,,1.0,,,,,,,,,,,,,,,,
kariem-al-soufi,Kariem Al Soufi,,,,,,,,,1.0,,,,,,,,,,,,,,,,
karl-evin-parts,Karl-Evin Parts,,,,,,,,,1.0,,,,,,,,,,,,,,,,
kenneth-larsen-ledet,Kenneth Larsen-Ledet,,,,,,,,,1.0,,,,,,,,,,,,,,,,
kenny-tia,Kenny Tia,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
kevin-querido-dias,Kevin Querido Dias,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
khalid-omobolaji-adisa,Khalid Omobolaji Adisa,,,,,,,,,1.0,,,,,,,,,,,,,,,,
kobe-hylton,Kobe Hylton,LB,,,6.0,6.0,,,,1.0,,,,,,,,,,,,,,,,
konstantin-stricker,Konstantin Stricker,,,,,,,,,1.0,,,,,,,,,,,,,,,,
kristoffer-hansen,Kristoffer Hansen,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
laic-vontie,Laïc Vontie,,,,,,,,,1.0,,,,,,,,,,,,,,,,
leander-strahtmann,Leander Strahtmann,,,,,,,,,1.0,,,,,,,,,,,,,,,,
leo-casin,Leo Casin,,,,,,,,,1.0,,,,,,,,,,,,,,,,
leon-weber,Leon Weber,DL,,,,,,,,1.0,,,,,,,,,,,,,,,,
levin-adrom,Levin Adrom,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,
lokmen-nadjem,Lokmen Nadjem,,,,,,,,,1.0,,,,,,,,,,,,,,,,
lorenzo-altobelli,Lorenzo Altobelli,,,,,,,,,1.0,,,,,,,,,,,,,,,,
lorenzo-bassi,Lorenzo Bassi,WR,,,,,,,,1.0,,,,,,,,,,,,,,,,
louis-achaintre,Louis Achaintre,LB,,1.0,4.0,4.0,,3.0,,1.0,,,,,,,,,,,,,,,,
louis-geyer,Louis Geyer,WR,,,,,,,,1.0,,,,,,,,,,3.0,1.0,3.0,72.0,,,
love-alexander-larsson,Love Alexander Larsson,,,,,,,,,1.0,,,,,,,,,,,,,,,,
luca-jokiel,Luca Jokiel,,,,,,,,,1.0,,,,,,,,,,,,,,,,
luca-maier,Luca Maier,,,,3.0,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,
luca-mohr,Luca Mohr,,,,,,,,,1.0,,,,,,,,,,,,,,,,
lucas-lohmann-mortensen,Lucas Lohmann Mortensen,,,,,,,,,1.0,,,,,,,,,,2.0,1.0,2.0,13.0,,,
lucas-wihlben-ramn,Lucas Wihlben Ramn,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
ludvig-niels-herbert-myren,Ludvig Niels Herbert Myrén,,,,3.0,3.0,,,,1.0,,,,,,,,,,,,,,,,
lukas-haslwanter,Lukas Haslwanter,RB,,,,,,,,1.0,,,,,,,,,,3.0,,4.0,13.0,8.0,1.0,26.0
lukas-wittberger,Lukas Wittberger,,,,,,,,,1.0,,,,,,,,,,,,,,,,
luke-william-glenna,Luke William Glenna,LB,,,8.0,8.0,,,,1.0,,,,,,,,,,,,,,,,
lukas-kadlec,Lukáš Kadlec,WR,,,,,,,,1.0,,,,,,,,,,,,,,,,
lukas-korim,Lukáš Korim,,,,3.0,3.0,,,,1.0,,,,,,,,,,,,,,,,
lukas-kramar,Lukáš Kramár,,,,,,,,,1.0,,,,,,,,,,,,,,,,
maceo-beard-aigret,Maceo Beard-Aigret,SAF,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
magnus-nrgaard,Magnus Nørgaard,,,,,,,,,1.0,,39.0,,,,,,,,,,,,,,
mahe-masselot,Mahé Masselot,,,,,,,,,1.0,,,,,,,,,,,,,,,,
makan-mousavi,Makan Mousavi,,,,,,,,,1.0,,,,,,,,,,,,,,,,
maleka-mbala,Maleka Mbala,,,,3.0,3.0,,,,1.0,,,,,,,,,,,,,,,,
malik-stanley,Malik Stanley,WR,,,,,,,,1.0,,,,,,,,,,5.0,1.0,6.0,49.0,,,
mamadou-sy,Mamadou Sy,DL/LB,,2.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
marc-anthony-hor,Marc Anthony Hor,DL/LB,,,6.0,6.0,,,,1.0,,,,,,,,,,,,,,,,
marco-schneider,Marco Schneider,WR,,,,,,,,1.0,,129.0,,,,,,,,6.0,,7.0,43.0,,,
marcos-schlabitz,Marcos Schlabitz,LB/S,,,,,,,,1.0,,,,,,,,,,,,,,,,
marcus-halby-kristensen,Marcus Halby Kristensen,,,,,,,,,1.0,,,,,,,,,,,,,,,,
marek-danik,Marek Daník,DL,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
marek-hrubon,Marek Hruboň,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
marius-bindl,Marius Bindl,,,,,,,,,1.0,,,,,,,,,,,,,,,,
markos-dubravkic,Markos Dubravkic,,,,,,,,,1.0,,,,,,,,,,,,,,,,
markus-schaberl,Markus Schaberl,TE/WR,,,,,,,,1.0,,,,,,,,,,,,,,,,
marlon-werthmann,Marlon Werthmann,,,,,,,,,1.0,,,,,,,,,,,,,,,,
martin-havelka,Martin Havelka,TE,,,,,,,,1.0,,,,,,,,,,,,,,,,
martin-koval,Martin Koval,,,,,,,,,1.0,,,,,,,,,,,,,,,,
martin-masek,Martin Mašek,,,,,,,,,1.0,,,,,,,,,,,,,,,,
marvin-rutsch,Marvin Rutsch,RB/WR,,,,,,,,1.0,,,,,,,,,,2.0,1.0,2.0,45.0,,,
mason-chambers,Mason Chambers,LB,1.0,,5.0,5.0,1.0,,,1.0,,,,,,,,,,,,,,,,
mato-beglarian,Mato Beglarian,LB,,,5.0,5.0,,,,1.0,,,,,,,,,,,,,,,,
matyas-bily,Matyáš Bílý,,,,,,,,,1.0,,,,,,,,,,3.0,,7.0,8.0,,,
matyas-maxima,Matyáš Maxima,,,,,,,,,1.0,,,,,,,,,,,,,,,,
max-henry-greiner-lambert,Max Henry Greiner Lambert,,,,,,,,,1.0,,,2.0,1.0,,,,-1.0,,,,,,3.0,,-3.0
mayrone-nicolas,Mayrone Nicolas,,,,,,,,,1.0,,,,,,,,,,,,,,,,
maeric-achiepi,Maéric Achiepi,,,,,,,,,1.0,,,,,,,,,,,,,,,,
michal-kratky,Michal Krátký,,,,,,,,,1.0,,,,,,,,,,,,,,,,
miguel-kabankaya,Miguel Kabankaya,,,,,,,,,1.0,,,,,,,,,,,,,,,,
milan-faby,Milan Faby,,,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,
mitchel-fettig,Mitchel Fettig,,1.0,,3.0,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,
moustapha-diawara,Moustapha Diawara,,,,,,,,,1.0,,,,,,,,,,,,,,,,
nathan-daribo,Nathan Daribo,,,,,,,,,1.0,,,,,,,,,,,,,,,,
nico-strahmann,Nico Strahmann,WR,,,,,,,,1.0,,,,,,,,,,,,,,,,
nicolas-khandar,Nicolas Khandar,,,,,,,,1.0,1.0,,,,,,,,,,2.0,,2.0,1.0,3.0,,14.0
nolan-acheen,Nolan Acheen,,,,,,,,,1.0,,,,,,,,,,,,,,,,
normen-schumm,Normen Schumm,WR,,,,,,,,1.0,,,,,,,,,,,,,,,,
oliver-meier,Oliver Meier,,,,,,,,,1.0,,,,,,,,,,,,,,,,
olof-tillman,Olof Tillman,,,,,,,,,1.0,,,,,,,,,,,,,,,,
ondrej-chmela,Ondřej Chmela,,,,,,,,,1.0,,,,,,,,,,,,,,,,
patrick-pilger,Patrick Pilger,LB,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
paul-kavadia-lenhardt,Paul Kavadia-Lenhardt,WR,,,,,,,,1.0,,37.0,,,,,,,,5.0,1.0,9.0,82.0,,,
paul-stockfleth,Paul Stockfleth,,,,,,,,,1.0,,,,,,,,,,,,,,,,
pavel-juhasz,Pavel Juhász,,,,,,,,,1.0,,,,,,,,,,,,,,,,
pavel-prokop,Pavel Prokop,,,,,,,,,1.0,,,,,,,,,,,,,,6.0,,31.0
petr-maxa,Petr Maxa,,,,,,,,,1.0,,,,,,,,,,,,,,,,
philip-eichhorn,Philip Eichhorn,TE/WR,,,,,,,,1.0,,,,,,,,,,,,,,,,
philip-okonkwo,Philip Okonkwo,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,2.0,6.0,,,
philipp-loffelberger,Philipp Löffelberger,,,,,,,,,1.0,,,,,,,,,,,,,,,,
precious-ogbevoen,Precious Ogbevoen,LB,,,5.0,5.0,,,,1.0,,,,,,,,,,,,,,,,
rabbi-junior,Rabbi Junior,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
rachid-ali-tagba,Rachid Ali-Tagba,DB,,,,,,,,1.0,,,,,,,,,,,,,,,,
radim-kalous,Radim Kalous,WR,,,,,,,,1.0,,,,,,,,,,2.0,,4.0,14.0,,,
roberto-atlas-de-amorim-miranda,Roberto Atlas De Amorim Miranda,,,,,,,,,1.0,,,,,,,,,,4.0,,4.0,23.0,,,
roedion-henrique,Roedion Henrique,LB/S,,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,
russell-tabor,Russell Tabor,QB,,,,,,,,1.0,,,22.0,18.0,,1.0,4.0,279.0,,,,,,8.0,2.0,95.0
ryan-rimmler,Ryan Rimmler,K,,,,,,,,1.0,,,,,,,,,,,,,,,,
remi-bertellin,Rémi Bertellin,WR,,,1.0,1.0,,,,1.0,,,,,,,,,,2.0,1.0,3.0,38.0,,,
sadik-busch,Sadik Busch,,,,,,,,,1.0,,,,,,,,,,,,,,,,
samuel-christer-vretman,Samuel Christer Vretman,,,,,,,,,1.0,,,,,,,,,,,,,,,,
sandro-egger,Sandro Egger,,,,,,,,,1.0,,,,,,,,,,,,,,,,
sauli-puustinen,Sauli Puustinen,,,,,,,,,1.0,,,,,,,,,,,,,,,,
sean-jinadu,Sean Jinadu,,,,,,,,,1.0,,,,,,,,,,,,,,,,
sebastian-gauthier,Sebastian Gauthier,LB,,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,
sebastian-schreiner,Sebastian Schreiner,,,,,,,,,1.0,,,,,,,,,,,,,,,,
sebastian-tirsgaard-larsen,Sebastian Tirsgaard Larsen,,,,,,,,,1.0,,,,,,,,,,,,,,,,
sebastian-silva-gomez,Sebastían Silva Gomez,LB,,1.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,
simeon-gabriel,Simeon Gabriel,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
simon-hugger,Simon Hugger,,,,,,,,,1.0,,,,,,,,,,,,,,,,
simon-kobber-fns,Simon Kobberø Føns,,,,,,,,,1.0,,40.0,,,,,,,,2.0,,2.0,27.0,,,
simon-otto,Simon Otto,LB,,,,,,,,1.0,,,,,,,,,,,,,,,,
simon-stockhammer,Simon Stockhammer,,,,,,,,,1.0,,,,,,,,,,,,,,,,
sirac-kougnaglo,Sirac Kougnaglo,,,,,,,,,1.0,,,,,,,,,,,,,,,,
sixten-dragan,Sixten Dragan,WR,,,,,,,,1.0,,,,,,,,,,2.0,,2.0,38.0,,,
souleymane-karamoko,Souleymane Karamoko,DB,,,3.0,3.0,,,,1.0,,,,,,,,,,,,,,,,
