player_id,player_name,positions,completion_pct,field_goal_attempts,field_goal_long,field_goal_pct,field_goals_made,fumbles,fumbles_lost,games_played,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passer_rating,passing_tds,passing_yards,passing_yards_per_game,points,pr_avg,pr_tds,punt_returns,rec_avg,rec_long,receiving_tds,receiving_yards,receiving_yards_per_game,receptions,receptions_per_game,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,rushing_yards_per_game,total_yards,xp_attempts,xp_made,xp_pct,yards_per_game
isaiah-hardy,Isaiah Hardy,OL,,,,,,,,5.0,,0.0,,,,,,,,,,,,,,,,0.0,12.0,12.0,0.0,12.0,2.4,1.0,0.2,,,,,0.0,,12.0,,,,2.4
jalen-rima,Jalen Rima,WR,,,,,,,,12.0,,3.0,,,,,,,,,,,,,,,,2.0,13.6,41.0,2.0,245.0,81.7,18.0,6.0,,,,,4.0,,245.0,,,,81.7
jarmon-fortson,Jarmon Fortson,WR,,,,,,,,30.0,,0.0,,,,,,,,,,,,,,,,5.0,5.0,12.0,5.0,65.0,21.7,13.0,4.3,,,,,10.0,,65.0,,,,21.7
jonathan-bane,Jonathan Bane,QB,62.9,,,,,1.0,1.0,12.0,3.0,0.0,,,,,35.0,22.0,39.0,8.2,152.3,4.0,287.0,287.0,,,,0.0,20.0,20.0,0.0,20.0,20.0,1.0,1.0,0.7,1.0,3.0,2.0,12.0,2.0,22.0,,,,22.0
jonathan-taylor,Jonathan Taylor,RB,,,,,,,,8.0,,2.8,,,,,,,,,,,,,,,,22.0,,,,4.0,,,,,,,,18.0,,7.0,,,,14.0
jordan-williams,Jordan Williams,MLB/DL/LB/OT/DE/WR,,,,,,1.0,1.0,86.0,,178.0,0.0,0.0,29.0,11.9,,,,,,,,,,0.0,0.0,13.0,12.5,39.0,13.0,562.0,93.7,45.0,7.5,1.5,3.0,4.0,1.0,14.3,1.0,746.0,,,,124.3
justin-marcus,Justin Marcus,DL,,,,,,,,8.0,,3.0,,,,,,,,,,,,,,,,24.0,,,,3.0,,,,,,,,21.0,,1.0,,,,1.0
keiron-jones,Keiron Jones,DB,,,,,,,,2.0,,6.5,,,,,,,,,,,,,,,,13.0,,,,1.0,,,,,,,,12.0,,0.0,,,,0.0
keith-bowers,Keith Bowers,DL,,,,,,,,6.0,,2.3,,,,,,,,,,,,,,,,14.0,,,,3.0,,,,,,,,11.0,,4.0,,,,6.0
ken-walton,Ken Walton,DB,,,,,,,,8.0,,2.9,,,,,,,,,,,,,,,,23.0,,,,12.0,,,,,,,,11.0,,0.0,,,,0.0
kenny-veal,Kenny Veal,DB,,,,,,1.0,0.0,7.0,,84.0,0.0,0.0,21.0,12.0,,,,,,,,,,0.0,0.0,25.0,,,,6.0,,,,,0.0,0.0,0.0,19.0,0.0,84.0,,,,12.0
kiante-northington,Kiante Northington,DB,,,,,,,,3.0,,6.3,,,,,,,,,,,,,,,,19.0,,,,7.0,,,,,,,,12.0,,0.0,,,,0.0
kyle-chandler,Kyle Chandler,DB,,,,,,,,5.0,,2.4,,,,,,,,,,,,,,,,12.0,,,,3.0,,,,,,,,9.0,,0.0,,,,0.0
montavis-mack,Montavis Mack,FB/LB,,,,,,,,2.0,,1.5,,,,,,,,,,,,,,,,3.0,,,,2.0,,,,,,,,1.0,,1.0,,,,6.0
rashad-payne,Rashad Payne,DL,,,,,,,,1.0,,5.0,,,,,,,,,,,,,,,,5.0,,,,4.0,,,,,,,,1.0,,0.0,,,,0.0
zack-brown,Zack Brown,DL/LB,,,,,,0.0,0.0,12.0,,1.0,,,,,,,,,,,,,,,,5.0,,,,2.0,,,,4.4,20.0,5.0,2.0,22.0,4.4,22.0,,,,5.0
