player_id,player_name,positions,assist_tackles,completions,fg_30_39,fg_40_49,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,sacks,solo_tackles,tackles,targets
james-butler,James BUTLER,RB,,,,,,,,,,,3.0,33.0,76.0,,,,,,,,,,,,,,1.0,20.0,2.0,9.0,1.0,30.0,,2.0,2.0,1.0
jaylen-dunlap,Jaylen Dunlap,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,
jeremiah-johnson,Jeremiah Johnson,CB/DB/S,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
jerome-couplin,Jerome Couplin,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
jordan-smallwood,Jordan Smallwood,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,28.0,3.0,,,,,,,2.0
kaelin-burnett,Kaelin Burnett,DE/DB,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,
kahlil-lewis,Kahlil Lewis,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,45.0,5.0,,,,,,,3.0
kermit-whitfield,Kermit Whitfield,WR,,,,,,,,,,,4.0,28.0,88.0,,,,,5.0,5.0,,,1.0,,,,,,30.0,3.0,2.0,,10.0,,1.0,1.0,
kony-ealy,Kony Ealy,DL/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3.0,3.0,
ladarius-wiley,LaDarius Wiley,DB/S/SAF,2.0,,,,,32.0,,32.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,
latroy-lewis,LaTroy Lewis,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,
larry-rose,Larry Rose,RB,,,,,,,,,,,2.0,22.0,43.0,,,,,,,,,,,,,,,7.0,1.0,3.0,,14.0,,,,
latarius-brady,Latarius Brady,DL/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
los-angeles,Los Angeles,,,,,,,,17.0,9.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
marsean-diggs,Mar'Sean Diggs,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
marqueston-huff,Marqueston Huff,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,
mike-stevens,Mike Stevens,CB/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,
nelson-spruce,Nelson Spruce,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,11.0,,,,,,,6.0
new-york,New York,,,,,,,6.0,23.0,10.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
nick-holley,Nick Holley,WR/RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,4.0,,,,,,,1.0
nick-novak,Nick Novak,K,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
owen-roberts,Owen Roberts,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
patrick-vahe,Patrick Vahe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,1.0
phillip-walker,Phillip Walker,QB,,23.0,,,,,,,1.0,,,,,38.0,4.0,272.0,,,,,,,,,,,,,,4.0,,26.0,,,,
quentin-gause,Quentin Gause,LB/DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
roderick-henderson,Roderick Henderson,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
roman-tatum,Roman Tatum,DB,1.0,,,,,,,,,,,,,,,,,-3.0,-3.0,,,1.0,,,,,,,,,,,,,1.0,
ryheem-malone,Ryheem Malone,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,4.0,,,,,,,2.0
saivion-smith,Saivion Smith,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
sam-mobley,Sam Mobley,WR,,,,,,,,,,,,,,,,,1.0,6.0,6.0,,,2.0,,,,,1.0,39.0,1.0,,,,,,,1.0
sammie-coates,Sammie Coates,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,2.0,,,,,1.0,1.0,1.0
seattle,Seattle,,,,,,,,19.0,7.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sergio-castillo,Sergio CASTILLO,K,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shane-tripucka,Shane Tripucka,P,,,,,,,,,,,,,,,,,,,,40.7,47.0,,122.0,3.0,6.0,2.0,,,,,,,,,,
shawn-oakman,Shawn Oakman,DL/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,
st-louis,St. Louis,,,,,,,9.0,15.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total,TOTAL,WR,12.0,23.0,,1.0,1.0,10.0,,10.0,1.0,2.0,3.0,33.0,76.0,38.0,4.0,272.0,1.0,6.0,6.0,43.3,54.0,2.0,130.0,3.0,2.0,2.0,4.0,272.0,23.0,16.0,1.0,50.0,5.0,54.0,66.0,12.0
taiwan-jones,Taiwan Jones,LB/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
tampa-bay,Tampa Bay,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tre-williams,Tre Williams,DE/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,
trevon-sanders,Trevon Sanders,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
ty-schwab,Ty Schwab,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,
ventral-mcmillan,Ventral McMillan,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
will-smith,Will Smith,LB/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
willie-mays,Willie Mays,LB/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
