player_id,player_name,positions,assisted_tackles,blocks,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
damion-barber,Damion Barber,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
demetrich-anderton,Demetrich Anderton,OL,6.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,7.0,13.0,1.0,0.0,,
drake-johnson,Drake Johnson,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,
drew-crooks,Drew Crooks,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,0.0,11.0,1.0,,,,,,,,1.0,1.0,,,,
guillermo-serrano,Guillermo Serrano,QB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,0.0,8.0,1.0,,,,,,,,1.0,1.0,1.0,0.0,,
idrissa-nikiema,Idrissa Nikiema,K,0.0,,,,,,,,,,,,4.0,41.3,0.0,0.0,248.0,6.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,5.0,4.0
jonathan-adams,Jonathan Adams,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,19.0,1.0,58.0,4.0,,,,,,,,,,,,,
joshua-hollins,Joshua Hollins,QB,,,,,,,,,,,,1.0,,,,,,,6.0,6.0,0.0,6.0,,,,,,,8.0,8.0,0.0,8.0,1.0,,,,,,,,,,,,,
justin-gilbert,Justin Gilbert,DB,,,,,,,,,,,2.0,,,,,,,,,,,,31.0,17.0,,23.0,2.0,193.0,,,,,,-2.0,7.0,3.0,0.0,-6.0,,,,,,,,
kameronn-joseph,Kameronn Joseph,WR,4.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,8.0,,,,
kenttwon-brown,Kenttwon Brown,WR,,,,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,11.2,17.0,1.0,56.0,5.0,-3.0,0.0,1.0,0.0,-3.0,,,,,,,,
khalil-steward-injured-reserve,Khalil Steward (Injured Reserve),DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,23.0,1.0,66.0,7.0,1.3,9.0,8.0,1.0,10.0,,,,,,,,
marcus-gray,MARCUS GRAY,G,,,,,3.0,38.0,2.0,,,,,,10.0,36.7,0.0,1.0,220.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0
noa-purcell,Noa Purcell,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,0.0,15.0,1.0,4.2,9.0,9.0,1.0,38.0,,,,,,,,
prince-shonola,Prince Shonola,WR,,,,,,,,,,,,2.0,,,,,,,21.5,24.0,0.0,43.0,,,,,,,,,,,,4.2,12.0,11.0,1.0,46.0,,,,,,,,
robi-stuart,Robi Stuart,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1.0,1.0,2.0,1.0,0.0,,
rodell-rahmaan,Rodell Rahmaan,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,24.0,1.0,56.0,5.0,,,,,,,,,,,,,
roderick-ross-jr,Roderick Ross Jr.,OL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,
ross-patterson,Ross Patterson,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
rudy-silvera,Rudy Silvera,,3.0,,1.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,7.0,,,,
sidney-jones,Sidney Jones,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,0.0,,
terrence-jackson,Terrence Jackson,DB,3.0,,1.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,1.5,0.0,,
zemar-anderson,Zemar Anderson,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
