player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_yds,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_kr,score_pr,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
julian-feoli-gudino,Julian Feoli-Gudino,WR,,,,,,,,,,,,,,,20.0,3.0,4.0,22.0,37.0,,,,,,,,,,,,,,,,,,,,,
justin-medlock,Justin Medlock,K,,,,,,,,,,,,,,,,,,,,76.0,6.0,6.0,191.0,1.0,401.0,,,,,,,15.0,,,4.0,4.0,55.0,15.0,3.0,3.0
justin-tuggle,Justin Tuggle,LB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khalil-paden,Khalil Paden,WR,,,,,,,,,,,,,,,15.0,6.0,9.0,22.0,59.0,,,,,,,,,,,,,,,,,,,,,
kyle-knox,Kyle Knox,LB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ldamian-washington,L\'Damian Washington,WR,,,,,,,,,,,,,,,17.0,1.0,4.0,14.0,17.0,,,,,,,,,,,,,,,,,,,,,
lirim-hajrullahu,Lirim Hajrullahu,K,,,,,,,,,,,,,,,,,,,,72.0,2.0,2.0,127.0,1.0,142.0,,,,,,,19.0,,,6.0,6.0,47.0,19.0,1.0,1.0
marcus-ball,Marcus Ball,LB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
martese-jackson,Martese Jackson,RB,,,,,,,,,,,,,,,,,,,,84.0,6.0,,,1.0,191.0,,,,,,1.0,6.0,,1.0,,,,,,
matt-nichols,Matt Nichols,QB,,,,,,,,36.0,20.0,,39.0,,,228.0,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,,
maurice-leggett,Maurice Leggett,DB/LB,1.0,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ricky-ray-rayri02,Ricky Ray Rayri02,,,,,,,,,46.0,27.0,2.0,38.0,6.0,2.0,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,
rico-murray,Rico Murray,DB/LB,,,,2.0,2.0,,,,,,,,,,,,,,,5.0,1.0,,,,5.0,,,,,,,,,,,,,,,
ryan-lankford,Ryan Lankford,WR,,,,,,,,,,,,,,,4.0,1.0,2.0,,4.0,105.0,2.0,,,1.0,127.0,,,,,1.0,,6.0,,1.0,,,,,,
sj-green,S.J. Green,WR,,,,,,,,,,,,,,,25.0,5.0,12.0,7.0,85.0,,,,,,,,,,,,,,,,,,,,,
samuel-hurl,Samuel Hurl,LB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shawn-lemon,Shawn Lemon,DE/DL/DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tj-heath,TJ Heath,DB,1.0,7.0,,3.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taylor-loffler,Taylor Loffler,DB,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thomas-miles,Thomas Miles,LB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victor-butler,Victor Butler,DE/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weston-dressler,Weston Dressler,WR,,,,,,,,,,,,,,,39.0,7.0,8.0,36.0,109.0,,,,,,,,,,,,,,,,,,,,,
