player_id,player_name,positions,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals,sh_goals
danny-logan,Danny Logan,P,3.0,17.0,4.0,17.0,7.0,,,
devlin-shanahan,Devlin Shanahan,G,,18.0,,,,,,
dhane-smith,Dhane Smith,P,96.0,18.0,36.0,6.0,132.0,18.0,7.0,1.0
dillon-ward,Dillon Ward,G,,17.0,,,,,,
drew-hutchison,Drew Hutchison,G,,18.0,,,,,,
dylan-hutchison,Dylan Hutchison,P,7.0,13.0,,8.0,7.0,1.0,,
dylan-mcintosh,Dylan McIntosh,P,2.0,2.0,,,2.0,,,
dylan-robinson,Dylan Robinson,P,6.0,13.0,2.0,10.0,8.0,,,
eli-gobrecht,Eli Gobrecht,P,9.0,18.0,2.0,22.0,11.0,2.0,,1.0
eli-mclaughlin,Eli McLaughlin,P,39.0,17.0,44.0,2.0,83.0,11.0,13.0,
eli-salama,Eli Salama,P,5.0,18.0,3.0,20.0,8.0,,,1.0
eric-fannell,Eric Fannell,P,23.0,17.0,29.0,14.0,52.0,3.0,3.0,
ethan-oconnor,Ethan O\'Connor,P,4.0,16.0,,6.0,4.0,,,
ethan-ticehurst,Ethan Ticehurst,P,2.0,7.0,1.0,,3.0,,,
evan-messenger,Evan Messenger,P,8.0,13.0,,9.0,8.0,,,
frank-scigliano,Frank Scigliano,G,,18.0,,,,,,
graeme-hossack,Graeme Hossack,P,7.0,18.0,2.0,8.0,9.0,1.0,,
graydon-bradley,Graydon Bradley,P,3.0,14.0,1.0,14.0,4.0,,,
griffin-hall,Griffin Hall,P,3.0,12.0,,8.0,3.0,,,
haiden-dickson,Haiden Dickson,P,21.0,18.0,22.0,2.0,43.0,4.0,5.0,1.0
harrison-matsuoka,Harrison Matsuoka,P,1.0,15.0,1.0,6.0,2.0,,,
holden-garlent,Holden Garlent,P,9.0,18.0,4.0,14.0,13.0,,,1.0
ian-llord,Ian Llord,P,2.0,13.0,,13.0,2.0,,,
ian-mackay,Ian MacKay,P,19.0,18.0,19.0,14.0,38.0,2.0,3.0,
isaiah-davis-allen,Isaiah Davis-Allen,P,4.0,18.0,2.0,,6.0,,,
jack-hannah,Jack Hannah,,31.0,18.0,33.0,9.0,64.0,6.0,10.0,2.0
jackson-suboch,Jackson Suboch,P,1.0,11.0,,69.0,1.0,,,
jacob-dunbar,Jacob Dunbar,P,1.0,3.0,2.0,,3.0,,,
jake-boudreau,Jake Boudreau,P,7.0,18.0,6.0,8.0,13.0,,,
jake-govett,Jake Govett,P,10.0,10.0,6.0,,16.0,1.0,,1.0
jake-withers,Jake Withers,P,10.0,17.0,2.0,58.0,12.0,,,
jalen-chaster,Jalen Chaster,DT/P,6.0,18.0,2.0,20.0,8.0,,,
james-barclay,James Barclay,P,5.0,18.0,,4.0,5.0,1.0,,
jay-thorimbert,Jay Thorimbert,P,4.0,16.0,2.0,6.0,6.0,,,
jeff-cornwall,Jeff Cornwall,P,8.0,14.0,7.0,13.0,15.0,,,1.0
jeff-henrick,Jeff Henrick,P,,1.0,,,,,,
jeff-teat,Jeff Teat,P,80.0,18.0,56.0,2.0,136.0,21.0,8.0,1.0
jeremy-thompson,Jeremy Thompson,P,5.0,18.0,4.0,27.0,9.0,,,
jerrett-smith,Jerrett Smith,P,14.0,18.0,3.0,2.0,17.0,,,
jesse-king,Jesse King,P,58.0,18.0,42.0,14.0,100.0,16.0,10.0,2.0
joe-resetarits,Joe Resetarits,P,69.0,18.0,41.0,2.0,110.0,13.0,4.0,1.0
johnny-pearson,Johnny Pearson,P,2.0,18.0,3.0,17.0,5.0,,,
jonathan-gagliardi,Jonathan Gagliardi,,4.0,17.0,,8.0,4.0,,,
jordan-gilles,Jordan Gilles,P,7.0,18.0,3.0,9.0,10.0,,,
jordan-macintosh,Jordan MacIntosh,P,14.0,17.0,5.0,2.0,19.0,,,1.0
jordan-stouros,Jordan Stouros,P,3.0,12.0,1.0,,4.0,,,
josh-byrne,Josh Byrne,P,50.0,15.0,43.0,12.0,93.0,9.0,7.0,4.0
josh-dawick,Josh Dawick,P,5.0,4.0,4.0,,9.0,,,
josh-jubenville,Josh Jubenville,P,6.0,17.0,4.0,30.0,10.0,,,1.0
josh-medeiros,Josh Medeiros,P,7.0,18.0,21.0,26.0,28.0,,,
justin-geddie,Justin Geddie,,,18.0,,,,,,
kason-tarbell,Kason Tarbell,P,5.0,18.0,2.0,4.0,7.0,1.0,,1.0
keegan-bal,Keegan Bal,P,53.0,17.0,34.0,6.0,87.0,15.0,9.0,1.0
kellen-leclair,Kellen LeClair,P,,14.0,,9.0,,,,
kevin-brown,Kevin BROWN,LB/P/RB,6.0,18.0,7.0,6.0,13.0,,,1.0
kyle-buchanan,Kyle Buchanan,P,37.0,18.0,21.0,2.0,58.0,5.0,1.0,1.0
laine-hruska,Laine Hruska,G,,4.0,,,,,,
larson-sundown,Larson Sundown,P,16.0,18.0,20.0,24.0,36.0,3.0,6.0,1.0
latrell-harris,Latrell Harris,P,20.0,18.0,10.0,4.0,30.0,1.0,,1.0
liam-leclair,Liam LeClair,P,1.0,18.0,,24.0,1.0,,,
liam-patten,Liam Patten,P,8.0,16.0,3.0,21.0,11.0,,1.0,
luc-magnan,Luc Magnan,P,3.0,16.0,,31.0,3.0,,,
lyle-thompson,Lyle Thompson,P,60.0,18.0,46.0,2.0,106.0,12.0,10.0,
marcus-klarich,Marcus Klarich,P,2.0,3.0,,,2.0,,,
mark-matthews,Mark Matthews,P,73.0,18.0,25.0,10.0,98.0,24.0,6.0,
marshal-king,Marshal King,,10.0,12.0,7.0,,17.0,1.0,1.0,
mathieu-gautier,Mathieu Gautier,P,18.0,16.0,16.0,6.0,34.0,2.0,5.0,
matt-beers,Matt Beers,P,9.0,18.0,3.0,22.0,12.0,,1.0,
matt-gilray,Matt Gilray,P,17.0,18.0,10.0,2.0,27.0,1.0,,
matt-hossack,Matt Hossack,P,7.0,18.0,4.0,4.0,11.0,,,
matt-marinier,Matt Marinier,P,10.0,18.0,3.0,16.0,13.0,,,
matt-spanger,Matt Spanger,P,2.0,18.0,3.0,6.0,5.0,,,
matt-sykes,Matt Sykes,P,5.0,17.0,,10.0,5.0,,,
matt-vinc,Matt Vinc,G,,18.0,,,,,,
max-adler,Max Adler,,1.0,18.0,,2.0,1.0,,,
max-wilson,Max Wilson,P,1.0,12.0,1.0,10.0,2.0,,,1.0
mike-manley,Mike Manley,P,3.0,17.0,1.0,15.0,4.0,,,
mike-mccannell,Mike McCannell,P,9.0,17.0,1.0,8.0,10.0,1.0,,1.0
mike-messenger,Mike Messenger,P,16.0,18.0,7.0,28.0,23.0,,1.0,1.0
mitch-de-snoo,Mitch de Snoo,P,9.0,11.0,10.0,13.0,19.0,,,2.0
nick-damude,Nick Damude,G,,18.0,,,,,,
nick-rose,Nick Rose,G/K,,18.0,,,,,,
nick-weiss,Nick Weiss,P,14.0,18.0,6.0,14.0,20.0,,,1.0
patrick-dodds,Patrick Dodds,P,28.0,18.0,22.0,6.0,50.0,9.0,8.0,
patrick-foley,Patrick Foley,,5.0,18.0,,4.0,5.0,,,
patrick-shoemay,Patrick Shoemay,P,7.0,17.0,4.0,20.0,11.0,,,1.0
paul-dawson,Paul Dawson,LB/P,5.0,18.0,2.0,28.0,7.0,,,
phil-caputo,Phil Caputo,P,17.0,16.0,22.0,9.0,39.0,5.0,12.0,
phil-mazzuca,Phil Mazzuca,P,1.0,12.0,3.0,2.0,4.0,,,
randy-staats,Randy Staats,P,59.0,17.0,34.0,20.0,93.0,15.0,5.0,
reece-callies,Reece Callies,P,3.0,18.0,1.0,21.0,4.0,,,
reid-bowering,Reid Bowering,P,12.0,15.0,5.0,8.0,17.0,1.0,,1.0
reilly-oconnor,Reilly O'Connor,,45.0,17.0,20.0,2.0,65.0,14.0,6.0,
riley-hutchcraft,Riley Hutchcraft,G,,18.0,,,,,,
riley-loewen,Riley Loewen,P,25.0,13.0,15.0,2.0,40.0,8.0,6.0,
rob-hellyer,Rob Hellyer,P,71.0,18.0,21.0,9.0,92.0,21.0,3.0,1.0
robert-church,Robert Church,P,53.0,18.0,51.0,8.0,104.0,16.0,12.0,1.0
robert-hope,Robert Hope,P,10.0,18.0,1.0,16.0,11.0,,,
robert-hudson,Robert Hudson,P,4.0,17.0,,17.0,4.0,,,
ron-john,Ron John,P,10.0,17.0,2.0,17.0,12.0,,,
ryan-barnable,Ryan Barnable,P,6.0,9.0,5.0,,11.0,,,
ryan-benesch,Ryan Benesch,P,44.0,18.0,31.0,4.0,75.0,10.0,7.0,1.0
ryan-dilks,Ryan Dilks,P,8.0,16.0,1.0,4.0,9.0,,,
ryan-keenan,Ryan Keenan,P,48.0,18.0,24.0,8.0,72.0,8.0,4.0,1.0
ryan-leder,Ryan Leder,DL/P,33.0,6.0,6.0,2.0,39.0,8.0,2.0,
ryan-martel,Ryan Martel,P,8.0,13.0,17.0,10.0,25.0,1.0,1.0,
ryan-smith,Ryan Smith,P/WR,42.0,17.0,33.0,,75.0,9.0,11.0,
ryan-terefenko,Ryan Terefenko,P,14.0,18.0,7.0,6.0,21.0,,,
ryan-wagner,Ryan Wagner,P,5.0,12.0,,2.0,5.0,1.0,,
rylan-hartley,Rylan Hartley,G,,18.0,,,,,,
ryland-rees,Ryland Rees,P,9.0,16.0,7.0,8.0,16.0,1.0,,
sam-firth,Sam Firth,P,12.0,13.0,6.0,6.0,18.0,2.0,1.0,
sam-leclair,Sam LeClair,P,6.0,17.0,11.0,2.0,17.0,,,
scott-dominey,Scott Dominey,P,7.0,18.0,9.0,23.0,16.0,,,
seth-van-schepen,Seth Van Schepen,P,4.0,16.0,1.0,6.0,5.0,,,
shane-simpson,Shane Simpson,LB/P/RB,10.0,15.0,18.0,10.0,28.0,,,4.0
shayne-jackson,Shayne Jackson,P,60.0,18.0,33.0,18.0,93.0,18.0,4.0,
steph-charbonneau,Steph Charbonneau,P,3.0,15.0,1.0,12.0,4.0,1.0,,
stephen-keogh,Stephen Keogh,,28.0,17.0,26.0,17.0,54.0,3.0,5.0,
steve-fryer,Steve Fryer,P,,3.0,,,,,,
steve-orleman,Steve Orleman,,,18.0,,,,,,
steve-priolo,Steve Priolo,P,16.0,17.0,3.0,67.0,19.0,,,
tj-comizio,TJ Comizio,P,14.0,18.0,2.0,2.0,16.0,,1.0,
tanner-cook,Tanner Cook,P,31.0,18.0,32.0,27.0,63.0,5.0,8.0,
tehoka-nanticoke,Tehoka Nanticoke,P,18.0,13.0,21.0,26.0,39.0,1.0,4.0,1.0
thomas-hoggarth,Thomas Hoggarth,P,24.0,17.0,30.0,6.0,54.0,3.0,2.0,
thomas-vela,Thomas Vela,P,2.0,4.0,2.0,2.0,4.0,,,1.0
tim-edwards,Tim Edwards,P,11.0,18.0,,10.0,11.0,,,
tre-leclaire,Tre Leclaire,P,9.0,17.0,10.0,20.0,19.0,1.0,1.0,
trevor-baptiste,Trevor Baptiste,P,4.0,17.0,2.0,8.0,6.0,,,
trevor-smyth,Trevor Smyth,P,2.0,17.0,1.0,2.0,3.0,,,
troy-holowchuk,Troy Holowchuk,G,,18.0,,,,,,
tyler-biles,Tyler Biles,P,2.0,16.0,,24.0,2.0,,,
tyler-carlson,Tyler Carlson,P,,18.0,,,,,,
tyler-garrison,Tyler Garrison,P,,1.0,,2.0,,,,
tyler-packer,Tyler Packer,OL/P,50.0,14.0,24.0,8.0,74.0,16.0,6.0,
wakeriat-bowhunter,Wake:Riat BowHunter,P,7.0,13.0,7.0,,14.0,,1.0,1.0
warren-hill,Warren Hill,G,,18.0,,,,,,
warren-jeffrey,Warren Jeffrey,P,3.0,18.0,1.0,36.0,4.0,,,
wesley-berg,Wesley Berg,P,70.0,18.0,39.0,12.0,109.0,19.0,8.0,2.0
will-malcom,Will Malcom,P,61.0,18.0,35.0,4.0,96.0,18.0,5.0,
zach-currier,Zach Currier,P,18.0,18.0,15.0,14.0,33.0,,,2.0
zach-higgins,Zach Higgins,G,,18.0,,,,,,
zach-manns,Zach Manns,P,25.0,16.0,11.0,4.0,36.0,1.0,,
zach-miller,Zach Miller,P,18.0,13.0,8.0,2.0,26.0,3.0,,
zed-williams,Zed Williams,P,34.0,17.0,37.0,19.0,71.0,9.0,7.0,4.0
