player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
james-wilder-jr,James Wilder Jr.,RB,,,,,,,,,,,,,,2.0,,,,,,,,,11.0,8.0,35.0,,,,,,,,,,
jeff-fuller,Jeff Fuller,WR,,,,,,,,,,,,,1.0,4.0,1.0,,29.0,,,,,,,,,,1.0,6.0,1.0,,,,,,
jeffrey-finley,Jeffrey Finley,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jermaine-gabriel,Jermaine Gabriel,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
johnny-sears,Johnny Sears,DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathan-woods,Jonathan Woods,LB,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-bartel,Josh Bartel,P/K,,,,,,,,,,,,,,,,,,49.0,5.0,5.0,45.0,216.0,,,,,,,,,,,,,
jovon-johnson,Jovon Johnson,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin-tuggle,Justin Tuggle,LB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kacy-rodgers,Kacy Rodgers,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kevin-glenn,Kevin Glenn,QB,,,,,37.0,24.0,49.0,15.0,2.0,4.0,340.0,,,,,,,,,,,,,,,,,,,,,,,,
lirim-hajrullahu,Lirim Hajrullahu,K,,,,,,,,,,,,,,,,,,76.0,5.0,4.0,92.0,340.0,,,,,,9.0,,2.0,2.0,27.0,8.0,2.0,2.0
llevi-noel,Llevi Noel,WR,,,,,,,,,,,,,1.0,1.0,1.0,,7.0,,,,,,,,,,1.0,6.0,1.0,,,,,,
makana-henry,Makana Henry,DL/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malcolm-williams,Malcolm Williams,WR,,,,,,,,,,,,22.0,3.0,4.0,,1.0,43.0,,,,,,,,,,,,,,,,,,
marcus-ball,Marcus Ball,LB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
martese-jackson,Martese Jackson,RB,,,,,,,,,,,,15.0,2.0,2.0,,19.0,23.0,34.0,5.0,,,137.0,,,,,,,,,,,,,
mike-edem,Mike Edem,S/DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naaman-roosevelt,Naaman Roosevelt,WR,,,,,,,,,,,,17.0,5.0,10.0,1.0,17.0,51.0,,,,,,,,,1.0,1.0,8.0,1.0,,,,,,
nic-demski,Nic DEMSKI,WR,,,,,,,,,,,,,,,,,,7.0,3.0,,,4.0,,,,,,,,,,,,,
ricky-ray-rayri02,Ricky Ray Rayri02,,,,,,38.0,28.0,45.0,30.0,5.0,3.0,386.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,
rico-murray,Rico Murray,LB/DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rob-bagg,Rob Bagg,WR,,,,,,,,,,,,10.0,1.0,3.0,,3.0,10.0,,,,,,,,,,,,,,,,,,
sj-green,S.J. Green,WR,,,,,,,,,,,,18.0,6.0,7.0,1.0,10.0,68.0,,,,,,,,,,1.0,6.0,1.0,,,,,,
samuel-eguavoen,Samuel Eguavoen,LB,1.0,5.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shawn-lemon,Shawn Lemon,DL/DE/DB,1.0,4.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tobi-antigha,Tobi Antigha,LB/DB,2.0,3.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
troy-davis,Troy Davis,DL/DB,1.0,3.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyler-crapigna,Tyler Crapigna,K,,,,,,,,,,,,,,,,,,80.0,7.0,6.0,149.0,418.0,,,,,,12.0,,3.0,3.0,44.0,12.0,3.0,3.0
willie-jefferson,Willie Jefferson,DL/DE/DB,1.0,9.0,9.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zach-minter,Zach Minter,DL/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
