player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,qb_hits,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
deshawnte-lloyd,Deshawnte Lloyd,OL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,3.0,,,,
devontae-tinsley,Devontae Tinsley,DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,0.5,1.0,,
dustin-hurst,Dustin Hurst,OL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.5,1.0,,
erick-young,Erick Young,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,4.0,,,,
fred-bruno,Fred Bruno,WR,,,,,,,,,,,,0.0,,,,,,,,,,,,18.0,16.0,,30.0,3.0,211.0,,,,,,,4.3,9.0,4.0,2.0,17.0,,,,,,,,
harold-brooks,Harold Brooks,ATH,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
jailin-singleton,Jailin Singleton,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,1.0,2.0,1.0,6.0,,
jared-bronson,Jared Bronson,OL,,,,,,,2.0,0.0,,,,1.0,,,,,,,,,,,,8.0,5.0,,24.0,0.0,46.0,,,,,,,0.7,2.0,3.0,0.0,2.0,,,,,,,,
jaylon-abdual-karim,Jaylon Abdual-Karim,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,23.0,1.0,51.0,4.0,5.0,5.0,1.0,1.0,5.0,,,,,,,,
joshua-hollins,Joshua Hollins,QB,,,,,,,,,,,,0.0,,,,,,,,,,,,15.0,10.0,,25.0,3.0,104.0,,,,,,,11.3,14.0,4.0,1.0,45.0,,,,,,,,
joshua-neal,Joshua Neal,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,
kameronn-joseph,Kameronn Joseph,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,25.0,2.0,82.0,7.0,,,,,,,,,,,,,
kindred-evans,Kindred Evans,DL,,,,,,,,,,,,0.0,,,,,,,,,,,,4.0,3.0,,12.0,1.0,18.0,,,,,,,2.8,6.0,4.0,0.0,11.0,,,,,,,,
kollin-jackson,Kollin Jackson,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.5,1.0,,
landon-freeman,Landon Freeman,RB,4.0,1.0,0.0,,,,,,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,,,
laronji-vason-mccoy,Laronji Vason-McCoy,DB,,,,,,,,,,,,,,8.0,49.1,2.0,0.0,491.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0
matt-struck,Matt Struck,QB,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,13.0,0.5,2.0,,
metoriah-faoliu,Metoriah Faoliu,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,2.0,1.0,3.0,,
rathel-carter,Rathel Carter,LB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,
riley-stapleton,Riley Stapleton,WR,0.0,,,,,,,,,,,,2.0,,,,,,,14.5,20.0,0.0,29.0,,,,,,,,5.0,5.0,0.0,5.0,1.0,-5.5,0.0,2.0,0.0,-11.0,,,2.0,2.0,,,,
roderick-ross-jr,Roderick Ross Jr.,OL,,,,1.0,0.0,0.0,,,,,,,,5.0,44.4,1.0,0.0,222.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0
ross-patterson,Ross Patterson,K,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,
sammie-epps,Sammie Epps,WR,2.0,,,,,,,,,,,,1.0,,,,,,,19.0,19.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,4.0,6.0,,,,
samuel-seward,Samuel Seward,ATH,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
scott-roche,Scott Roche,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,0.0,8.0,1.0,,,,,,,,,,,,,
xaiver-spann,Xaiver Spann,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
yuka-onya,Yuka Onya,DL,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,0.5,1.0,,
