player_id,player_name,positions,assisted_tackles,blocks,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
devanaire-conliffe,Devanaire Conliffe,WR,0.0,,,,,,,,,,,1.0,,,,,,,5.0,5.0,1.0,5.0,,,1.0,,,,,,,,,,,,,,,,2.0,2.0,,,,
emanuel-aquilar-medrano,Emanuel Aquilar-Medrano,K,0.0,1.0,,,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
idrissa-nikiema,Idrissa Nikiema,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,8.0,1.0,13.0,2.0,5.0,5.0,1.0,0.0,5.0,,,,,,,,
james-nyamwaya,James Nyamwaya,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
jared-bronson,Jared Bronson,OL,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
jaylen-pickle,Jaylen Pickle,DL,2.0,,,,,,,,,,,1.0,,,,,,,3.0,3.0,0.0,3.0,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
jordus-smith,Jordus Smith,WR,0.0,,1.0,1.0,,,,23.0,23.0,23.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,
kameronn-joseph,Kameronn Joseph,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,21.0,2.0,59.0,7.0,,,,,,,,,,,,,
kendrick-tutt,Kendrick Tutt,OL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,1.0,0.0,,
kollin-jackson,Kollin Jackson,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.5,2.0,3.0,1.5,0.0,,
matt-struck,Matt Struck,QB,2.0,,,,,,,,,,,5.0,,,,,,,18.2,33.0,0.0,91.0,,,1.0,,,,,,,,,,,,,,,,1.0,3.0,,,,
myran-mounds,Myran Mounds,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,
naeem-alexander,Naeem Alexander,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,9.0,1.0,12.0,2.0,-2.0,0.0,1.0,0.0,-2.0,,,,,,,,
riley-stapleton,Riley Stapleton,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0.0,3.0,1.0,,,,,,,,,,,,,
roderick-ross-jr,Roderick Ross Jr.,OL,,,,,1.0,0.0,0.0,,,,,,1.0,29.5,0.0,1.0,118.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
samuel-seward,Samuel Seward,ATH,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,
sidney-jones,Sidney Jones,DL,0.0,,1.0,0.0,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,
steven-parker,Steven Parker,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
tj-davis,TJ DAVIS,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,0.0,15.0,1.0,,,,,,,,,,,,,
team-stat,Team Stat,ATH,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.5,1.0,3.0,0.5,0.0,,
terrance-mcclain-jr,Terrance McClain Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
trae-self,Trae Self,QB,0.0,,1.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,
xavier-powell,Xavier Powell,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,1.0,0.0,,
xzavier-crawford-injured-reserve,Xzavier Crawford (Injured Reserve),WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
zachary-calzada,Zachary Calzada,,,,,,,,,,,,3.0,,,,,,,,,,,,32.0,11.0,,21.0,2.0,72.0,,,,,,4.4,9.0,9.0,0.0,40.0,,,,,,,,
