player_id,player_name,positions,assisted_tackles,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
ladarius-galloway,LaDarius Galloway,RB,0.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,8.7,13.0,0.0,26.0,3.0,-4.0,0.0,1.0,0.0,-4.0,1.0,1.0,,,,
letrell-golden,Letrell Golden,OL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
lorenzo-thompson,Lorenzo Thompson,OT/WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,10.0,,,,
marcus-rogers,Marcus Rogers,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,28.0,2.0,69.0,6.0,,,,,,,,,,,
rudy-silvera,Rudy Silvera,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,
rysan-richardson,Rysan Richardson,K,,,,,,,,,,,4.0,,,,,,,21.0,31.0,0.0,84.0,,,,,,,8.0,12.0,2.0,72.0,9.0,0.7,3.0,7.0,1.0,5.0,,,,,,
steven-parker,Steven Parker,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,
tj-davis,TJ DAVIS,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,13.0,1.0,27.0,3.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,,,,
trae-self,Trae Self,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,3.0,,,,
xavier-powell,Xavier Powell,QB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,
