player_id,player_name,positions,assist_tackles,completions,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,int_avg,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,pass_attempts,passing_tds,passing_yards,pr_fc,punt_avg,punt_long,punt_tb,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,solo_tackles,targets
garrett-gilbert,Garrett Gilbert,QB,,19.0,,,,,,,,,,0.0,,23.0,1.0,217.0,,,,,,,,,,,,1.0,0.0,3.0,,
grant-doran,"Grant, Doran",DB,1.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,
hall-rannell,"Hall, Rannell",WR,,,,,,,,,,,,,,,,,,,,,,,,,0.0,60.0,2.0,,,,,2.0
hunt-akeem,"Hunt, Akeem",RB,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.0,2.0,9.0,0.0,39.0,,2.0
ishmael-hyman,Ishmael Hyman,WR,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,1.0
jerel-worthy,Jerel Worthy,DB,3.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,
jerome-couplin,Jerome Couplin,DB,0.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,5.0,
jones-jt,"Jones, J.T.",DL/DB,2.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,
jones-malachi,"Jones, Malachi",WR,,,,,,,,,,,,,,,,,,,,,,,,,1.0,53.0,6.0,1.0,0.0,18.0,,7.0
jones-seantavius,"Jones, Seantavius",WR,,,,,,,,,,,,,,,,,,,,,,,,,0.0,18.0,1.0,,,,,4.0
josh-evans,Josh Evans,DB,1.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,
keshun-freeman,KeShun Freeman,DB,0.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,
keith-reaser,Keith Reaser,DB,0.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,
keith-towbridge,Keith Towbridge,WR,1.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,15.0,1.0,,,,0.0,2.0
ladarius-gunter,LaDarius Gunter,DB,0.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,
leon-orr,Leon Orr,DB,1.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,
levi-anderson,Levi Anderson,P/QB/RB,,0.0,,,,,,,,,,0.0,,1.0,0.0,0.0,,,,,,,,,,,,1.0,0.0,16.0,,
lotulelei-tau,"Lotulelei, Tau",LB/DB,1.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,
louis-young,Louis Young,DB,1.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,7.0,
luc-jeff,"Luc, Jeff",DL/DB,4.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,4.0,
marshall-jalin,"Marshall, Jalin",WR,,,,,,,,,,,,,,,,,,,,,,,,,0.0,26.0,4.0,,,,,6.0
matt-simms,Matt Simms,QB,,5.0,0.0,0.0,1.0,0.0,0.0,,,,,0.0,,8.0,0.0,60.0,,,,,,,,,,,,,,,,
matt-weiser,Matt Weiser,WR,,,,,,,,,,,,,,,,,,,,,,,,,0.0,12.0,1.0,,,,,1.0
montay-crockett,Montay Crockett,WR,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.0,1.0,,,,,1.0
okine-earl,"Okine, Earl",DL/DB,2.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,
quick-james,"Quick, James",WR,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,,,,,2.0
radcliff-brandon,"Radcliff, Brandon",RB,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,3.0,6.0,0.0,23.0,,3.0
reggie-northrup,Reggie Northrup,LB/DB,4.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,4.0,
scott-orndoff,Scott Orndoff,WR,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25.0,1.0,,,,,1.0
sprinkle-tracy,"Sprinkle, Tracy",DL/DB,0.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,
swann-damian,"Swann, Damian",DB,0.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,
tj-barnes,T.J. Barnes,DL/DT/DB,0.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,
terence-garvin,Terence Garvin,DB,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,5.0,
thomas-justin,"Thomas, Justin",WR,,,,,,,,,,,,,,,,,,,,,,,,,0.0,16.0,1.0,,,,,3.0
tony-adams,Tony Adams,S/DB,0.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,
tony-guerad,Tony Guerad,DB,1.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,
will-hill,Will Hill,DB,0.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,6.0,
