player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
quantaye-battle,Quantaye Battle,DB,,,,,,,,,,,,,,,,,,,,,,,,,17.7,31.0,1.0,53.0,3.0,,,,,,,,,,,
roderick-ross-jr,Roderick Ross Jr.,OL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,1.0,0.0,,
rudy-silvera,Rudy Silvera,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,,,
sean-connaghan,Sean Connaghan,LB,,,,,,,,,,,,,,,,,,,,,,,,,7.5,9.0,0.0,15.0,2.0,1.0,1.0,1.0,0.0,1.0,,,,,,
sidney-jones,Sidney Jones,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,1.0,0.0,,
timothy-shannon-jr,Timothy Shannon Jr.,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
tyler-cassel,Tyler Cassel,DL,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8.0,,,,
vincent-espinoza,Vincent Espinoza,QB,,,,,,,1.0,,,,,,,,,,,,18.0,14.0,,31.0,2.0,161.0,,,,,,9.0,9.0,2.0,0.0,18.0,,,,,,
willie-caviness,Willie Caviness,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,0.0,11.0,1.0,,,,,,2.0,2.0,,,,
zemar-anderson,Zemar Anderson,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
