player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,qb_hits,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
justin-clarkson,Justin Clarkson,WR,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,5.0,6.0,0.0,15.0,3.0,,,,,,,,,,,,0.0,0.0
kaleb-lowe,Kaleb Lowe,QB,0.0,,,,,,,,,,,,,,,2.0,,,,,,,14.5,17.0,0.0,29.0,,,,,,,,13.0,28.0,1.0,91.0,7.0,,,,,,,,1.0,1.0,,,,
khalil-trotman,Khalil Trotman,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
kyle-jarvis,Kyle Jarvis,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
landon-freeman,Landon Freeman,RB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,10.0,,,,
laronji-vason-mccoy,Laronji Vason-McCoy,DB,,,,,,,,,,,,,,,,,6.0,52.6,1.0,0.0,368.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,6.0
marzion-crosby,Marzion Crosby,DB,1.0,,,,,,,,,,,,,,,4.0,,,,,,,19.8,27.0,0.0,79.0,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
metoriah-faoliu,Metoriah Faoliu,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,3.0,1.0,1.0,,
ponce-deleon,Ponce Deleon,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,1.0,6.0,,
rashard-budd,Rashard Budd,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,13.0,0.0,27.0,4.0,,,,,,,,,,,,,
raymond-alexander,Raymond Alexander,DL,,,,1.0,0.0,0.0,,,,,,,,,,,0.0,51.3,1.0,0.0,154.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
sammie-epps,Sammie Epps,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,3.0,,,,
thomas-kadera,Thomas Kadera,WR,3.0,1.0,0.0,,,,,,,,,13.0,13.0,13.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,4.0,0.5,1.0,,
trae-jackson,Trae Jackson,WR,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6.0,3.0,,15.0,0.0,28.0,,,,,,,,,,,,,,,,,,,
tyler-clark,Tyler Clark,DL/DT,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6.0,3.0,,15.0,0.0,33.0,,,,,,,5.6,9.0,5.0,1.0,28.0,,,,,,,,
tyre-williams,Tyre Williams,,1.0,,,,,,,,,2.0,2.0,,,,2.0,,,,,,,,,,,,21.0,13.0,,28.0,1.0,133.0,,,,,,,2.8,7.0,6.0,0.0,17.0,,,5.0,6.0,,,,
xaiver-spann,Xaiver Spann,DB,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,10.0,,,,
zuri-davis,Zuri Davis,WR,1.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,2.0,,,,
