player_id,player_name,positions,assisted_tackles,blocks,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
marco-lee,Marco Lee,RB,,,,,3.0,49.0,1.0,,,,,,,,,,,7.0,50.0,0.0,1.0,350.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0
patrick-mcsweeney,Patrick Mcsweeney,WR,0.0,,2.0,1.0,,,,,,,,,17.5,35.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
que-baker---mccaulay,Que Baker - McCaulay,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,
ralph-green,Ralph Green,DL,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,,,,
ron-brown-jr,Ron Brown Jr.,RB,,,,,,,,,,,,,,,,,3.0,,,,,,,13.7,30.0,0.0,41.0,,,,,,,15.0,15.0,0.0,15.0,1.0,5.0,6.0,3.0,1.0,15.0,,,,,,,,
shay-roberts,Shay Roberts,OL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
td-ayo-durojaiye,TD Ayo-Durojaiye,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,10.0,3.0,0.0,16.0,,,1.0,2.0,1.0,0.0,,
team,TEAM,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,
terrell-brown,Terrell Brown,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,14.0,0.0,32.0,3.0,,,,,,,,,,,,,
travis-anderson,Travis Anderson,OL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,3.0,,,,
zack-brown,Zack Brown,DL/LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
