player_id,player_name,positions,assisted_tackles,blocks,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,qb_hits,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
john-williams,John Williams,WR,0.0,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,17.0,11.0,2.0,51.0,,,1.0,1.0,,,,
justin-clarkson,Justin Clarkson,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
justin-youmes,Justin Youmes,OL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,5.0,8.0,,,,
kaleb-macaway,Kaleb Macaway,WR,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,1.0,1.0,,
kam-prewitt,Kam Prewitt,DB,,,,,3.0,33.0,1.0,,,,,,,,,,9.0,46.3,3.0,1.0,370.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0
nashawn-jackson,Nashawn Jackson,OL,7.0,,,,,,,1.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,,,,
ralph-green,Ralph Green,DL,5.0,,1.0,0.0,,,,,,,,41.0,41.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,0.5,2.0,,
rashad-flanders,Rashad Flanders,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,,,,
raymond-alexander,Raymond Alexander,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,2.0,2.0,2.0,9.0,,
ronald-malbrough,Ronald Malbrough,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
simeon-burns,Simeon Burns,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,
tairiq-stewart,Tairiq Stewart,OL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
traveon-samuel,Traveon Samuel,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,26.0,1.0,57.0,3.0,,,,,,,,,,,,,
travion-mosby,Travion Mosby,DB,0.0,,,,,,,,,,,,,,,4.0,,,,,,,14.0,20.0,0.0,56.0,,,,,,,,7.3,15.0,2.0,29.0,4.0,-0.5,2.0,2.0,0.0,-1.0,,,1.0,1.0,,,,
tyalen-shaw,Tyalen Shaw,QB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,3.0,,,,
tyler-clark,Tyler Clark,DL/DT,,,,,,,,,,,,,,,,5.0,,,,,,,21.4,32.0,0.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,
tyron-laughinghouse,Tyron Laughinghouse,ATH/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,30.0,1.0,46.0,4.0,,,,,,,,,,,,,
zachary-schleuger,Zachary Schleuger,LB,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,,
