player_id,player_name,positions,assist_tackles,completions,fg_30_39,fg_40_49,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,sacks,solo_tackles,tackles,targets
derron-smith,Derron Smith,DB,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
donald-parham,Donald Parham,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,56.0,6.0,,,,,,,3.0
donatello-brown,Donatello Brown,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,
drew-galitz,Drew Galitz,P,,,,,,,,,,,,,,,,,,,,50.2,59.0,,201.0,4.0,12.0,3.0,,,,,,,,,,
drew-lewis,Drew Lewis,LB/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,
edmond-robinson,Edmond Robinson,LB/DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,4.0,
flynn-nagel,Flynn Nagel,WR,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,76.0,6.0,,,,,1.0,1.0,3.0
freddie-martino,Freddie Martino,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,,,,,,,1.0
gelen-robinson,Gelen Robinson,DL/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
gerald-rivers,Gerald Rivers,DE/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
greer-martini,Greer Martini,DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,
houston,Houston,,,,,,,6.0,27.0,9.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
james-butler,James BUTLER,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,11.0,,39.0,,,,
jazz-ferguson,Jazz Ferguson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,4.0,,,,,1.0,1.0,
jeff-badet,Jeff Badet,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2.0,,,,,,,2.0
jeremiah-johnson,Jeremiah Johnson,S/CB/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
johnny-maxey,Johnny Maxey,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
josh-crockett,Josh Crockett,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
josh-hawkins,Josh Hawkins,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
kaelin-burnett,Kaelin Burnett,DE/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,
kahlil-lewis,Kahlil Lewis,WR,,,,,,,,,,,1.0,18.0,18.0,,,,,,,,,,,,,,,53.0,6.0,,,,,,,2.0
latroy-lewis,LaTroy Lewis,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
lance-dunbar,Lance Dunbar,WR,,,,,,,,,,,1.0,7.0,7.0,,,,,3.0,3.0,,,1.0,,,,,,17.0,2.0,9.0,1.0,48.0,,,,1.0
landry-jones,Landry Jones,QB,,25.0,,,,,,,3.0,,,,,38.0,1.0,205.0,,,,,,,,,,,,,,1.0,,2.0,,,,
los-angeles,Los Angeles,,,,,,,,14.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
marqueston-huff,Marqueston Huff,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,
micah-abernathy,Micah Abernathy,S/CB/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,5.0,
new-york,New York,,,,,,,3.0,17.0,11.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
nick-holley,Nick Holley,WR/RB,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,97.0,8.0,,,,,1.0,1.0,6.0
nick-james,Nick James,DL/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
philip-nelson,Philip Nelson,QB,,1.0,,,,,,,,,,,,3.0,,11.0,,,,,,,,,,,,,,1.0,,6.0,,,,
phillip-walker,Phillip Walker,QB,,25.0,,,,,,,1.0,,,,,41.0,2.0,239.0,,,,,,,,,,,,,,5.0,,17.0,,,,
raymond-davison,Raymond Davison,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
reshard-cliett,Reshard Cliett,LB/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
ryheem-malone,Ryheem Malone,WR,,,,,,,,,,,,,,,,,,5.0,5.0,,,1.0,,,,,,11.0,2.0,,,,,,,2.0
sam-mobley,Sam Mobley,WR,,,,,,,,,,,,,,,,,,7.0,7.0,,,2.0,,,,,,12.0,1.0,,,,,,,1.0
sammie-coates,Sammie Coates,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,2.0,,,,,,,1.0
seattle,Seattle,,,,,,,6.0,16.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sergio-castillo,Sergio CASTILLO,K,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
st-louis,St. Louis,,,,,,,3.0,23.0,6.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
total,TOTAL,WR,15.0,26.0,,1.0,1.0,1.0,,1.0,3.0,1.0,4.0,22.0,67.0,41.0,1.0,216.0,2.0,3.0,3.0,50.2,59.0,1.0,201.0,4.0,12.0,3.0,1.0,216.0,26.0,23.0,1.0,87.0,1.0,40.0,55.0,11.0
tampa-bay,Tampa Bay,,,,,,,3.0,25.0,9.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
tegray-scales,Tegray Scales,LB/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
tenny-adewusi,Tenny Adewusi,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,
tobenna-okeke,Tobenna Okeke,DE/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
tomasi-laulile,Tomasi Laulile,DT/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
tre-watson,Tre Watson,LB/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
treston-decoud,Treston Decoud,CB/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
ty-schwab,Ty Schwab,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
