player_id,player_name,positions,1pt_conversion,conversions,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
larry-rountree-iii,Larry Rountree III,RB,,,,,,,,,,,,,,0.0,4.0,2.0,0.0,28.0,
lawrence-keys-iii,Lawrence Keys III,WR,,,,,,,,,,,,,,0.0,21.0,3.0,0.0,11.0,
lorenzo-lingard,Lorenzo Lingard,RB,1.0,,,,,,,,,,,,,0.0,21.0,3.0,0.0,14.0,
madre-london,Madre London,RB,,,,,,,,,,,,,,,,,1.0,16.0,
marcus-baugh,Marcus Baugh,TE/WR,,,,,,,,,,,,,,0.0,8.0,1.0,,,
marcus-green,Marcus Green,WR,,,,,,,,,,,,,,0.0,0.0,0.0,,,
marcus-simms,Marcus Simms,WR,,,,,,,,,,,,,,0.0,29.0,1.0,,,
mason-stokke,Mason Stokke,FB/RB,,,,,,,,,,,,,,0.0,28.0,4.0,,,
matt-corral,Matt Corral,QB,,1.0,,,,,1.0,,,,2.0,195.0,,,,,0.0,52.0,
matt-seybert,Matt Seybert,TE,,,,,,,,,,,,,,0.0,6.0,1.0,,,
maulers-dst,Maulers DST,DST,,,1.0,,,1.0,,2.0,,,,,6.0,,,,,,2.0
maulers-k,Maulers K,K,,,,2.0,74.0,,,,,,,,,,,,,,
maulers-qb,Maulers QB,QB,,,,,,,0.0,,,,1.0,154.0,,,,,1.0,40.0,
nick-sciba,Nick Sciba,K,,,,,62.0,,,,,,,,,,,,,,
nolan-henderson,Nolan Henderson,QB,,,,,,,0.0,,,,0.0,35.0,,,,,0.0,6.0,
roughnecks-dst,Roughnecks DST,DST,,,,,,1.0,,1.0,,,,,23.0,,,,,,0.0
roughnecks-k,Roughnecks K,K,,,,,44.0,,,,,1.0,,,,,,,,,
roughnecks-qb,Roughnecks QB,QB,,,,,,,1.0,,,,0.0,271.0,,,,,1.0,23.0,
stallions-dst,Stallions DST,DST,,,,,,,,1.0,,,,,16.0,,,,,,1.0
stallions-k,Stallions K,K,,,,,133.0,,,,,,,,,,,,,,
stallions-qb,Stallions QB,QB,,1.0,,,,,1.0,,,,2.0,231.0,,,,,0.0,51.0,
tj-vasher,T.J. Vasher,WR,,,,,,,,,,,,,,0.0,46.0,1.0,,,
tre-walker,Tre Walker,WR,,,,,,,,,,,,,,,23.0,2.0,,,
troy-williams,Troy Williams,QB,,,,,,,0.0,,,,1.0,154.0,,,,,1.0,40.0,
warren-newman,Warren Newman,WR,,,,,,,,,,,,,,0.0,31.0,1.0,0.0,2.0,
wes-saxton,Wes Saxton,TE/WR,,,,,,,,,,,,,,,6.0,1.0,,,
zaquandre-white,ZaQuandre White,RB,,,,,,,,,,,,,,0.0,26.0,3.0,1.0,16.0,
