player_id,player_name,positions,assisted_tackles,blocks,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,qb_hits,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
devanaire-conliffe,Devanaire Conliffe,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,
gibson-ziah,Gibson Ziah,DL,,,,,,,,,,,,,,,,,,2.0,50.5,2.0,1.0,202.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
guillermo-serrano,Guillermo Serrano,QB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,0.0,12.0,1.0,,,,,,,,2.0,2.0,,,,
idrissa-nikiema,Idrissa Nikiema,K,,,,,2.0,38.0,2.0,,,,,,,,,,,9.0,48.6,7.0,1.0,486.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0
jamarii-milliken,Jamarii Milliken,DB/LB,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,7.0,0.5,10.0,,
james-summers,James Summers,QB/WR/LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,7.0,1.0,19.0,3.0,,,,,,,,1.0,1.0,,,,
jared-bronson,Jared Bronson,OL,,,,,,,,,,,,,,,,,2.0,,,,,,,19.5,20.0,0.0,39.0,,,,,,,,,,,,,1.5,2.0,2.0,0.0,3.0,,,,,,,,
jarmon-fortson,Jarmon Fortson,WR,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,
jonathan-adams,Jonathan Adams,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,19.0,1.0,46.0,3.0,,,,,,,,,,,,,
jonathan-cardoza-chicas,Jonathan Cardoza-Chicas,K,,,,,,,,,,,1.0,1.0,,,,2.0,,0.0,,,,,,,,,,34.0,16.0,,22.0,1.0,153.0,,,,,,,3.3,8.0,6.0,0.0,20.0,,,,,,,0.0,0.0
jordus-smith,Jordus Smith,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
joshua-hollins,Joshua Hollins,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,25.0,1.0,54.0,3.0,,,,,,,,,,,,,
justin-gilbert,Justin Gilbert,DB,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,21.0,11.0,,25.0,3.0,171.0,,,,,,,1.3,3.0,4.0,0.0,5.0,,,,,,,,
kameronn-joseph,Kameronn Joseph,WR,2.0,,1.0,0.0,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,6.0,,,,
khalil-steward-injured-reserve,Khalil Steward (Injured Reserve),DB,,,,,,,,,,,1.0,0.0,,,,,1.0,,,,,,,16.0,16.0,0.0,16.0,,,,,,,,12.5,14.0,0.0,25.0,2.0,3.1,10.0,15.0,3.0,46.0,,,,,,,,
marco-lee,Marco Lee,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
marcus-brooks,Marcus Brooks,QB,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,
michael-miller,Michael Miller,DB,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,,,,
riley-stapleton,Riley Stapleton,WR,4.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,,,,
roderick-ross-jr,Roderick Ross Jr.,OL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,4.0,4.0,2.0,15.0,,
sidney-jones,Sidney Jones,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,0.0,,,,
tabyus-taylor,Tabyus Taylor,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,0.0,15.0,1.0,3.7,11.0,9.0,2.0,33.0,,,1.0,1.0,,,,
tavin-fitzgerald,Tavin Fitzgerald,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,4.0,,,,
tremell-gooden,Tremell Gooden,WR,4.0,,1.0,0.0,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,1.5,12.0,,
zemar-anderson,Zemar Anderson,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,1.0,2.0,1.0,7.0,,
