player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
jaylen-perkins,Jaylen Perkins,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,
jaylin-clark-mcnatte,Jaylin Clark-Mcnatte,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
jayshawn-washington,Jayshawn Washington,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,0.0,,
jazeric-peterson,Jazeric Peterson,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,20.8,50.0,1.0,83.0,4.0,1.5,2.0,2.0,0.0,3.0,0.0,0.0,,,,
jeff-mack-ii,Jeff Mack II,RB,,,,,,,,,,,,,1.0,,,,,,,10.0,10.0,0.0,10.0,,,,,,,8.8,15.0,0.0,35.0,4.0,1.5,2.0,2.0,0.0,3.0,,,,,,
joshua-neal,Joshua Neal,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,1.0,5.0,1.0,,,,,,,,,,,
juan-moore,Juan Moore,DB,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,1.0,,9.0,0.0,9.0,12.3,26.0,4.0,135.0,11.0,,,,,,0.0,1.0,,,,
kavon-samuels,Kavon Samuels,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
king-mwikuta,King Mwikuta,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
korrell-koehlmoos,Korrell Koehlmoos,WR,,,,,,,,,,,,,4.0,,,,,,,21.3,50.0,1.0,85.0,,,,,,,10.0,17.0,0.0,20.0,2.0,,,,,,,,,,,
landon-freeman,Landon Freeman,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,
laronji-vason-mccoy,Laronji Vason-McCoy,DB,,,,2.0,22.0,2.0,,,,,,,,13.0,44.5,0.0,3.0,445.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.0
lorenzo-brown,Lorenzo Brown,QB,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,18.0,10.0,,50.0,1.0,134.0,,,,,,-1.3,4.0,12.0,1.0,-16.0,,,,,,
maurice-jackson,Maurice Jackson,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,2.0,0.0,,
metoriah-faoliu,Metoriah Faoliu,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,,
rashad-ridley,Rashad Ridley,WR,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,1.0,0.0,,
rashaud-powell,Rashaud Powell,DL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,
rudy-ngougni,Rudy Ngougni,DL,3.0,1.0,0.0,,,,,,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,,,,
sammie-epps,Sammie Epps,WR,1.0,,,,,,,,,,,,1.0,,,,,,,12.0,12.0,0.0,12.0,,,,,,,,,,,,,,,,,1.0,2.0,,,,
steven-adair,Steven Adair,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
team,TEAM,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
tirri-jones,Tirri Jones,QB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,
trae-self,Trae Self,QB,2.0,,,,,,,,,,,,1.0,,,,,,,10.0,10.0,0.0,10.0,,,,,,,,,,,,,,,,,0.0,2.0,,,,
trey-dudley-giles,Trey Dudley-Giles,DB,,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,1.0,,39.0,1.0,39.0,27.0,39.0,1.0,54.0,2.0,,,,,,,,,,,
tyalen-shaw,Tyalen Shaw,QB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,3.0,,,,
vincent-standridge,Vincent Standridge,,,,,3.0,37.0,1.0,,,,,,,,4.0,45.2,0.0,2.0,271.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
