player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pr,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
jamie-harry,Jamie Harry,DB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jevon-cottoy,Jevon COTTOY,WR,,,,,,,,,,,,,,,,11.0,1.0,1.0,,9.0,11.0,,,,,,,,,,,,,,,,,,,,,
jordan-hoover,Jordan Hoover,S/DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jordan-williams,Jordan Williams,DL/OT/DE/LB/WR/MLB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-banks,Josh Banks,DL/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-woods,Josh Woods,LB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keishawn-bierria,Keishawn Bierria,LB,1.0,1.0,,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kevin-thurmon,Kevin Thurmon,DB,,,2.0,5.0,5.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kwaku-boateng,Kwaku Boateng,DB/DE,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lucky-whitehead,Lucky Whitehead,WR,,,,1.0,1.0,,,,,,,,,,,39.0,6.0,8.0,,47.0,92.0,,1.0,,,1.0,79.0,,,,,,1.0,6.0,,1.0,,,,,,
marcus-sayles,Marcus Sayles,DB,1.0,22.0,,1.0,1.0,22.0,,,,,,,,,,,,,,,,3.0,1.0,,,,3.0,,,,,,,,,,,,,,,
nafees-lyon,Nafees Lyon,DB,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nathan-rourke,Nathan ROURKE,QB,,,,,,,,34.0,23.0,2.0,48.0,5.0,1.0,1.0,359.0,,,,,,,,,,,,,7.0,12.0,3.0,34.0,,,18.0,3.0,3.0,,,,,,
nick-vogel,Nick Vogel,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,3.0,3.0,44.0,13.0,5.0,4.0
nyles-morgan,Nyles Morgan,DB/LB,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obum-gwacham,Obum Gwacham,DB/DE,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quadree-henderson,Quadree Henderson,WR,,,,,,,,,,,,,,,,,,,,,,23.0,1.0,,,,23.0,,,,,,,,,,,,,,,
sean-whyte,Sean WHYTE,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,1.0,1.0,12.0,4.0,1.0,1.0
shai-ross,Shai Ross,WR,,,,,,,,,,,,,,,,6.0,1.0,1.0,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,
shaquille-johnson,Shaquille Johnson,WR,,,,,,,,,,,,,,,,17.0,1.0,1.0,,,17.0,,,,,,,,,,,,,,,,,,,,,
stefan-flintoft,Stefan Flintoft,P/K,,,,,,,,,,,,,,,,,,,,,,66.0,6.0,6.0,144.0,,359.0,,,,,,,,,,,,,,,
tj-lee,T.J. Lee,DB,2.0,14.0,,2.0,2.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taylor-cornelius,Taylor Cornelius,QB,,,,,,,,11.0,4.0,3.0,12.0,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tevaun-smith,Tevaun Smith,WR,,,,,,,,,,,,,,,,34.0,3.0,5.0,,6.0,46.0,,,,,,,,,,,,,,,,,,,,,
tim-bonner,Tim Bonner,DL/DB/DE,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trumaine-washington,Trumaine Washington,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
walter-fletcher,Walter FLETCHER,RB,,,,,,,,,,,,,,,,12.0,5.0,8.0,,21.0,31.0,,,,,,,8.0,14.0,,41.0,,,,,,,,,,,
