player_id,player_name,positions,assist_tackles,completions,fg_20_29,fg_30_39,fg_40_49,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,sacks,solo_tackles,tackles,targets
demornay-pierson-el,De'Mornay Pierson-El,,,,,,,,,,,,,,,,,,,,9.0,11.0,,,2.0,,,,,1.0,71.0,5.0,,,,,,,4.0
dewayne-hendrix,Dewayne Hendrix,DL/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
dexter-mccoil,Dexter McCoil,DB/LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,7.0,
dontez-byrd,Dontez Byrd,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,
ernesto-lacayo,Ernesto Lacayo,K,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evan-rodriguez,Evan Rodriguez,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,1.0,,,,,1.0,1.0,1.0
gimel-president,Gimel President,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
godwin-igwebuike,Godwin Igwebuike,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,
houston,Houston,,,,,,,,6.0,27.0,9.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
jaquan-gardner,Ja'Quan Gardner,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,15.0,,,,
jacquies-smith,Jacquies Smith,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,
jake-payne,Jake Payne,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
jeremy-clark,Jeremy Clark,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
john-santiago,John Santiago,RB/WR,1.0,,,,,,,,,,,5.0,23.0,87.0,,,,,,,,,,,,,,,7.0,1.0,,,,,2.0,3.0,
jordan-martin,Jordan Martin,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,
jordan-taamu,Jordan Ta\'amu,QB,,20.0,,,,,,,,,,,,,27.0,1.0,264.0,,,,,,,,,,,,,,16.0,,63.0,,,,
jordan-thompson,Jordan Thompson,DE/DT/DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,
keenan-reynolds,Keenan Reynolds,WR,,1.0,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,4.0,1.0,,,,,,,
keith-ford,Keith Ford,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,3.0,1.0,23.0,,1.0,2.0,
keith-mumphery,Keith Mumphery,WR,,,,,,,,,,,,4.0,26.0,80.0,,,,1.0,,,,,,,,,,,51.0,2.0,,,,,,,1.0
kenneth-farrow,Kenneth Farrow,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,2.0,5.0,1.0,26.0,,1.0,1.0,1.0
kenny-robinson,Kenny Robinson,SAF/DB/S,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,
kyle-queiro,Kyle Queiro,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,
ldamian-washington,L\'Damian Washington,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,4.0,,,,,,,2.0
los-angeles,Los Angeles,,,,,,,,,14.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
marcell-frazier,Marcell Frazier,DE/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
marcus-lucas,Marcus Lucas,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,3.0,,,,,,,2.0
mark-myers,Mark Myers,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,
marquette-king,Marquette King,P,,,,,,,,,,,,,,,,,,,,,42.0,43.0,,126.0,3.0,-5.0,2.0,,,,,,,,,,
marquez-white,Marquez White,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
matt-jones,Matt Jones,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,20.0,,,,
mohammed-seisay,Mohammed Seisay,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
new-york,New York,,,,,,,,3.0,17.0,11.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
nick-temple,Nick Temple,DB/LB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,
nyles-morgan,Nyles Morgan,DB/LB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,
pasoni-tasini,Pasoni Tasini,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,
praise-martin-oguike,Praise Martin-Oguike,DL/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
robert-nelson,Robert Nelson,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,
ryan-white,Ryan White,CB/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
santos-ramirez,Santos Ramirez,DB/SAF,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,2.0,
seattle,Seattle,,,,,,,,6.0,16.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shaq-jones,Shaq Jones,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
st-louis,St. Louis,,,,,,,,3.0,23.0,6.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
stansly-maponga,Stansly Maponga,DL/DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,
steven-johnson,Steven Johnson,DB,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,
total,TOTAL,WR,12.0,20.0,1.0,1.0,1.0,3.0,18.0,,18.0,,1.0,4.0,26.0,80.0,27.0,1.0,264.0,1.0,9.0,11.0,42.0,43.0,2.0,126.0,3.0,-5.0,2.0,1.0,264.0,20.0,46.0,1.0,133.0,,28.0,40.0,12.0
tampa-bay,Tampa Bay,,,,,,,,3.0,25.0,9.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
taylor-russolino,Taylor Russolino,K,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terence-garvin,Terence Garvin,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
trey-williams,Trey Williams,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
tyson-graham,Tyson Graham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
will-clarke,Will Clarke,DB/DT/DL/OLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
will-hill,Will Hill,DB,1.0,,,,,,18.0,,18.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
will-sutton,Will Sutton,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,
