game_id,date,season,week,league,away,home,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_CFL_2024_W18_WPG,,2024,18,CFL,,,,,,,0.0,47.0,5.0,,
SYNTHETIC_CFL_2024_W19_WPG,,2024,19,CFL,,,,,,,0.0,29.0,3.0,0.0,2.0
SYNTHETIC_CFL_2024_W21_WPG,,2024,21,CFL,,,,,,,1.0,90.0,4.0,,
SYNTHETIC_CFL_2025_W2_WPG,,2025,2,CFL,,,,,,,2.0,53.0,4.0,0.0,-2.0
SYNTHETIC_CFL_2025_W3_WPG,,2025,3,CFL,,,,,,,0.0,1.0,1.0,,
SYNTHETIC_CFL_2025_W4_WPG,,2025,4,CFL,,,,,,,2.0,97.0,5.0,0.0,-6.0
SYNTHETIC_CFL_2025_W5_WPG,,2025,5,CFL,,,,,,,0.0,74.0,9.0,,
SYNTHETIC_CFL_2025_W7_WPG,,2025,7,CFL,,,,,,,1.0,146.0,7.0,0.0,27.0
SYNTHETIC_CFL_2025_W8_WPG,,2025,8,CFL,,,,,,,0.0,46.0,1.0,,
SYNTHETIC_CFL_2025_W9_WPG,,2025,9,CFL,,,,,,,0.0,67.0,5.0,0.0,30.0
SYNTHETIC_CFL_2025_W10_WPG,,2025,10,CFL,,,,,,,0.0,28.0,3.0,0.0,4.0
SYNTHETIC_CFL_2025_W11_WPG,,2025,11,CFL,,,,,,,0.0,128.0,6.0,,
SYNTHETIC_CFL_2025_W12_WPG,,2025,12,CFL,,,,,,,1.0,25.0,4.0,0.0,4.0
SYNTHETIC_CFL_2025_W13_WPG,,2025,13,CFL,,,,,,,1.0,89.0,7.0,,
SYNTHETIC_CFL_2025_W14_WPG,,2025,14,CFL,,,,,,,0.0,80.0,4.0,0.0,10.0
SYNTHETIC_CFL_2025_W15_WPG,,2025,15,CFL,,,,,,,0.0,48.0,3.0,,
SYNTHETIC_CFL_2025_W17_WPG,,2025,17,CFL,,,,,,,0.0,114.0,7.0,,
SYNTHETIC_CFL_2025_W19_WPG,,2025,19,CFL,,,,,,,0.0,5.0,1.0,,
