game_id,date,season,week,league,away,home,1pt_conversion,conversions,field_goal_yards,interceptions_lost,lost_fumbles,missed,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_UFL_2024_W11_BATTLEHAWKS,,2024,11,UFL,,,,,46.0,0.0,,1.0,1.0,179.0,0.0,5.0
SYNTHETIC_UFL_2025_W1_BATTLEHAWKS,,2025,1,UFL,,,1.0,,81.0,0.0,,,0.0,189.0,2.0,55.0
SYNTHETIC_UFL_2025_W2_BATTLEHAWKS,,2025,2,UFL,,,,,67.0,0.0,,,0.0,162.0,0.0,69.0
SYNTHETIC_UFL_2025_W3_BATTLEHAWKS,,2025,3,UFL,,,,,143.0,3.0,1.0,,1.0,147.0,0.0,39.0
SYNTHETIC_UFL_2025_W4_BATTLEHAWKS,,2025,4,UFL,,,,,139.0,2.0,1.0,,0.0,78.0,0.0,38.0
SYNTHETIC_UFL_2025_W5_BATTLEHAWKS,,2025,5,UFL,,,,1.0,72.0,0.0,,,1.0,124.0,2.0,70.0
SYNTHETIC_UFL_2025_W6_BATTLEHAWKS,,2025,6,UFL,,,,,102.0,0.0,1.0,,1.0,93.0,0.0,49.0
SYNTHETIC_UFL_2025_W7_BATTLEHAWKS,,2025,7,UFL,,,,,97.0,1.0,,,1.0,158.0,1.0,57.0
SYNTHETIC_UFL_2025_W8_BATTLEHAWKS,,2025,8,UFL,,,1.0,,49.0,1.0,,1.0,0.0,110.0,2.0,54.0
SYNTHETIC_UFL_2025_W9_BATTLEHAWKS,,2025,9,UFL,,,,1.0,44.0,0.0,,,2.0,233.0,0.0,2.0
SYNTHETIC_UFL_2025_W10_BATTLEHAWKS,,2025,10,UFL,,,,,66.0,0.0,,,0.0,105.0,0.0,-2.0
