game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,points_against,sacks
SYNTHETIC_CFL_2023_W14_HAM,,2023,14,CFL,,,,,24.0,1.0
SYNTHETIC_CFL_2023_W15_HAM,,2023,15,CFL,,,,,23.0,2.0
SYNTHETIC_CFL_2023_W16_HAM,,2023,16,CFL,,,,,29.0,0.0
SYNTHETIC_CFL_2023_W17_HAM,,2023,17,CFL,,,,,15.0,2.0
SYNTHETIC_CFL_2023_W18_HAM,,2023,18,CFL,,,,,13.0,3.0
SYNTHETIC_CFL_2023_W19_HAM,,2023,19,CFL,,,,,33.0,3.0
SYNTHETIC_CFL_2023_W21_HAM,,2023,21,CFL,,,,,22.0,3.0
SYNTHETIC_CFL_2024_W1_HAM,,2024,1,CFL,,,,2.0,38.0,2.0
SYNTHETIC_CFL_2024_W2_HAM,,2024,2,CFL,,,,1.0,28.0,1.0
SYNTHETIC_CFL_2024_W3_HAM,,2024,3,CFL,,,,1.0,36.0,2.0
SYNTHETIC_CFL_2024_W4_HAM,,2024,4,CFL,,,,2.0,17.0,2.0
SYNTHETIC_CFL_2024_W5_HAM,,2024,5,CFL,,,,1.0,38.0,1.0
SYNTHETIC_CFL_2024_W6_HAM,,2024,6,CFL,,,,2.0,20.0,2.0
SYNTHETIC_CFL_2024_W7_HAM,,2024,7,CFL,,,,3.0,15.0,1.0
SYNTHETIC_CFL_2024_W8_HAM,,2024,8,CFL,,,,0.0,33.0,1.0
SYNTHETIC_CFL_2024_W9_HAM,,2024,9,CFL,,,,1.0,24.0,1.0
SYNTHETIC_CFL_2024_W10_HAM,,2024,10,CFL,,,,1.0,41.0,2.0
SYNTHETIC_CFL_2024_W11_HAM,,2024,11,CFL,,,,1.0,29.0,1.0
SYNTHETIC_CFL_2024_W12_HAM,,2024,12,CFL,,,,3.0,26.0,3.0
SYNTHETIC_CFL_2024_W13_HAM,,2024,13,CFL,,,,0.0,35.0,4.0
SYNTHETIC_CFL_2024_W14_HAM,,2024,14,CFL,,,,1.0,9.0,2.0
SYNTHETIC_CFL_2024_W15_HAM,,2024,15,CFL,,,,2.0,21.0,2.0
SYNTHETIC_CFL_2024_W16_HAM,,2024,16,CFL,,,,1.0,31.0,1.0
SYNTHETIC_CFL_2024_W17_HAM,,2024,17,CFL,,,,0.0,40.0,0.0
SYNTHETIC_CFL_2024_W18_HAM,,2024,18,CFL,,,,4.0,29.0,9.0
SYNTHETIC_CFL_2024_W19_HAM,,2024,19,CFL,,,,0.0,37.0,1.0
SYNTHETIC_CFL_2024_W20_HAM,,2024,20,CFL,,,,1.0,20.0,0.0
SYNTHETIC_CFL_2024_W21_HAM,,2024,21,CFL,,,,6.0,15.0,4.0
SYNTHETIC_CFL_2025_W1_HAM,,2025,1,CFL,,,,2.0,38.0,2.0
SYNTHETIC_CFL_2025_W2_HAM,,2025,2,CFL,,,1.0,,28.0,1.0
SYNTHETIC_CFL_2025_W4_HAM,,2025,4,CFL,,,,2.0,17.0,2.0
SYNTHETIC_CFL_2025_W5_HAM,,2025,5,CFL,,,,1.0,38.0,1.0
SYNTHETIC_CFL_2025_W6_HAM,,2025,6,CFL,,,,2.0,20.0,2.0
SYNTHETIC_CFL_2025_W7_HAM,,2025,7,CFL,,,,3.0,15.0,1.0
SYNTHETIC_CFL_2025_W8_HAM,,2025,8,CFL,,,,,33.0,1.0
SYNTHETIC_CFL_2025_W9_HAM,,2025,9,CFL,,,,1.0,24.0,1.0
SYNTHETIC_CFL_2025_W10_HAM,,2025,10,CFL,,,,1.0,41.0,2.0
SYNTHETIC_CFL_2025_W11_HAM,,2025,11,CFL,,,,1.0,29.0,1.0
SYNTHETIC_CFL_2025_W13_HAM,,2025,13,CFL,,,,,35.0,4.0
SYNTHETIC_CFL_2025_W14_HAM,,2025,14,CFL,,,,1.0,9.0,2.0
SYNTHETIC_CFL_2025_W15_HAM,,2025,15,CFL,,,,2.0,21.0,2.0
SYNTHETIC_CFL_2025_W16_HAM,,2025,16,CFL,,,,,27.0,3.0
SYNTHETIC_CFL_2025_W17_HAM,,2025,17,CFL,,,,,40.0,
SYNTHETIC_CFL_2025_W18_HAM,,2025,18,CFL,,,,4.0,29.0,9.0
SYNTHETIC_CFL_2025_W19_HAM,,2025,19,CFL,,,,,37.0,1.0
SYNTHETIC_CFL_2025_W21_HAM,,2025,21,CFL,,,,6.0,15.0,4.0
