player_id,player_name,positions,assists,blocks,d_points,goals,o_points,plus_minus,touches,turnovers
julia-harris,Julia Harris,,2.0,5.0,32.0,,10.0,4.0,22.0,3.0
julia-schmaltz,Julia Schmaltz,,2.0,3.0,25.0,3.0,39.0,6.0,34.0,2.0
julian-hill,Julian Hill,TE,1.0,2.0,23.0,5.0,6.0,6.0,11.0,2.0
kali-wicklund,Kali Wicklund,,,1.0,26.0,1.0,,-4.0,19.0,6.0
kas-gonzalez,Kas Gonzalez,,3.0,3.0,22.0,3.0,8.0,7.0,36.0,2.0
kat-ritzmann,Kat Ritzmann,,9.0,8.0,30.0,1.0,29.0,,74.0,18.0
kate-blankenship,Kate Blankenship,,,2.0,10.0,1.0,4.0,-1.0,11.0,4.0
kate-weidmann,Kate Weidmann,,9.0,4.0,28.0,11.0,44.0,21.0,127.0,3.0
kath-ratcliff,Kath Ratcliff,,,,22.0,,3.0,-2.0,17.0,2.0
katie-cox,Katie Cox,,2.0,5.0,6.0,1.0,61.0,-14.0,183.0,22.0
katrina-kat-mcguire,"Katrina ""Kat"" McGuire",,1.0,3.0,22.0,2.0,7.0,,33.0,6.0
kay-chang,Kay Chang,,7.0,2.0,29.0,17.0,63.0,18.0,118.0,8.0
kenzie-carpenter,Kenzie Carpenter,,2.0,,2.0,1.0,26.0,-11.0,89.0,14.0
kinsey-neas,Kinsey Neas,,,1.0,2.0,1.0,13.0,2.0,18.0,
kira-flores,Kira Flores,,1.0,4.0,31.0,6.0,9.0,9.0,20.0,2.0
krista-holden,Krista Holden,,2.0,1.0,22.0,2.0,8.0,1.0,19.0,4.0
kristin-bolte-baxter,Kristin Bolte Baxter,,22.0,2.0,29.0,5.0,44.0,22.0,187.0,7.0
kristin-dudley,Kristin Dudley,,,1.0,10.0,,2.0,1.0,3.0,
laura-gerencser,Laura Gerencser,,,,1.0,,5.0,-1.0,10.0,1.0
laureen-johnson,Laureen Johnson,,,3.0,22.0,4.0,11.0,6.0,18.0,1.0
lauren-kitten,Lauren Kitten,,16.0,10.0,21.0,5.0,64.0,17.0,201.0,14.0
lexy-roy,Lexy Roy,,,1.0,12.0,,12.0,-1.0,8.0,2.0
lilet-brooks,Lilet Brooks,,,,10.0,,1.0,-2.0,4.0,2.0
liliana-lili-hobday,"Liliana ""Lili"" Hobday",,1.0,1.0,30.0,4.0,15.0,5.0,19.0,1.0
lilli-popovich,Lilli Popovich,,3.0,6.0,4.0,6.0,46.0,3.0,49.0,12.0
lily-johnson,Lily Johnson,,4.0,4.0,51.0,3.0,3.0,7.0,52.0,4.0
lily-ponitz,Lily Ponitz,,3.0,4.0,22.0,2.0,20.0,7.0,18.0,2.0
linnea-fraser,Linnea Fraser,,4.0,4.0,58.0,4.0,23.0,-10.0,102.0,22.0
lisi-lohre,Lisi Lohre,,4.0,4.0,28.0,,9.0,6.0,68.0,2.0
liv-monroe,Liv Monroe,,4.0,1.0,61.0,7.0,19.0,9.0,41.0,3.0
lizzie-tilden,Lizzie Tilden,,9.0,4.0,40.0,1.0,19.0,-11.0,93.0,25.0
louise-beck,Louise Beck,,,,33.0,1.0,1.0,-5.0,29.0,6.0
lulu-nicks,Lulu Nicks,,5.0,10.0,45.0,3.0,16.0,10.0,94.0,8.0
lylah-bannister,Lylah Bannister,,2.0,3.0,8.0,6.0,62.0,-2.0,68.0,13.0
mackenzie-bailey,Mackenzie Bailey,,1.0,2.0,18.0,7.0,22.0,8.0,36.0,2.0
maddy-easton,Maddy Easton,,3.0,6.0,30.0,10.0,53.0,11.0,57.0,8.0
madelyn-lander,Madelyn Lander,,,2.0,5.0,1.0,39.0,-8.0,82.0,11.0
madison-madi-cannon,"Madison ""Madi"" Cannon",,,2.0,19.0,1.0,7.0,,16.0,3.0
madison-cannon,Madison Cannon,,,3.0,29.0,1.0,5.0,2.0,8.0,2.0
madison-lang,Madison Lang,,4.0,1.0,8.0,4.0,25.0,6.0,42.0,3.0
maggie-oconnor,Maggie O'Connor,,1.0,2.0,45.0,1.0,17.0,-1.0,56.0,5.0
maggie-peck,Maggie Peck,,,2.0,26.0,2.0,21.0,-5.0,56.0,9.0
maggie-rowell,Maggie Rowell,,9.0,4.0,7.0,3.0,52.0,-3.0,177.0,19.0
maketa-mattimore,Maketa Mattimore,,3.0,4.0,34.0,11.0,43.0,10.0,50.0,8.0
manhua-zhu,ManHua Zhu,,4.0,1.0,9.0,2.0,65.0,-6.0,151.0,13.0
mandy-radike,Mandy Radike,,11.0,3.0,23.0,12.0,64.0,19.0,79.0,7.0
margo-stanger,Margo Stanger,,3.0,2.0,28.0,,16.0,1.0,76.0,4.0
marika-koppinen,Marika Koppinen,,2.0,3.0,14.0,3.0,54.0,5.0,32.0,3.0
marie-weverka,Marié Weverka,,3.0,3.0,41.0,7.0,13.0,5.0,42.0,8.0
mary-clare-robbins,Mary Clare Robbins,,,,7.0,2.0,2.0,-1.0,6.0,3.0
mary-timmons,Mary Timmons,,2.0,1.0,29.0,2.0,9.0,-2.0,45.0,7.0
mary-turner,Mary Turner,,,1.0,15.0,2.0,2.0,3.0,4.0,
meaghan-creamer,Meaghan Creamer,,,,11.0,,10.0,-1.0,7.0,1.0
megan-mendieta,Megan Mendieta,,,,5.0,1.0,,,3.0,1.0
megan-randall,Megan Randall,,5.0,,38.0,,9.0,-2.0,66.0,7.0
meghan-bartlett,Meghan Bartlett,,,3.0,22.0,9.0,40.0,9.0,73.0,3.0
melanie-thomas,Melanie Thomas,,,2.0,17.0,1.0,2.0,2.0,6.0,1.0
melissa-gronske,Melissa Gronske,,1.0,,1.0,1.0,13.0,-5.0,13.0,7.0
metta-devine-qin,Metta Devine-Qin,,,2.0,35.0,1.0,3.0,2.0,13.0,1.0
mia-griner,Mia Griner,,,3.0,29.0,,,,5.0,3.0
mickela-heilicher,Mickela Heilicher,,4.0,6.0,31.0,11.0,39.0,15.0,105.0,6.0
morgan-johnson,Morgan Johnson,,3.0,1.0,15.0,,22.0,-4.0,60.0,8.0
nada-tramonte,Nada Tramonte,,,1.0,6.0,2.0,,3.0,5.0,
nadine-meister,Nadine Meister,,,2.0,20.0,2.0,6.0,4.0,10.0,
naomi-anderson,Naomi Anderson,,2.0,4.0,24.0,5.0,34.0,5.0,67.0,6.0
natalie-barnhart,Natalie Barnhart,,5.0,2.0,30.0,1.0,26.0,-8.0,100.0,16.0
natasha-tash-bedoya-ross,"Natasha ""Tash"" Bedoya-Ross",,5.0,6.0,25.0,2.0,18.0,6.0,100.0,7.0
olympia-walker,Olympia Walker,,,1.0,21.0,3.0,14.0,-4.0,51.0,8.0
paige-carver,Paige Carver,,,7.0,21.0,5.0,25.0,6.0,32.0,6.0
quincy-booth,Quincy Booth,,3.0,2.0,15.0,4.0,46.0,,41.0,9.0
rachael-kern,Rachael Kern,,2.0,2.0,26.0,,18.0,-3.0,77.0,7.0
rachel-barr,Rachel Barr,,,,22.0,2.0,6.0,2.0,9.0,
rachel-graber,Rachel Graber,,5.0,2.0,24.0,,5.0,-3.0,41.0,10.0
rachel-hildebrand,Rachel Hildebrand,,14.0,4.0,29.0,8.0,50.0,8.0,182.0,18.0
rachel-johnson,Rachel Johnson,,1.0,2.0,1.0,1.0,36.0,2.0,21.0,2.0
rachel-kramer,Rachel Kramer,,1.0,2.0,34.0,1.0,3.0,,34.0,4.0
rachel-mast,Rachel Mast,,,,5.0,,4.0,-1.0,6.0,1.0
rachel-yeager,Rachel Yeager,,1.0,1.0,24.0,2.0,4.0,3.0,5.0,1.0
rebecca-driver,Rebecca Driver,,,1.0,13.0,,5.0,,12.0,1.0
regina-barcio,Regina Barcio,,8.0,4.0,27.0,17.0,70.0,22.0,122.0,7.0
risa-umeno,Risa Umeno,,3.0,5.0,27.0,1.0,34.0,-1.0,41.0,10.0
sadie-reding,Sadie Reding,,1.0,9.0,66.0,1.0,4.0,7.0,36.0,4.0
samantha-sam-li,"Samantha ""Sam"" Li",,2.0,2.0,27.0,,16.0,1.0,18.0,3.0
samantha-philips,Samantha Philips,,2.0,,43.0,2.0,1.0,-1.0,59.0,5.0
sami-smalling,Sami Smalling,,,1.0,2.0,1.0,30.0,,28.0,2.0
sara-mog,Sara Mog,,2.0,2.0,26.0,1.0,5.0,2.0,28.0,3.0
sarah-downing,Sarah Downing,,8.0,6.0,5.0,,48.0,-4.0,145.0,18.0
sarah-kingsley,Sarah Kingsley,,8.0,8.0,30.0,12.0,47.0,16.0,174.0,12.0
sarah-kingsley-hart,Sarah Kingsley-Hart,,2.0,2.0,23.0,,2.0,3.0,4.0,1.0
sarah-mondschein,Sarah Mondschein,,6.0,5.0,18.0,2.0,57.0,-9.0,199.0,22.0
savannah-sillivant,Savannah Sillivant,,1.0,1.0,22.0,,6.0,-4.0,24.0,6.0
sharon-tseng,Sharon Tseng,,2.0,2.0,17.0,1.0,34.0,4.0,31.0,1.0
shirley-saunders,Shirley Saunders,,4.0,2.0,6.0,5.0,30.0,8.0,34.0,3.0
shiru-liu,Shiru Liu,,4.0,2.0,47.0,1.0,18.0,-13.0,78.0,20.0
sierra-jensen,Sierra Jensen,,3.0,3.0,2.0,3.0,35.0,,50.0,9.0
sierra-rimmer,Sierra Rimmer,,6.0,2.0,11.0,1.0,36.0,4.0,37.0,5.0
soju-hokari,Soju Hokari,,3.0,2.0,12.0,,9.0,1.0,16.0,4.0
sophie-havranek,Sophie Havranek,,,1.0,6.0,,1.0,,6.0,1.0
stef-bugasch,Stef Bugasch,,7.0,2.0,37.0,1.0,14.0,-9.0,104.0,19.0
steph-wood,Steph Wood,,11.0,6.0,27.0,2.0,39.0,13.0,130.0,6.0
stephanie-steph-rupp,"Stephanie ""Steph"" Rupp",,,1.0,8.0,1.0,8.0,-1.0,12.0,3.0
susan-matthews,Susan Matthews,,,2.0,10.0,1.0,16.0,-4.0,48.0,7.0
sydney-loughran,Sydney Loughran,,1.0,3.0,33.0,1.0,17.0,-9.0,71.0,14.0
sydney-olund,Sydney Olund,,6.0,3.0,7.0,6.0,48.0,4.0,44.0,11.0
sydney-overman,Sydney Overman,,3.0,2.0,7.0,2.0,37.0,2.0,45.0,5.0
sydney-rehder,Sydney Rehder,,2.0,1.0,38.0,6.0,12.0,5.0,35.0,4.0
sydney-stelzer,Sydney Stelzer,,6.0,3.0,22.0,5.0,38.0,-6.0,162.0,20.0
tayara-romero,Tayara Romero,,5.0,9.0,55.0,1.0,19.0,9.0,58.0,6.0
tayara-romero-pena,Tayara Romero Peña,,5.0,4.0,17.0,6.0,50.0,13.0,44.0,2.0
tiffany-schumacher,Tiffany Schumacher,,,,12.0,,4.0,-1.0,12.0,1.0
tori-radcliffe,Tori Radcliffe,,3.0,1.0,31.0,,29.0,-13.0,132.0,17.0
tori-taylor,Tori Taylor,,2.0,3.0,42.0,5.0,16.0,5.0,43.0,5.0
tyler-smith,Tyler Smith,OT,2.0,,13.0,2.0,18.0,,24.0,4.0
violet-wei,Violet Wei,,5.0,1.0,6.0,2.0,59.0,-13.0,102.0,21.0
willy-natalie-wilson,Willy (Natalie Wilson),,4.0,1.0,3.0,5.0,29.0,3.0,33.0,7.0
wren-vogel,Wren Vogel,,17.0,2.0,30.0,7.0,81.0,-9.0,260.0,35.0
ximena-montana,Ximena Montaña,,11.0,2.0,33.0,4.0,51.0,3.0,220.0,14.0
