player_id,player_name,positions,def_ast,def_int,def_lg,def_pd,def_qbh,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,field_goal_yards,interceptions_lost,interceptions_made,made_19,misc_fum,misc_td,missed,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,recv_fd,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_fc,ret_lg,ret_net,ret_num,ret_ret,ret_ryds,ret_tb,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_conv,score_fr,score_ir,score_kr,score_p,score_pr,score_pts,score_r,score_saf,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
anthony-johnson,Anthony Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0,17.0,25.0,1.0,54.0,283.0,,,,,,,,,,,,,,,,,2.0,,,,1.0,,10.0,,,1.0,,,,,,
anthony-lanier,Anthony Lanier,DB,,,,,,8.0,19.0,,19.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antoine-pruneau,Antoine Pruneau,DB,,,,,,,18.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,23.0,1.0,1.0,,6.0,23.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,
antonio-pipkin,Antonio Pipkin,QB,,,,,,,,,,,,,1.0,,,,,,53.0,30.0,1.0,127.0,27.0,5.0,3.0,438.0,1.0,281.0,,,,,,,,,,,,,,,,,,,,,51.0,84.0,8.0,153.0,7.0,111.0,,2.0,,,,,,52.0,8.0,,8.0,,,,,,
antonio-simmons,Antonio Simmons,DB/DE,,,,,,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austin-simmons,Austin Simmons,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,
avery-ellis,Avery Ellis,DB/DE/DL,,,,,,5.0,33.0,,33.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avery-williams,Avery Williams,LB,,1.0,10.0,,,2.0,91.0,,91.0,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc-dst,BC DST,DST,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,426.0,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,
bc-qb,BC QB,QB,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bailey-devine-scott,Bailey Devine-Scott,DB,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bailey-feltmate,Bailey Feltmate,LB,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ben-davis,Ben Davis,DB/DL/LB,,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ben-hladik,Ben Hladik,LB,,2.0,32.0,,,2.0,68.0,,68.0,32.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benoit-marion,Benoit Marion,DB/DL,,,,,,,5.0,,5.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,6.0,,,1.0,,,,,,
blace-brown,Blace Brown,DB,,1.0,,,,,15.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blake-hayes,Blake Hayes,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,,12.0,12.0,133.0,,,563.0,,,,,,,,,,,,,,,,,,,,,,,
bo-levi-mitchell,Bo Levi Mitchell,QB,,,,,,,,,,,,,5.0,,,,,,272.0,168.0,6.0,316.0,66.0,9.0,9.0,2157.0,7.0,1697.0,,,,,,,,,,,,,,,,,,,,,7.0,22.0,,26.0,0.0,26.0,,,,,,,,,,,,,,,,,
boris-bede,Boris Bede,K,,,,,,,,,,,,948.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,1570.0,,70.0,64.0,1356.0,,,4796.0,,,,,,,,,,,,,,194.0,,,,63.0,48.0,710.0,184.0,43.0,40.0
boseko-lokombo,Boseko Lokombo,LB,,,,,,2.0,44.0,,44.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brad-muhammad,Brad Muhammad,DB,,2.0,20.0,,,,50.0,,50.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brady-oliveira,Brady OLIVEIRA,RB,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,0.0,160.0,16.0,,182.0,28.0,39.0,1.0,183.0,293.0,,,,,,,,,,237.0,249.0,4.0,1213.0,4.0,953.0,,,,,,1.0,,30.0,4.0,,5.0,,,,,,
brady-sheldon,Brady Sheldon,LB,,1.0,10.0,,,,11.0,,11.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bralon-addison,Bralon ADDISON,WR,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,0.0,337.0,35.0,,136.0,43.0,54.0,,185.0,433.0,,29.0,,3.0,,,,,32.0,12.0,51.0,,67.0,0.0,56.0,,,,,,,,,,,,,,,,,
branden-dozier,Branden Dozier,DB,,1.0,21.0,,,,25.0,,25.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandin-dandridge,Brandin Dandridge,DB,,,,1.0,,,14.0,,14.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,6.0,,,1.0,,,,,,
brandon-alexander,Brandon Alexander,DB,,,,,,,15.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,1.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
brandon-banks,Brandon Banks,WR,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,261.0,42.0,85.0,4.0,129.0,578.0,,140.0,,27.0,,,,,210.0,5.0,30.0,1.0,34.0,,,,1.0,,,,4.0,,32.0,1.0,,5.0,,,,,,
brandon-barlow,Brandon Barlow,DB/DL,,,,,,1.0,20.0,,20.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-barnes,Brandon Barnes,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,214.0,22.0,,,,,,,,,,,,,,,,,,,,,0.0,7.0,,,,,,,,,,,,,,,,,
brandon-revenberg,Brandon Revenberg,OL,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brayden-lenius,Brayden Lenius,WR,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,166.0,16.0,,91.0,17.0,21.0,1.0,50.0,172.0,,4.0,,1.0,,,,,4.0,,,,,,,,,,,,1.0,,6.0,,,1.0,,,,,,
brendan-gillanders,Brendan Gillanders,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,1.0,,6.0,1.0,1.0,,1.0,6.0,,,,,,,,,,5.0,10.0,,20.0,,,,,,,,,,,,,,,,,,,
brendan-oleary-orange,Brendan O\'LEARY-ORANGE,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,161.0,15.0,,124.0,19.0,27.0,1.0,86.0,233.0,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,,1.0,,,,,,
brett-lauther,Brett LAUTHER,K,,,,,,,,,,,,1108.0,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,836.0,,33.0,31.0,783.0,,2.0,2064.0,,,,,,,,,,,,,,152.0,,,,50.0,41.0,661.0,148.0,27.0,25.0
brian-harelimana,Brian Harelimana,LB,,,,,,3.0,12.0,,12.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brock-gowanlock,Brock Gowanlock,DB/DE/DL,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bruce-anderson,Bruce Anderson,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,60.0,8.0,,21.0,8.0,11.0,,51.0,60.0,,25.0,,2.0,,,,,25.0,19.0,20.0,,67.0,0.0,67.0,,,,,,,,,,,,,,,,,
bruno-labelle,Bruno LABELLE,FB/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,18.0,1.0,,18.0,1.0,1.0,,4.0,18.0,,3.0,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
bryan-burnham,Bryan Burnham,WR,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,544.0,38.0,,185.0,47.0,67.0,5.0,125.0,683.0,,,,,,,,,,,,,,,,,,,,,5.0,,30.0,,,5.0,,,,,,
bryce-carter,Bryce Carter,DB/DL,,,,,,2.0,10.0,,10.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cgy-dst,CGY DST,DST,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,314.0,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,
cgy-qb,CGY QB,QB,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,15.0,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caleb-evans,Caleb EVANS,QB,,,,,,,2.0,,2.0,,,,7.0,,,,,,186.0,115.0,7.0,343.0,116.0,15.0,4.0,1304.0,4.0,1161.0,,0.0,0.0,0.0,,,,1.0,,,,,,,,,,,,,88.0,100.0,16.0,354.0,11.0,312.0,,1.0,,,,,,98.0,16.0,,16.0,,,,,,
caleb-holden,Caleb Holden,DB,,,,,,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caleb-holley,Caleb Holley,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,50.0,6.0,,63.0,8.0,16.0,,13.0,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam-phillips,Cam Phillips,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,378.0,24.0,,267.0,42.0,67.0,3.0,231.0,611.0,,,,,,,,,,,,,,,,,,,,,3.0,,18.0,,,3.0,,,,,,
cameron-judge,Cameron Judge,LB,,2.0,17.0,,,6.0,82.0,1.0,82.0,88.0,51.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,12.0,,,2.0,,,,,,
cameron-lawson,Cameron Lawson,DB/DL/DT,,,,,,1.0,12.0,,12.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cariel-brooks,Cariel Brooks,DB,,,,,,,38.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carlton-agudosi,Carlton Agudosi,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,70.0,6.0,,21.0,6.0,8.0,2.0,6.0,70.0,,,,,,,,,,,,,,,,,,,,,2.0,,12.0,,,2.0,,,,,,
casey-sayles,Casey Sayles,DB/DT,,,,,,7.0,45.0,,45.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cedric-wilcots-ii,Cedric Wilcots II,,,,,,,1.0,4.0,,4.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chad-kelly,Chad KELLY,QB,,,,,,,1.0,,1.0,,,,1.0,,,,,,52.0,31.0,3.0,92.0,14.0,2.0,3.0,386.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,32.0,111.0,6.0,167.0,5.0,102.0,,,,,,,,36.0,6.0,,6.0,,,,,,
chandler-worthy,Chandler Worthy,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,32.0,4.0,,23.0,4.0,6.0,,28.0,32.0,,646.0,,60.0,,,,2.0,1400.0,1.0,6.0,,6.0,0.0,6.0,,,,,2.0,,,12.0,,,2.0,,,,,,
charbel-dabire,Charbel Dabire,DB/DL,,,,,,2.0,10.0,,10.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charles-nelson,Charles Nelson,WR,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,18.0,2.0,,18.0,2.0,2.0,,15.0,18.0,,132.0,,27.0,,,,,503.0,3.0,8.0,,15.0,0.0,15.0,,,,,,,,,,,,,,,,,
charleston-hughes,Charleston Hughes,DB/DL,,,,,,4.0,11.0,,11.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlie-power,Charlie Power,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,
chris-ackie,Chris Ackie,DB/LB,,1.0,,,,1.0,28.0,,28.0,,1.0,,,,,,,,,,,,,,,,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-edwards,Chris Edwards,DB/LB,,2.0,,,,2.0,40.0,2.0,40.0,129.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,12.0,,,2.0,,,,,,
chris-mulumba,Chris Mulumba,DB/DT,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-osei-kusi,Chris Osei-Kusi,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,71.0,5.0,,79.0,6.0,11.0,,27.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christian-rector,Christian Rector,DB/DL,,,,,,3.0,13.0,,13.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christian-saulsberry,Christian Saulsberry,RB/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,1.0,1.0,,17.0,17.0,,229.0,,34.0,,,,,635.0,1.0,7.0,,7.0,0.0,7.0,,,,,,,,,,,,,,,,,
christophe-normand,Christophe Normand,FB/RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,2.0,,5.0,2.0,3.0,,5.0,5.0,,,,,,,,,,1.0,21.0,,21.0,0.0,21.0,,,,,,,,,,,,,,,,,
ciante-evans,Ciante Evans,DB,,1.0,,,,,33.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cleyon-laing,Cleyon Laing,DB/DL,,,,,,4.0,27.0,,27.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cody-fajardo,Cody FAJARDO,QB,,,,,,,,,,,,,13.0,,,,,,401.0,282.0,13.0,417.0,367.0,61.0,16.0,3360.0,13.0,2792.0,,0.0,-4.0,1.0,,-4.0,1.0,1.0,,-4.0,-4.0,,,,,,,,,,81.0,143.0,8.0,357.0,8.0,309.0,,,,,,,,48.0,8.0,,8.0,,,,,,
cody-grace,Cody Grace,K/P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915.0,,86.0,67.0,602.0,,1.0,4116.0,,,,,,,,,,,,,,3.0,,,,,,,,,
cody-roscoe,Cody Roscoe,DB/DL,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cole-spieker,Cole SPIEKER,WR,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,25.0,10.0,12.0,1.0,38.0,171.0,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,,1.0,,,,,,
colin-kelly,Colin Kelly,OL,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colton-hunchak,Colton Hunchak,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,55.0,5.0,,61.0,6.0,9.0,,24.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curtis-newton,Curtis Newton,LB,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d39haquille-williams,D&#39;haquille Williams,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,480.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dhaquille-williams,D\'haquille Williams,WR,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,185.0,29.0,58.0,4.0,88.0,480.0,,,,,,,,,,,,,,,,,1.0,,,,4.0,,26.0,,,4.0,,,,,,
dashaun-amos,DaShaun Amos,DB,,4.0,39.0,,,,51.0,,51.0,39.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,645.0,42.0,,392.0,71.0,102.0,5.0,322.0,1026.0,,,,,,,,,,,,,,,,,1.0,,,,5.0,,32.0,,,5.0,,,,,,
dakota-prukop,Dakota Prukop,QB,,,,,,,,,,,,,,,,,,,17.0,8.0,1.0,109.0,,,2.0,191.0,,181.0,,,,,,,,,,,,,,,,,,,,,65.0,136.0,9.0,255.0,6.0,209.0,,,,,,,,54.0,9.0,,9.0,,,,,,
dalton-schoen,Dalton SCHOEN,WR,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,10.0,1053.0,54.0,,436.0,76.0,118.0,17.0,399.0,1555.0,,,,,,,,,,1.0,3.0,,3.0,0.0,3.0,,,,,,17.0,,102.0,,,17.0,,,,,,
damon-webb,Damon Webb,DB,,1.0,18.0,,,,35.0,,35.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
damonte-coxie,Damonte COXIE,WR,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,115.0,8.0,,132.0,15.0,35.0,,66.0,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dan-clark,Dan Clark,OL,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dane-evans,Dane Evans,QB,,,,,,,2.0,,2.0,,,,11.0,,,,,,467.0,312.0,17.0,412.0,199.0,27.0,16.0,4006.0,13.0,3097.0,,,,,,,,,,,,,,,,,,,,,59.0,97.0,4.0,202.0,4.0,149.0,,,,,,,,24.0,4.0,,4.0,,,,,,
daniel-adeboboye,Daniel ADEBOBOYE,RB,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,13.0,2.0,,16.0,4.0,4.0,,12.0,16.0,,,,,,,,,,15.0,30.0,,72.0,0.0,11.0,,1.0,,,,,,2.0,,,,,,,,,
daniel-amoako,Daniel Amoako,DB,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daniel-petermann,Daniel Petermann,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,1.0,,5.0,1.0,2.0,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danny-vandervoort,Danny Vandervoort,WR,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,75.0,8.0,,45.0,8.0,12.0,1.0,8.0,75.0,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,,1.0,,,,,,
dante-absher,Dante Absher,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,1.0,,5.0,1.0,3.0,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darius-williams,Darius Williams,DB,,2.0,18.0,,,1.0,19.0,,19.0,18.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darnell-sankey,Darnell Sankey,LB,,1.0,14.0,,,3.0,121.0,,121.0,14.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
