player_id,player_name,positions,def_ast,def_int,def_lg,def_pd,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,misc_td,pass_20,pass_att,pass_cmp,pass_fd,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_20,recv_fd,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_fc,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_fd,rush_lg,rush_td,rush_yds,score_conv,score_fr,score_ir,score_kr,score_p,score_pr,score_pts,score_r,score_saf,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
andrew-seinet-spaulding,Andrew Seinet-Spaulding,DL/DB,,,,,1.0,8.0,,8.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ante-milanovic-litre,Ante MILANOVIC-LITRE,RB,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,114.0,17.0,21.0,,142.0,165.0,,,,,,,,41.0,,81.0,,134.0,,,,,,,,,,,,,,,,
anthony-cioffi,Anthony Cioffi,LB/DB/SAF,,1.0,25.0,,,22.0,,22.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-coombs,Anthony Coombs,WR,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,104.0,28.0,48.0,,118.0,247.0,,,,,,,,4.0,,1.0,,-2.0,,,,,,,,,,,,,,,,
anthony-gosselin,Anthony GOSSELIN,FB/RB,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,14.0,3.0,4.0,,10.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-lanier,Anthony Lanier,DB,,,,,1.0,13.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-thompson,Anthony Thompson,DB,,,,,,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antoine-pruneau,Antoine Pruneau,DB,,1.0,4.0,,,35.0,,35.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antonio-pipkin,Antonio Pipkin,QB,,,,,,,,,,,,,27.0,14.0,,1.0,70.0,31.0,4.0,,169.0,,,,,,,,,,,,,,,,27.0,,63.0,5.0,131.0,,,,,,,30.0,5.0,,5.0,,,,,,
antonio-simmons,Antonio Simmons,DE/DB,,,,,3.0,14.0,,14.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arjen-colquhoun,Arjen Colquhoun,DB,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
armanti-edwards,Armanti Edwards,WR,,,,,,,,,,,,,,,,,,,,,,,,101.0,16.0,31.0,,36.0,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austin-joyner,Austin Joyner,LB/DB,,,,,,18.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avery-ellis,Avery Ellis,DE/DL/DB,,,,,3.0,33.0,,33.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avery-williams,Avery Williams,LB,,1.0,,,2.0,89.0,,89.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bj-cunningham,B.J. Cunningham,WR,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,215.0,36.0,54.0,1.0,112.0,474.0,,,,,,,,,,,,,,,,,1.0,,6.0,,,1.0,,,,,,
bailey-feltmate,Bailey Feltmate,LB,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
bejour-wilson,Bejour Wilson,DB,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ben-hladik,Ben Hladik,LB,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benoit-marion,Benoit Marion,DL/DB,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blace-brown,Blace Brown,DB,,1.0,13.0,,,21.0,,21.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bo-levi-mitchell,Bo Levi Mitchell,QB,,,,,,,,,,,,,360.0,236.0,,15.0,409.0,145.0,19.0,10.0,2879.0,,,,,,,,,,,,,,,,5.0,,20.0,,21.0,,,,,,,,,,,,,,,,
boris-bede,Boris Bede,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045.0,48.0,43.0,900.0,3.0,3185.0,,,,,,,,,,,,131.0,,,,40.0,34.0,480.0,123.0,21.0,21.0
boseko-lokombo,Boseko Lokombo,LB,,3.0,20.0,,4.0,66.0,1.0,66.0,40.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,6.0,,,1.0,,,,,,
brad-muhammad,Brad Muhammad,DB,,,,,,14.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brady-oliveira,Brady OLIVEIRA,RB,,,,,,,,,,,,,,,,,,,,,,,,75.0,9.0,14.0,,53.0,74.0,,,,,,,,94.0,,86.0,2.0,429.0,,,,,,,12.0,2.0,,2.0,,,,,,
brady-sheldon,Brady Sheldon,LB,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bralon-addison,Bralon ADDISON,WR,,,,,,,,,,,,,,,,,,,,,,,,100.0,18.0,23.0,,76.0,231.0,,,,,,,,5.0,,14.0,,13.0,1.0,,,,,,2.0,,,,,,,,,
branden-dozier,Branden Dozier,DB,,1.0,20.0,,1.0,54.0,,54.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandin-dandridge,Brandin Dandridge,DB,,4.0,19.0,,,11.0,,11.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-alexander,Brandon Alexander,DB,,2.0,20.0,,,42.0,,42.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-banks,Brandon Banks,WR,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,257.0,55.0,87.0,4.0,193.0,623.0,,80.0,10.0,,,,111.0,9.0,,56.0,,71.0,,,,,4.0,,24.0,,,4.0,,,,,,
brandon-calver,Brandon Calver,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,
brayden-lenius,Brayden Lenius,WR,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,244.0,43.0,62.0,4.0,147.0,514.0,,,,,,,,,,,,,,,,,4.0,,24.0,,,4.0,,,,,,
brendan-gillanders,Brendan Gillanders,RB,,,,,,,,,,,,,,,,,,,,,,,,23.0,1.0,1.0,,17.0,23.0,,,,,,,,4.0,,5.0,,7.0,,,,,,,,,,,,,,,,
brett-lauther,Brett LAUTHER,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042.0,55.0,51.0,963.0,,3320.0,,,,,,,,,,,,161.0,,,,54.0,45.0,594.0,158.0,24.0,23.0
brian-harelimana,Brian Harelimana,LB,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brian-jones,Brian Jones,WR,,,,,,,,,,,,,,,,,,,,,,,,15.0,2.0,4.0,,7.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brian-walker,Brian Walker,DB,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bruce-anderson,Bruce Anderson,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,7.0,,,,170.0,,,,,,,,,,,,,,,,,,,,,
bryan-burnham,Bryan Burnham,WR,,,,,,,,,,,,,,,,,,,,,,,,354.0,66.0,92.0,5.0,189.0,955.0,,,,,,,,,,,,,,,,,5.0,,30.0,,,5.0,,,,,,
caleb-evans,Caleb EVANS,QB,,,,,,,,,,,,,182.0,108.0,,9.0,285.0,144.0,26.0,5.0,1279.0,,,,,,,,,,,,,,,,42.0,,133.0,3.0,345.0,,,,,,,18.0,3.0,,3.0,,,,,,
calvin-mccarty,Calvin McCarty,RB,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,2.0,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cam-phillips,Cam Phillips,WR,,,,,,,,,,,,,,,,,,,,,,,,13.0,2.0,6.0,,14.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cameron-artis-payne,Cameron Artis-Payne,RB,,,,,,,,,,,,,,,,,,,,,,,,28.0,9.0,9.0,,50.0,54.0,,40.0,3.0,,,,56.0,45.0,,52.0,1.0,225.0,,,,,,,6.0,1.0,,1.0,,,,,,
cameron-judge,Cameron Judge,LB,,,,,,13.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cameron-scarlett,Cameron Scarlett,RB,,,,,,,,,,,,,,,,,,,,,,,,15.0,3.0,3.0,,16.0,13.0,,,,,,,,11.0,1.0,21.0,,64.0,,,,,,,,,,,,,,,,
cariel-brooks,Cariel Brooks,DB,,5.0,15.0,,1.0,32.0,,32.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casey-sayles,Casey Sayles,DT/DB,,,,,5.0,31.0,,31.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chandler-worthy,Chandler Worthy,WR,,,,,,,,,,,,,,,,,,,,,,,,81.0,18.0,27.0,2.0,106.0,214.0,,300.0,35.0,,,,749.0,2.0,,31.0,,31.0,,,,,2.0,,12.0,,,2.0,,,,,,
channing-stribling,Channing Stribling,CB/DB,,,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charbel-dabire,Charbel Dabire,DL/DB,,,,,1.0,8.0,,8.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charles-nelson,Charles Nelson,WR,,,,,,,,,,,,,,,,,,,,,,,,16.0,4.0,6.0,,15.0,29.0,,152.0,23.0,,,,326.0,1.0,,6.0,,6.0,,,,,,,,,,,,,,,,
charleston-hughes,Charleston Hughes,DL/DB,,,,,2.0,18.0,,18.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charone-peake,Charone Peake,WR,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,5.0,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-ackie,Chris Ackie,LB/DB,,2.0,27.0,,6.0,50.0,,50.0,27.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-casher,Chris Casher,DE/DB,,,,,1.0,4.0,,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-edwards,Chris Edwards,LB/DB,,3.0,2.0,,3.0,43.0,2.0,43.0,162.0,16.0,,,,,,,,,,,,,,,,,,,,,51.0,5.0,,,,51.0,,,,,,,,2.0,,,,12.0,,,2.0,,,,,,
chris-frey,Chris Frey,LB,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-mulumba,Chris Mulumba,DT/DB,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-nelson,Chris Nelson,DT/DL/DB,,,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-odom,Chris Odom,DE/DT/DL/DB,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-rainey,Chris Rainey,RB,,,,,,,,,,,,,,,,,,,,,,,,23.0,3.0,4.0,,19.0,23.0,,255.0,25.0,,,,514.0,15.0,,30.0,,61.0,,,,,,,,,,,,,,,,
chris-van-zeyl,Chris Van Zeyl,OL,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christian-campbell,Christian Campbell,CB/DB,,,,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christian-rector,Christian Rector,DL/DB,,,,,4.0,10.0,,10.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christophe-mulumba-tshimanga,Christophe Mulumba-Tshimanga,LB,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christophe-normand,Christophe Normand,FB/RB,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,24.0,5.0,7.0,,21.0,24.0,,10.0,1.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,
christopher-ezeala,Christopher Ezeala,RB,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ciante-evans,Ciante Evans,DB,,1.0,22.0,,,54.0,,54.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cleyon-laing,Cleyon Laing,DL/DB,,,,,3.0,25.0,,25.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cody-fajardo,Cody FAJARDO,QB,,,,,,,,,,,,,464.0,322.0,,15.0,457.0,204.0,39.0,16.0,3424.0,,,,,,,,,,,,,,,,94.0,,233.0,5.0,578.0,,,,,,,30.0,5.0,,5.0,,,,,,
cody-grace,Cody Grace,P/K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803.0,81.0,63.0,395.0,1.0,3690.0,,,,,,,,,,,,1.0,,,,,,,,,
cole-mcdonald,Cole McDonald,QB,,,,,,,,,,,,,8.0,4.0,,1.0,15.0,8.0,1.0,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cole-nelson,Cole Nelson,OL,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colton-hunchak,Colton Hunchak,WR,,,,,,1.0,,1.0,,,,,1.0,1.0,,,36.0,,,,36.0,,,170.0,18.0,25.0,,100.0,258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cordarro-law,Cordarro Law,DL/DB,,,,,4.0,15.0,,15.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cory-greenwood,Cory Greenwood,LB,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
courtney-hammond,Courtney Hammond,DB,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crezdon-butler,Crezdon Butler,DB,,1.0,8.0,,,39.0,,39.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dj-foster,D.J. Foster,RB,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,105.0,36.0,45.0,2.0,319.0,373.0,,43.0,2.0,,,,43.0,93.0,,117.0,2.0,370.0,,,,,2.0,,24.0,2.0,,4.0,,,,,,
dj-killings,D.J. Killings,DB,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dhaquille-williams,D\'haquille Williams,WR,,,,,,,,,,,,,,,,,,,,,,,,141.0,27.0,43.0,2.0,132.0,456.0,,30.0,3.0,,,,30.0,,,,,,,,,,2.0,,12.0,,,2.0,,,,,,
dashaun-amos,DaShaun Amos,DB,,,,,,27.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,222.0,53.0,92.0,4.0,140.0,620.0,,1.0,1.0,,,,1.0,1.0,,18.0,,18.0,1.0,,,,4.0,,26.0,,,4.0,,,,,,
dakota-prukop,Dakota Prukop,QB,,,,,,,,,,,,,26.0,18.0,,2.0,45.0,19.0,4.0,1.0,183.0,,,,,,,,,,,,,,,,27.0,,93.0,2.0,134.0,3.0,,,,,,18.0,2.0,,2.0,,,,,,
damion-jeanpiere,Damion Jeanpiere,WR,,,,,,,,,,,,,,,,,,,,,,,,83.0,13.0,21.0,1.0,73.0,197.0,,6.0,1.0,,,,6.0,1.0,,14.0,,14.0,,,,,1.0,,6.0,,,1.0,,,,,,
damon-webb,Damon Webb,DB,,1.0,,,,30.0,,30.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,6.0,,,1.0,,,,,,
dana-levine,Dana Levine,DB,,,,,1.0,4.0,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dane-evans,Dane Evans,QB,,,,,,,,,,,,,132.0,89.0,,4.0,153.0,121.0,21.0,7.0,1060.0,,,,,,,,,,25.0,1.0,1.0,,,25.0,26.0,,74.0,5.0,128.0,,,,,,,30.0,5.0,,5.0,,,,,,
daniel-braverman,Daniel Braverman,WR,,,,,,,,,,,,,,,,,,,,,,,,80.0,15.0,18.0,,79.0,152.0,,125.0,10.0,,,,228.0,,,,,,,,,,,,,,,,,,,,,
daniel-petermann,Daniel Petermann,WR,,,,,,,,,,,,,,,,,,,,,,,,49.0,16.0,21.0,2.0,56.0,148.0,,,,,,,,,,,,,,,,,2.0,,12.0,,,2.0,,,,,,
daniel-williams,Daniel Williams,WR,,,,,,,,,,,,,,,,,,,,,,,,35.0,5.0,5.0,,28.0,52.0,,22.0,3.0,,,,39.0,,,,,,,,,,,,,,,,,,,,,
danny-vandervoort,Danny Vandervoort,WR,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,2.0,5.0,54.0,,,,,,,,,,,,,,,,,2.0,,12.0,,,2.0,,,,,,
dante-absher,Dante Absher,WR,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,63.0,5.0,10.0,,18.0,90.0,,22.0,5.0,,,,34.0,,,,,,,,,,,,,,,,,,,,,
darius-ciraco,Darius Ciraco,OL,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darius-williams,Darius Williams,DB,,,,,,30.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dariusz-bladek,Dariusz Bladek,OL,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darnell-sankey,Darnell Sankey,LB,,,,,1.0,103.0,,103.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darvin-adams,Darvin Adams,WR,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,239.0,33.0,58.0,5.0,174.0,544.0,,,,,,,,,,,,,1.0,,,,5.0,,32.0,,,5.0,,,,,,
david-côté,David Côté,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984.0,70.0,70.0,1567.0,,4175.0,,,,,,,,,,,,133.0,,,,40.0,33.0,489.0,132.0,35.0,33.0
david-mackie,David Mackie,FB/RB,,,,,,,,,,,,,,,,,,,,,,,,12.0,3.0,4.0,,2.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david-ménard,David Ménard,DB,,,,,8.0,18.0,,18.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david-ungerer,David Ungerer,WR,,,,,,,,,,,,,,,,,,,,,,,,100.0,15.0,22.0,1.0,67.0,187.0,,110.0,12.0,,,,175.0,,,,,,,,,,1.0,,6.0,,,1.0,,,,,,
david-watford,David Watford,QB,,,,,,,,,,,,,57.0,40.0,,,93.0,13.0,3.0,1.0,342.0,,,,,,,,,,,,,,,,24.0,,26.0,,96.0,,,,,,,,,,,,,,,,
davon-coleman,Davon Coleman,DT/DB,,,,,4.0,32.0,,32.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dechavon-hayes,De'Chavon Hayes,DB,,1.0,9.0,,,12.0,,12.0,9.0,,,,,,,,,,,,,,,,,,,,,,15.0,1.0,,,,15.0,,,,,,,,,,,,,,,,,,,,,
delance-turner,De'Lance Turner,RB,,,,,,,,,,,,,,,,,,,,,,,,7.0,5.0,8.0,,13.0,13.0,,,,,,,,36.0,,65.0,,187.0,,,,,,,,,,,,,,,,
deaundre-alford,DeAundre Alford,DB,,4.0,30.0,,,53.0,1.0,53.0,50.0,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,41.0,,,,,,,,1.0,,,,6.0,,,1.0,,,,,,
demarquis-gates,DeMarquis Gates,LB/DB,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devier-posey,DeVier Posey,WR,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,5.0,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deatrick-nichols,Deatrick Nichols,CB/DB,,3.0,25.0,,1.0,48.0,,48.0,25.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
declan-cross,Declan Cross,FB/RB,,,,,,,,,,,,,,,,,,,,,,,,36.0,4.0,4.0,,22.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dejon-allen,Dejon Allen,OL,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dejon-brissett,Dejon BRISSETT,WR,,,,,,3.0,,3.0,,,1.0,,,,,,,,,,,,,100.0,9.0,21.0,,45.0,131.0,,,,,,,,,,,,,,1.0,,,,,6.0,,,1.0,,,,,,
demerio-houston,Demerio Houston,DB,,,,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deon-lacey,Deon Lacey,LB,,,,,4.0,73.0,,73.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derek-wiggan,Derek Wiggan,DL/DB,,,,,2.0,34.0,,34.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derel-walker,Derel Walker,WR,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,230.0,44.0,88.0,,228.0,531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
