player_id,player_name,positions,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
riquna-williams,Riquna Williams,,35.0,5.0,60.0,10.617,146.0,53.0,10.683000000000002,187.0,69.0,44.0,7.567,23.0,18.0,579.85,9.0,84.0,209.0,69.0,17.0,10.0
rui-machida,Rui Machida,,94.0,2.0,34.0,4.166,36.0,8.0,9.791,87.0,28.0,26.0,3.0,9.0,6.0,473.7833333333333,7.0,-5.0,70.0,41.0,16.0,38.0
ruthy-hebard,Ruthy Hebard,,13.0,3.0,38.0,,1.0,,9.512,54.0,26.0,30.0,2.417,8.0,6.0,249.3166666666667,8.0,-32.0,58.0,46.0,10.0,14.0
sabrina-ionescu,Sabrina Ionescu,,241.0,11.0,235.0,12.749,264.0,89.0,15.964000000000002,545.0,228.0,83.0,29.680999999999997,134.0,124.0,1256.1166666666666,37.0,-81.0,669.0,272.0,42.0,118.0
sam-thomas,Sam Thomas,,6.0,2.0,3.0,0.833,17.0,2.0,2.25,21.0,5.0,12.0,1.0,1.0,1.0,131.85,2.0,-27.0,13.0,5.0,7.0,4.0
sami-whitcomb,Sami Whitcomb,,88.0,5.0,73.0,12.611,175.0,62.0,13.172999999999998,212.0,78.0,59.0,8.333,23.0,20.0,790.5166666666665,10.0,-111.0,238.0,83.0,28.0,49.0
satou-sabally,Satou Sabally,W,32.0,3.0,48.0,2.862,53.0,13.0,5.340000000000001,124.0,48.0,41.0,11.067,40.0,36.0,284.4666666666667,9.0,-24.0,145.0,57.0,5.0,27.0
shakira-austin,Shakira Austin,F,35.0,31.0,178.0,,1.0,,19.522000000000002,236.0,128.0,87.0,19.637999999999998,113.0,70.0,830.4500000000002,69.0,78.0,326.0,247.0,29.0,59.0
shatori-walker-kimbrough,Shatori Walker-Kimbrough,,54.0,10.0,54.0,13.682,81.0,29.0,15.365,208.0,85.0,45.0,20.047,63.0,57.0,746.1,10.0,88.0,256.0,64.0,40.0,40.0
shey-peddy,Shey Peddy,,122.0,7.0,84.0,10.129000000000001,153.0,50.0,14.073000000000004,293.0,120.0,62.0,21.717,63.0,56.0,999.8166666666663,46.0,6.0,346.0,130.0,56.0,49.0
skylar-diggins,Skylar Diggins,G,166.0,30.0,93.0,8.558,135.0,40.0,12.662,485.0,208.0,81.0,24.262999999999998,160.0,135.0,1019.05,28.0,-31.0,591.0,121.0,46.0,80.0
sophie-cunningham,Sophie Cunningham,,49.0,10.0,108.0,10.927,183.0,73.0,12.314000000000002,278.0,125.0,101.0,16.491,54.0,44.0,889.5166666666667,20.0,-99.0,367.0,128.0,29.0,34.0
sparkle-taylor,Sparkle Taylor,,,,2.0,,1.0,,1.75,6.0,5.0,3.0,1.0,1.0,1.0,24.533333333333335,,-1.0,11.0,2.0,,1.0
stefanie-dolson,Stefanie Dolson,,74.0,31.0,137.0,12.584,71.0,29.0,17.451999999999995,247.0,121.0,119.0,15.667,42.0,38.0,905.8333333333335,46.0,-87.0,309.0,183.0,13.0,57.0
stephanie-jones,Stephanie Jones,,2.0,,1.0,0.5,2.0,1.0,1.0,8.0,3.0,5.0,1.0,2.0,2.0,26.583333333333332,1.0,-2.0,9.0,2.0,1.0,
stephanie-talbot,Stephanie Talbot,,55.0,14.0,106.0,16.233,89.0,37.0,18.963,167.0,77.0,61.0,8.167,29.0,17.0,676.0166666666668,27.0,-4.0,208.0,133.0,26.0,42.0
sue-bird,Sue Bird,,232.0,5.0,65.0,13.322000000000001,174.0,69.0,15.612,262.0,107.0,29.0,10.0,20.0,20.0,1031.65,7.0,156.0,303.0,72.0,42.0,66.0
sydney-colson,Sydney Colson,,22.0,,8.0,1.833,12.0,3.0,4.042,36.0,10.0,16.0,3.0,5.0,5.0,142.58333333333331,4.0,-80.0,28.0,12.0,2.0,8.0
sylvia-fowles,Sylvia Fowles,,36.0,36.0,220.0,,,,18.878,296.0,184.0,73.0,16.193,97.0,64.0,831.4666666666668,74.0,-25.0,432.0,294.0,31.0,64.0
teaira-mccowan,Teaira McCowan,,28.0,27.0,151.0,,,,19.12099999999999,256.0,151.0,111.0,17.357999999999997,155.0,92.0,696.3833333333333,109.0,56.0,394.0,260.0,12.0,66.0
theresa-plaisance,Theresa Plaisance,,17.0,15.0,69.0,9.621000000000002,92.0,32.0,9.636000000000001,121.0,45.0,45.0,3.5,10.0,7.0,420.7500000000002,16.0,-59.0,129.0,85.0,9.0,21.0
tianna-hawkins,Tianna Hawkins,,20.0,2.0,44.0,5.133,53.0,14.0,7.1129999999999995,114.0,44.0,43.0,6.5,21.0,20.0,319.66666666666663,15.0,-3.0,122.0,59.0,9.0,30.0
tiffany-hayes,Tiffany Hayes,G,23.0,1.0,37.0,3.716,42.0,18.0,5.936,121.0,66.0,33.0,6.014,41.0,28.0,302.76666666666665,3.0,-48.0,178.0,40.0,8.0,22.0
tiffany-mitchell,Tiffany Mitchell,,40.0,2.0,21.0,9.167,31.0,12.0,14.503000000000002,182.0,82.0,46.0,18.5,52.0,45.0,552.5166666666665,20.0,-180.0,221.0,41.0,28.0,30.0
tina-charles,Tina Charles,,78.0,26.0,235.0,13.254999999999999,123.0,42.0,17.914,505.0,229.0,108.0,18.916,95.0,71.0,1139.3166666666666,67.0,-16.0,571.0,302.0,28.0,81.0
tina-krajisnik,Tina Krajisnik,,2.0,,,,,,,1.0,,2.0,,,,5.333333333333333,,7.0,,,1.0,
tyasha-harris,Tyasha Harris,,106.0,5.0,30.0,7.166,61.0,19.0,13.301,184.0,76.0,38.0,9.967,26.0,21.0,604.5833333333334,9.0,-19.0,192.0,39.0,14.0,43.0
veronica-burton,Veronica Burton,G,78.0,12.0,40.0,6.166,53.0,15.0,9.777000000000001,91.0,31.0,56.0,14.5,37.0,36.0,632.2833333333333,21.0,28.0,113.0,61.0,40.0,41.0
victoria-vivians,Victoria Vivians,,85.0,9.0,102.0,9.767000000000001,157.0,44.0,11.710999999999997,375.0,126.0,83.0,12.758000000000001,62.0,46.0,939.8833333333333,23.0,-249.0,342.0,125.0,37.0,72.0
yvonne-anderson,Yvonne Anderson,,12.0,2.0,6.0,2.0,10.0,4.0,3.917,26.0,12.0,14.0,2.0,7.0,7.0,100.73333333333335,3.0,4.0,35.0,9.0,3.0,11.0
yvonne-turner,Yvonne Turner,,21.0,,15.0,1.0,7.0,3.0,2.386,44.0,14.0,13.0,4.0,11.0,9.0,163.3,5.0,-55.0,40.0,20.0,3.0,13.0
