player_id,player_name,positions,def_ff,def_fr,def_pd,def_sacks,def_tackles,fg_att,fg_made,gp,kr_no,kr_td,kr_yds,pass_att,pass_cmp,pass_int,pass_td,pass_yds,pat_att,pat_made,pr_no,pr_td,pr_yds,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
bryan-yankson,Bryan Yankson,RB,,,,,1.0,,,12.0,,,,,,,,,,,,,,,,10.0,,39.0,44.0,1.0,97.0
bryan-zerbe,Bryan Zerbe,QB,,,,,3.0,,,10.0,,,,1.0,1.0,,,26.0,,,,,,,,23.0,3.0,300.0,2.0,,
burak-efendioglu,Burak Efendioglu,LB,,,,,13.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
burak-karacor,Burak Karaçor,LB,,,1.0,,6.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
calvin-schuld,Calvin Schuld,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
caner-dundar,Caner Dündar,LB,,,4.0,,31.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
cedric-ouattara,Cedric Ouattara,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,
cedric-udegbe,Cedric Udegbe,LB,,,1.0,1.5,17.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
celestin-ngimbi,Celestin Ngimbi,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,1.0,,
cem-altuntas,Cem Altuntas,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,
cesar-sawane-garcia,Cesar Sawane Garcia,LB,,1.0,,,9.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
cesare-brugnani,Cesare Brugnani,LB,,,2.0,1.0,55.0,,,11.0,,,,,,,,,,,1.0,,,,,,,,,,
cevad-enes-kucuksengun,Cevad Enes Küçükşengün,,,,,,1.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
chad-adri-trivon-walrond,Chad-Adri Trivon Walrond,LB,,,1.0,,47.0,,,9.0,8.0,,154.0,,,,,,,,1.0,1.0,45.0,,,,,,,,
charleus-dieuseul-jr,Charleus Dieuseul Jr.,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
chaska-remy-perron,Chaska Rémy Perron,DB/LB,1.0,,5.0,,58.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
cheikhou-sow,Cheikhou Sow,WR,,,,,,,,12.0,,,,,,,,,,,,,,,,31.0,4.0,335.0,,,
chris-edward-richardson-jr,Chris Edward Richardson Jr.,LB,1.0,2.0,1.0,5.0,38.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
chris-voumbo,Chris Voumbo,RB,,,,,,,,4.0,4.0,,79.0,,,,,,,,,,,,,1.0,,7.0,24.0,,74.0
christian-romer,Christian Römer,,,,,,7.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
christian-van-horn,Christian Van Horn,LB,,2.0,,3.0,33.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
christoph-kellner,Christoph Kellner,CB/LB,,,1.0,,20.0,,,14.0,,,,,,,,,,,,,,,,,,,,,
christoph-nitzlnader,Christoph Nitzlnader,CB/LB,1.0,,4.0,,39.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
christoph-schob,Christoph Schob,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
christopher-harris,Christopher Harris,DB,,,,,5.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
chuka-austin-okpalobi,Chuka Austin Okpalobi,RB,,,,,,,,7.0,22.0,1.0,703.0,,,,,,,,12.0,,209.0,,,26.0,2.0,289.0,55.0,5.0,300.0
cody-smith,Cody Smith,LB,,,2.0,,10.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
connor-bolton,Connor Bolton,,,,,,1.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
conor-miller,Conor Miller,QB,,,,,,,,3.0,,,,99.0,45.0,3.0,5.0,541.0,,,,,,,,,,,6.0,,7.0
courtney-etienne,Courtney Etienne,LB,,,1.0,,6.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
damian-wesoowski,Damian Wesołowski,LB,,,1.0,0.5,19.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
daniel-laporte,Daniel  Laporte,LB,3.0,1.0,1.0,1.0,46.0,,,14.0,,,,,,,,,,,,,,,,,,,,,
daniel-bogdan-schuhmacher,Daniel Bogdan Schuhmacher,K,,,,,,13.0,7.0,7.0,,,,,,,,,18.0,11.0,,,,,,,,,,,
daniel-bria,Daniel Bria,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
daniel-brown,Daniel Brown,DB/LB,,,5.0,,41.0,,,14.0,,,,,,,,,,,,,,,,,,,,,
daniel-claus,Daniel Claus,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,
daniel-duah,Daniel Duah,CB,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
daniel-fankhauser,Daniel Fankhauser,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,
daniel-franco,Daniel Franco,DL/LB,,1.0,,1.0,13.0,,,13.0,,,,,,,,,,,,,,,,,,,,,
daniel-josiah,Daniel Josiah,LB,1.0,,2.0,6.5,59.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
daniel-piatkowski,Daniel Piątkowski,S/LB,,1.0,1.0,,33.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
daniel-pozarek,Daniel Pozarek,DL/LB,,,,0.5,7.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
daniel-rennich,Daniel Rennich,RB,,1.0,,,4.0,,,12.0,,,,,,,,,1.0,,,,,,,10.0,,127.0,129.0,,556.0
daniel-schonet,Daniel Schönet,LB,,,1.0,,21.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
daniel-tarnawski,Daniel Tarnawski,LB,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
daniel-thiele,Daniel Thiele,,,,,,1.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
danny-lange,Danny Lange,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
dante-vandeven,Dante Vandeven,QB,,,,,6.0,,,8.0,,,,177.0,86.0,13.0,3.0,1077.0,,,,,,,,3.0,,30.0,47.0,2.0,250.0
dany-michael-lamy,Dany Michael Lamy,LB,,,1.0,,12.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
darius-lewis,Darius Lewis,LB,,,1.0,,8.0,,,3.0,11.0,,211.0,,,,,,,,2.0,,17.0,,,3.0,,15.0,3.0,,6.0
darius-saint-robinson,Darius Saint-Robinson,DB/LB,1.0,,5.0,,31.0,,,12.0,35.0,,794.0,,,,,,,,20.0,1.0,245.0,,,,,,,,
darko-pisaric,Darko Pisaric,LB,,,2.0,,4.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
darnell-minton,Darnell Minton,,,,,,1.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
david-izinyon,David Izinyon,DT/LB,1.0,1.0,1.0,3.0,91.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
david-mccants,David Mccants,RB,,,,,,,,1.0,4.0,,53.0,,,,,,,,,,,,,2.0,,12.0,11.0,,35.0
david-meza,David Meza,TE/WR,,,,,,,,4.0,,,,1.0,,,,,,,,,,,,17.0,,132.0,,,
david-rauter,David Rauter,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
david-schuler,David Schüler,WR,,,,,2.0,,,12.0,1.0,,,,,,,,,,,,,,,8.0,1.0,79.0,,,
david-weinstock,David Weinstock,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,1.0,,
dawid-brzozowski,Dawid Brzozowski,RB,,,,,3.0,,,12.0,,,,,,,,,,,,,,,,28.0,1.0,205.0,124.0,3.0,580.0
dawid-koszyk,Dawid Koszyk,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
dawid-panczyszyn,Dawid Pańczyszyn,K,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
dean-roderick-likambi-tanwani,Dean-Roderick Likambi Tanwani,RB,,,,,1.0,,,11.0,,,,,,,,,,,,,,,,12.0,,133.0,64.0,1.0,183.0
denis-dauben,Denis Dauben,LB,,,,,7.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
denis-william-butz,Denis William Butz,DL/LB,,1.0,,,30.0,,,13.0,,,,,,,,,,,,,,,,,,,,,
dennis-gratza,Dennis Gratza,LB,,1.0,2.0,,19.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
dennis-kenzler,Dennis Kenzler,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,
dennis-tasic,Dennis Tasic,K,,,,,,8.0,5.0,10.0,,,,,,,,,10.0,8.0,,,,,,,,,,,
derrick-brumfield,Derrick Brumfield,LB,1.0,1.0,4.0,5.5,43.0,,,13.0,,,,,,,,,,,,,,,,,,,,,
devin-heckstall,Devin Heckstall,WR,,,,,1.0,,,3.0,,,,1.0,,,,,,,,,,,,18.0,1.0,237.0,,,
diego-arboleda-sanchez,Diego Arboleda Sanchez,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,8.0,,,
domenik-rofalski,Domenik Rofalski,TE/WR,,,,,1.0,,,12.0,,,,,,,,,,,,,,,,2.0,,17.0,,,
dominic-siegel,Dominic Siegel,DL/LB,1.0,,2.0,1.5,7.0,,,6.0,,,,,,,,,,,1.0,1.0,28.0,,,,,,,,
dominik-banse,Dominik Banse,LB,,,,,7.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
dominik-behrens,Dominik Behrens,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,
dominik-wunsche,Dominik Wünsche,,,,,,2.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
dominique-shelton,Dominique Shelton,LB,,,7.0,,34.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
doruk-sut,Doruk Şut,,,,,,1.0,,,6.0,,,,,,,,,,,,,,,,4.0,,30.0,1.0,,3.0
dustin-mohrdieck,Dustin Mohrdieck,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
dusan-novakovic,Dušan Novaković,LB,2.0,,,3.0,15.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
dylan-bakker,Dylan Bakker,LB,1.0,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
eduardo-sanchez-gonzalez,Eduardo Sánchez González ,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,
edwin-elio,Edwin Élio,DL/LB,,1.0,,1.0,39.0,,,13.0,,,,,,,,,,,,,,,,,,,,,
efe-baran,Efe Baran,,,,,,,,,10.0,,,,,,,,,,,,,,,,3.0,1.0,24.0,,,
efekan-akgun,Efekan Akgün,CB/LB,,1.0,,,23.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
ege-altug-sarkaya,Ege Altuğ Sarıkaya,RB,,,,,,,,12.0,,,,,,,,,,,,,,,,2.0,,23.0,23.0,,37.0
ege-berk-inanc,Ege Berk İnanç,WR,,,,,,,,6.0,,,,,,,,,,,,,,,,5.0,,93.0,,,
eldert-terekuu,Eldert Terekuu,LB,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
elias-rodriguez,Elias Rodriguez,TE,,,,,1.0,,,13.0,,,,,,,,,,,,,,,,,,,14.0,1.0,
elijah-bohm,Elijah Böhm,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
elvys-ramon-nunez-vargas,Elvys Ramon Nuñez Vargas,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,
emil-drossard,Emil Drossard,WR,,,,,3.0,,,12.0,,,,,,,,,,,,,,,,29.0,3.0,355.0,,,
emir-saryldz,Emir Sarıyıldız,WR,,,,,3.0,,,12.0,,,,,,,,,,,,,,,,5.0,,32.0,,,
emre-dumlupnar,Emre Dumlupınar,,,,,,2.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
emre-zengin,Emre Zengin,LB,,,,,8.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
emre-ozdemir,Emre Özdemir,LB,,2.0,3.0,,27.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
enrico-pascual,Enrico Pascual,,,,,,,,,5.0,,,,,,,,,,,,,,,,3.0,,8.0,,,
enzo-mensah,Enzo Mensah,LB,1.0,1.0,,,11.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
erdem-altun,Erdem Altun,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,
eric-adam,Eric Adam,DL/LB,2.0,,3.0,3.0,23.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
eric-de-souza,Eric De Souza,,1.0,,,,5.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
eric-schlomm,Eric Schlomm,K,,,,,2.0,24.0,19.0,14.0,,,,,,,,,56.0,49.0,,,,66.0,2534.0,,,,,,
erich-kilger,Erich Kilger,,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
evans-yeboah,Evans Yeboah,DL/LB,1.0,,5.0,4.5,23.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
exavier-edwards-2,Exavier Edwards,RB,,,7.0,,48.0,,,13.0,14.0,,572.0,,,,,,,,12.0,,141.0,,,2.0,,16.0,22.0,7.0,149.0
fabian-abfalter,Fabian Abfalter,WR,,,,,,3.0,1.0,6.0,,,,,,,,,4.0,2.0,,,,,,12.0,1.0,113.0,,,
fabian-michael-kratz,Fabian Michael Kratz,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,
fabio-tartarotti,Fabio Tartarotti,LB,,,1.0,,25.0,,,14.0,,,,,,,,,,,,,,,,,,,,,
fabrizio-umetelli,Fabrizio Umetelli,DB/LB,,,3.0,,40.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
falco-paris,Falco Paris,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
falk-reuter,Falk Reuter,DB/LB,,,1.0,,13.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
felix-lepper,Felix Lepper,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,
felix-macher,Felix Macher,LB,,,,0.5,9.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
felix-mohlberg,Felix Mohlberg,S/LB,,,1.0,,6.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
felix-reisacher,Felix Reisacher,WR,,,,,,,,15.0,,,,,,,,,,,,,,,,13.0,2.0,88.0,1.0,,2.0
felix-siegert,Felix Siegert,,,,,,2.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
fernando-lowery,Fernando Lowery,LB,,,13.0,,60.0,,,12.0,1.0,,9.0,,,,,,,,13.0,,154.0,,,,,,,,
ferras-el-hendi,Ferras El-Hendi,QB,,,,,,,,12.0,,,,75.0,31.0,6.0,3.0,391.0,,,,,,,,,,,23.0,,22.0
filip-snopek,Filip Snopek,DL/LB,,,1.0,1.0,12.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
filip-twardowski,Filip Twardowski,K,,,,,,2.0,,3.0,,,,,,,,,1.0,,,,,,,,,,,,
filip-vlajic,Filip Vlajić ,RB,,,,,3.0,,,12.0,,,,,,,,,,,,,,,,,,,13.0,,30.0
firat-aybek,Firat Aybek,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
flamur-simon,Flamur Simon,LB,,,4.0,5.0,76.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
florian-albrecht,Florian Albrecht,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
